P_prefix,amount,day,payee,payer,step
34,34,1,H2,H1,1
57,57,1,H3,H2,2
73,73,1,H4,H3,3
137,64,1,H7,H6,4
163,90,1,H8,H7,5
163,76,1,H9,H8,6
546,459,1,H10,H9,7
546,39,1,H11,H10,8
608,101,1,H12,H11,9
669,162,1,H13,H12,10
705,36,1,H15,H14,11
750,81,1,H16,H15,12
750,13,1,H17,H16,13
864,127,1,H18,H17,14
904,167,1,H19,H18,15
904,86,1,H20,H19,16
904,79,1,H21,H20,17
904,27,1,H22,H21,18
904,18,1,H23,H22,19
996,110,1,H24,H23,20
996,1,1,H25,H24,21
1323,328,1,H26,H25,22
1323,19,1,H27,H26,23
1378,74,1,H28,H27,24
1378,62,1,H29,H28,25
1494,178,1,H30,H29,26
1502,8,1,H32,H31,27
1502,4,1,H33,H32,28
1670,172,1,H34,H33,29
1670,43,1,H35,H34,30
1671,1,1,H37,H36,31
1744,73,1,H39,H38,32
1749,78,1,H40,H39,33
1996,247,1,H42,H41,34
1996,1,1,H43,H42,35
1997,2,1,H44,H43,36
2079,84,1,H45,H44,37
2275,280,1,H46,H45,38
2275,1,1,H47,H46,39
2321,47,1,H48,H47,40
2321,25,1,H49,H48,41
2363,67,1,H50,H49,42
2364,1,1,H52,H51,43
2366,3,1,H53,H52,44
2540,177,1,H54,H53,45
2599,59,1,H56,H55,46
2599,21,1,H57,H56,47
2728,129,1,H59,H58,48
2728,19,1,H60,H59,49
2728,1,1,H61,H60,50
2976,249,1,H62,H61,51
2976,100,1,H63,H62,52
2976,47,1,H64,H63,53
3213,284,1,H65,H64,54
3213,2,1,H66,H65,55
3284,73,1,H67,H66,56
3650,439,1,H68,H67,57
3650,36,1,H69,H68,58
3768,154,1,H70,H69,59
3961,347,1,H71,H70,60
3961,20,1,H72,H71,61
3961,12,1,H73,H72,62
3977,28,1,H74,H73,63
3977,6,1,H75,H74,64
4052,75,1,H77,H76,65
4197,220,1,H78,H77,66
4197,50,1,H79,H78,67
4596,449,1,H80,H79,68
4596,73,1,H81,H80,69
4836,240,1,H83,H82,70
4913,317,1,H84,H83,71
4913,59,1,H85,H84,72
4984,130,1,H86,H85,73
4993,9,1,H88,H87,74
5031,47,1,H89,H88,75
5031,8,1,H90,H89,76
5032,1,1,H92,H91,77
5072,41,1,H93,H92,78
5104,73,1,H94,H93,79
5205,174,1,H95,H94,80
5299,268,1,H96,H95,81
5299,69,1,H97,H96,82
5301,71,1,H98,H97,83
5546,316,1,H99,H98,84
5546,203,1,H100,H99,85
5512,142,1,H1,H100,86
