DS_t,agent,day
0.021240234375,H2,1
0,H49,1
0,H16,1
0.077392578125,H61,1
0.0009765625,H86,1
0,H85,1
0.00390625,H93,1
0,H9,1
0,H59,1
0.017578125,H34,1
0.013427734375,H24,1
0.009521484375,H75,1
0.023193359375,H56,1
0,H6,1
0,H44,1
0.020263671875,H32,1
0,H14,1
0.010986328125,H83,1
0,H30,1
0.00341796875,H98,1
0,H62,1
0.05029296875,H68,1
0.01904296875,H10,1
0,H1,1
0,H20,1
0,H57,1
0.01416015625,H45,1
0,H33,1
0.0029296875,H65,1
0,H8,1
0,H66,1
0.06201171875,H50,1
0.02734375,H97,1
0.04150390625,H58,1
0.01318359375,H76,1
0,H91,1
0,H47,1
0,H55,1
0.001220703125,H39,1
0,H3,1
0.00830078125,H31,1
0,H88,1
0,H82,1
0.05029296875,H37,1
0.0029296875,H41,1
0.007568359375,H78,1
0.006591796875,H43,1
0,H36,1
0,H29,1
0,H99,1
0,H23,1
0.037109375,H13,1
0,H12,1
0,H42,1
0,H60,1
0,H67,1
0.028076171875,H53,1
0.000732421875,H27,1
0,H92,1
0.003173828125,H22,1
0.040771484375,H18,1
0.010498046875,H52,1
0.02294921875,H72,1
0,H77,1
0.03271484375,H100,1
0.029052734375,H46,1
0,H54,1
0.024658203125,H89,1
0.0283203125,H4,1
0,H51,1
0.04443359375,H73,1
0.027099609375,H94,1
0,H84,1
0,H95,1
0,H79,1
0.005126953125,H69,1
0.01025390625,H87,1
0.005859375,H11,1
0,H90,1
0,H15,1
0,H38,1
0.013427734375,H80,1
0,H25,1
0.0029296875,H28,1
0.0107421875,H96,1
0,H74,1
0,H81,1
0,H71,1
0.0126953125,H7,1
0.021728515625,H26,1
0,H70,1
0.060791015625,H64,1
0,H63,1
0,H21,1
0.017578125,H40,1
0,H48,1
0,H35,1
0,H5,1
0,H17,1
0,H19,1
