agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,5000.0,-5000.0,0,5000.0,0.0,0.0
H1,,,,40,,,,40,40,0,0.0,0.0
H2,,,,62.0,,,,62.0,62.0,0,0.0,0.0
H3,,,,,,,,0,0,0,0.0,0.0
H4,,,,88.0,,,,88.0,88.0,0,0.0,0.0
H5,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H6,,,,98.0,,,,98.0,98.0,0,0.0,0.0
H7,,,,19.0,,,,19.0,19.0,0,0.0,0.0
H8,,,,33,,,,33,33,0,0.0,0.0
H9,,,,,,,,0,0,0,0.0,0.0
H10,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H11,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H12,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H13,,,,87.0,,,,87.0,87.0,0,0.0,0.0
H14,,,,13,,,,13,13,0,0.0,0.0
H15,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H16,,,,72.0,,,,72.0,72.0,0,0.0,0.0
H17,,,,28,,,,28,28,0,0.0,0.0
H18,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H19,,,,,,,,0,0,0,0.0,0.0
H20,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H21,,,,97.0,,,,97.0,97.0,0,0.0,0.0
H22,,,,3,,,,3,3,0,0.0,0.0
H23,,,,,,,,0,0,0,0.0,0.0
H24,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H25,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H26,,,,,,,,0,0,0,0.0,0.0
H27,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H28,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H29,,,,4.0,,,,4.0,4.0,0,0.0,0.0
H30,,,,96,,,,96,96,0,0.0,0.0
H31,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H32,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H33,,,,,,,,0,0,0,0.0,0.0
H34,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H35,,,,84.0,,,,84.0,84.0,0,0.0,0.0
H36,,,,,,,,0,0,0,0.0,0.0
H37,,,,102.0,,,,102.0,102.0,0,0.0,0.0
H38,,,,44.0,,,,44.0,44.0,0,0.0,0.0
H39,,,,51.0,,,,51.0,51.0,0,0.0,0.0
H40,,,,59.0,,,,59.0,59.0,0,0.0,0.0
H41,,,,10,,,,10,10,0,0.0,0.0
H42,,,,87.0,,,,87.0,87.0,0,0.0,0.0
H43,,,,,,,,0,0,0,0.0,0.0
H44,,,,63.0,,,,63.0,63.0,0,0.0,0.0
H45,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H46,,,,90.0,,,,90.0,90.0,0,0.0,0.0
H47,,,,10,,,,10,10,0,0.0,0.0
H48,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H49,,,,76.0,,,,76.0,76.0,0,0.0,0.0
H50,,,,24,,,,24,24,0,0.0,0.0
H51,,,,65.0,,,,65.0,65.0,0,0.0,0.0
H52,,,,35,,,,35,35,0,0.0,0.0
H53,,,,,,,,0,0,0,0.0,0.0
H54,,,,126.0,,,,126.0,126.0,0,0.0,0.0
H55,,,,24,,,,24,24,0,0.0,0.0
H56,,,,62.0,,,,62.0,62.0,0,0.0,0.0
H57,,,,38,,,,38,38,0,0.0,0.0
H58,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H59,,,,71.0,,,,71.0,71.0,0,0.0,0.0
H60,,,,61.0,,,,61.0,61.0,0,0.0,0.0
H61,,,,18,,,,18,18,0,0.0,0.0
H62,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H63,,,,28.0,,,,28.0,28.0,0,0.0,0.0
H64,,,,72,,,,72,72,0,0.0,0.0
H65,,,,69.0,,,,69.0,69.0,0,0.0,0.0
H66,,,,,,,,0,0,0,0.0,0.0
H67,,,,113.0,,,,113.0,113.0,0,0.0,0.0
H68,,,,18,,,,18,18,0,0.0,0.0
H69,,,,57.0,,,,57.0,57.0,0,0.0,0.0
H70,,,,43,,,,43,43,0,0.0,0.0
H71,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H72,,,,94.0,,,,94.0,94.0,0,0.0,0.0
H73,,,,,,,,0,0,0,0.0,0.0
H74,,,,59.0,,,,59.0,59.0,0,0.0,0.0
H75,,,,47,,,,47,47,0,0.0,0.0
H76,,,,89.0,,,,89.0,89.0,0,0.0,0.0
H77,,,,11,,,,11,11,0,0.0,0.0
H78,,,,62.0,,,,62.0,62.0,0,0.0,0.0
H79,,,,82.0,,,,82.0,82.0,0,0.0,0.0
H80,,,,6,,,,6,6,0,0.0,0.0
H81,,,,78.0,,,,78.0,78.0,0,0.0,0.0
H82,,,,22,,,,22,22,0,0.0,0.0
H83,,,,77.0,,,,77.0,77.0,0,0.0,0.0
H84,,,,43.0,,,,43.0,43.0,0,0.0,0.0
