agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,10000.0,-10000.0,0,10000.0,0.0,0.0
H1,,,,121.0,,,,121.0,121.0,0,0.0,0.0
H2,,,,139.0,,,,139.0,139.0,0,0.0,0.0
H3,,,,56.0,,,,56.0,56.0,0,0.0,0.0
H4,,,,84,,,,84,84,0,0.0,0.0
H5,,,,124.0,,,,124.0,124.0,0,0.0,0.0
H6,,,,128.0,,,,128.0,128.0,0,0.0,0.0
H7,,,,48,,,,48,48,0,0.0,0.0
H8,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H9,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H10,,,,171.0,,,,171.0,171.0,0,0.0,0.0
H11,,,,38.0,,,,38.0,38.0,0,0.0,0.0
H12,,,,140.0,,,,140.0,140.0,0,0.0,0.0
H13,,,,140.0,,,,140.0,140.0,0,0.0,0.0
H14,,,,11,,,,11,11,0,0.0,0.0
H15,,,,104.0,,,,104.0,104.0,0,0.0,0.0
H16,,,,96,,,,96,96,0,0.0,0.0
H17,,,,162.0,,,,162.0,162.0,0,0.0,0.0
H18,,,,98.0,,,,98.0,98.0,0,0.0,0.0
H19,,,,40,,,,40,40,0,0.0,0.0
H20,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H21,,,,127.0,,,,127.0,127.0,0,0.0,0.0
H22,,,,73,,,,73,73,0,0.0,0.0
H23,,,,162.0,,,,162.0,162.0,0,0.0,0.0
H24,,,,61.0,,,,61.0,61.0,0,0.0,0.0
H25,,,,82.0,,,,82.0,82.0,0,0.0,0.0
H26,,,,95,,,,95,95,0,0.0,0.0
H27,,,,165.0,,,,165.0,165.0,0,0.0,0.0
H28,,,,78.0,,,,78.0,78.0,0,0.0,0.0
H29,,,,137.0,,,,137.0,137.0,0,0.0,0.0
H30,,,,20,,,,20,20,0,0.0,0.0
H31,,,,128.0,,,,128.0,128.0,0,0.0,0.0
H32,,,,72,,,,72,72,0,0.0,0.0
H33,,,,104.0,,,,104.0,104.0,0,0.0,0.0
H34,,,,117.0,,,,117.0,117.0,0,0.0,0.0
H35,,,,147.0,,,,147.0,147.0,0,0.0,0.0
H36,,,,101.0,,,,101.0,101.0,0,0.0,0.0
H37,,,,97.0,,,,97.0,97.0,0,0.0,0.0
H38,,,,34,,,,34,34,0,0.0,0.0
H39,,,,182.0,,,,182.0,182.0,0,0.0,0.0
H40,,,,101.0,,,,101.0,101.0,0,0.0,0.0
H41,,,,47.0,,,,47.0,47.0,0,0.0,0.0
H42,,,,70,,,,70,70,0,0.0,0.0
H43,,,,85.0,,,,85.0,85.0,0,0.0,0.0
H44,,,,134.0,,,,134.0,134.0,0,0.0,0.0
H45,,,,81,,,,81,81,0,0.0,0.0
H46,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H47,,,,135.0,,,,135.0,135.0,0,0.0,0.0
H48,,,,138.0,,,,138.0,138.0,0,0.0,0.0
H49,,,,27,,,,27,27,0,0.0,0.0
H50,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H51,,,,156.0,,,,156.0,156.0,0,0.0,0.0
H52,,,,44,,,,44,44,0,0.0,0.0
H53,,,,150.0,,,,150.0,150.0,0,0.0,0.0
H54,,,,82.0,,,,82.0,82.0,0,0.0,0.0
H55,,,,68,,,,68,68,0,0.0,0.0
H56,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H57,,,,104.0,,,,104.0,104.0,0,0.0,0.0
H58,,,,127.0,,,,127.0,127.0,0,0.0,0.0
H59,,,,109.0,,,,109.0,109.0,0,0.0,0.0
H60,,,,150.0,,,,150.0,150.0,0,0.0,0.0
H61,,,,10,,,,10,10,0,0.0,0.0
H62,,,,105.0,,,,105.0,105.0,0,0.0,0.0
H63,,,,4.0,,,,4.0,4.0,0,0.0,0.0
H64,,,,202.0,,,,202.0,202.0,0,0.0,0.0
H65,,,,89,,,,89,89,0,0.0,0.0
H66,,,,191.0,,,,191.0,191.0,0,0.0,0.0
H67,,,,66.0,,,,66.0,66.0,0,0.0,0.0
H68,,,,90.0,,,,90.0,90.0,0,0.0,0.0
H69,,,,53,,,,53,53,0,0.0,0.0
H70,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H71,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H72,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H73,,,,,,,,0,0,0,0.0,0.0
H74,,,,212.0,,,,212.0,212.0,0,0.0,0.0
H75,,,,101.0,,,,101.0,101.0,0,0.0,0.0
H76,,,,137.0,,,,137.0,137.0,0,0.0,0.0
H77,,,,116.0,,,,116.0,116.0,0,0.0,0.0
H78,,,,34,,,,34,34,0,0.0,0.0
H79,,,,138.0,,,,138.0,138.0,0,0.0,0.0
H80,,,,62,,,,62,62,0,0.0,0.0
H81,,,,124.0,,,,124.0,124.0,0,0.0,0.0
H82,,,,91.0,,,,91.0,91.0,0,0.0,0.0
H83,,,,132.0,,,,132.0,132.0,0,0.0,0.0
H84,,,,70.0,,,,70.0,70.0,0,0.0,0.0
H85,,,,119.0,,,,119.0,119.0,0,0.0,0.0
H86,,,,64,,,,64,64,0,0.0,0.0
H87,,,,194.0,,,,194.0,194.0,0,0.0,0.0
H88,,,,17.0,,,,17.0,17.0,0,0.0,0.0
H89,,,,166.0,,,,166.0,166.0,0,0.0,0.0
H90,,,,86.0,,,,86.0,86.0,0,0.0,0.0
H91,,,,61.0,,,,61.0,61.0,0,0.0,0.0
H92,,,,76,,,,76,76,0,0.0,0.0
H93,,,,69.0,,,,69.0,69.0,0,0.0,0.0
H94,,,,213.0,,,,213.0,213.0,0,0.0,0.0
H95,,,,18,,,,18,18,0,0.0,0.0
H96,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H97,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H98,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H99,,,,179.0,,,,179.0,179.0,0,0.0,0.0
H100,,,,21,,,,21,21,0,0.0,0.0
SYSTEM,,,,10000.0,,,10000.0,0,10000.0,10000.0,0.0,0.0
SYSTEM,system,System Total,10000.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,10000.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
