P_prefix,amount,day,payee,payer,step
40,40,1,H3,H2,1
91,51,1,H13,H12,2
186,95,1,H63,H62,3
271,85,1,H83,H82,4
79,79,2,H2,H1,1
170,91,2,H12,H11,2
243,73,2,H22,H21,3
315,72,2,H32,H31,4
385,70,2,H42,H41,5
429,44,2,H52,H51,6
505,76,2,H82,H81,7
581,76,2,H92,H91,8
29,29,3,H11,H10,1
46,17,3,H41,H40,2
56,10,3,H61,H60,3
93,37,3,H91,H90,4
20,20,4,H30,H29,1
38,18,4,H40,H39,2
98,60,4,H60,H59,3
160,62,4,H80,H79,4
183,23,4,H90,H89,5
204,21,4,H100,H99,6
40,40,5,H19,H18,1
97,57,5,H29,H28,2
124,27,5,H49,H48,3
193,69,5,H59,H58,4
246,53,5,H69,H68,5
335,89,5,H89,H88,6
38,38,6,H18,H17,1
73,35,6,H28,H27,2
107,34,6,H38,H37,3
172,65,6,H48,H47,4
268,96,6,H58,H57,5
311,43,6,H68,H67,6
345,34,6,H78,H77,7
351,6,6,H88,H87,8
48,48,7,H7,H6,1
79,31,7,H37,H36,2
88,9,7,H67,H66,3
138,50,7,H77,H76,4
76,76,8,H6,H5,1
172,96,8,H16,H15,2
267,95,8,H26,H25,3
299,32,8,H36,H35,4
386,87,8,H76,H75,5
450,64,8,H86,H85,6
77,77,9,H25,H24,1
156,79,9,H35,H34,2
237,81,9,H45,H44,3
305,68,9,H55,H54,4
394,89,9,H65,H64,5
482,88,9,H75,H74,6
565,83,9,H85,H84,7
583,18,9,H95,H94,8
84,84,10,H4,H3,1
95,11,10,H14,H13,2
133,38,10,H24,H23,3
229,96,10,H34,H33,4
344,115,10,H44,H43,5
394,50,10,H54,H53,6
585,191,10,H64,H63,7
638,53,10,H84,H83,8
769,131,10,H94,H93,9
