DS_t,agent,day
0.15289765721331688,H2,1
0,H23,1
0,H3,1
0,H63,1
0,H13,1
0.032059186189889025,H32,1
0.21701602959309493,H12,1
0,H73,1
0,H83,1
0,H33,1
0.12453760789149199,H42,1
0,H93,1
0,H53,1
0.187422934648582,H82,1
0.07398273736128237,H92,1
0.06165228113440197,H62,1
0.032059186189889025,H22,1
0,H43,1
0.04932182490752158,H52,1
0.0690505548705302,H72,1
0.11650485436893204,H15,2
0,H76,2
0,H46,2
0.21601941747572814,H55,2
0,H16,2
0,H86,2
0.09101941747572816,H25,2
0.09101941747572816,H85,2
0.14199029126213591,H45,2
0.01820388349514563,H65,2
0,H96,2
0.09466019417475728,H95,2
0,H66,2
0.03640776699029126,H35,2
0.08859223300970874,H5,2
0,H36,2
0.10558252427184465,H75,2
0,H56,2
0,H6,2
0,H26,2
0,H99,3
0.0640074211502783,H38,3
0,H49,3
0,H39,3
0,H89,3
0.13079777365491652,H88,3
0.09369202226345083,H28,3
0.16975881261595546,H98,3
0.10018552875695733,H8,3
0,H9,3
0,H79,3
0.07421150278293136,H48,3
0.16048237476808905,H68,3
0,H69,3
0.06307977736549165,H18,3
0,H59,3
0.10296846011131726,H78,3
0,H19,3
0.04081632653061224,H58,3
0,H29,3
0,H2,4
0.044044044044044044,H61,4
0,H32,4
0.13313313313313313,H31,4
0.08108108108108109,H21,4
0.07207207207207207,H51,4
0,H12,4
0,H42,4
0.14314314314314314,H81,4
0,H82,4
0,H92,4
0,H62,4
0.056056056056056056,H41,4
0.06306306306306306,H71,4
0,H22,4
0.05105105105105105,H11,4
0.15415415415415415,H1,4
0,H52,4
0,H72,4
0.2022022022022022,H91,4
0,H15,5
0.15366614664586584,H44,5
0.0265210608424337,H54,5
0.20124804992199688,H64,5
0,H55,5
0,H25,5
0.029641185647425898,H4,5
0.0249609984399376,H14,5
0,H85,5
0.11232449297971919,H94,5
0,H45,5
0,H65,5
0.11544461778471139,H74,5
0.17862714508580343,H84,5
0,H95,5
0,H35,5
0.15132605304212168,H34,5
0,H5,5
0.0062402496099844,H24,5
0,H75,5
0.058991436726926735,H77,6
0,H38,6
0.035204567078972404,H57,6
0.06279733587059944,H47,6
0,H88,6
0,H28,6
0.07516650808753568,H67,6
0,H98,6
0,H8,6
0.15509039010466222,H27,6
0.18553758325404376,H37,6
0.1560418648905804,H87,6
0,H48,6
0.11037107516650808,H97,6
0,H68,6
0,H18,6
0.10371075166508087,H17,6
0,H78,6
0.05708848715509039,H7,6
0,H58,6
0.16503122212310437,H20,7
0.07582515611061552,H100,7
0.08563782337198929,H80,7
0,H61,7
0,H31,7
0,H21,7
0,H51,7
0.11775200713648529,H30,7
0.09901873327386262,H40,7
0.19446922390722568,H60,7
0,H81,7
0,H41,7
0,H71,7
0.07225691347011597,H50,7
0,H91,7
0,H11,7
0.06422836752899197,H10,7
0,H1,7
0.05173951828724353,H90,7
0.07404103479036575,H70,7
0,H44,8
0.04387755102040816,H23,8
0,H54,8
0,H64,8
0.061224489795918366,H3,8
0.11632653061224489,H63,8
0.1683673469387755,H13,8
0,H4,8
0.003061224489795918,H73,8
0,H14,8
0,H94,8
0.04693877551020408,H83,8
0.026530612244897958,H33,8
0.1346938775510204,H93,8
0,H74,8
0.07142857142857142,H53,8
0,H84,8
0,H34,8
0.32755102040816325,H43,8
0,H24,8
0,H77,9
0.05785123966942149,H46,9
0,H47,9
0,H57,9
0.06139315230224321,H16,9
0.3293978748524203,H86,9
0.02833530106257379,H96,9
0,H67,9
0,H27,9
0.06257378984651712,H66,9
0,H37,9
0,H87,9
0,H97,9
0,H17,9
0,H7,9
0.12278630460448642,H36,9
0.1038961038961039,H76,9
0.10743801652892562,H56,9
0.06847697756788666,H6,9
0.05785123966942149,H26,9
0.050156739811912224,H99,10
0,H20,10
0,H100,10
0,H70,10
0.06478578892371996,H49,10
0,H80,10
0.050156739811912224,H39,10
0.09508881922675026,H89,10
0,H30,10
0,H40,10
0,H60,10
0.06478578892371996,H9,10
0.0438871473354232,H79,10
0.34691745036572624,H69,10
0.10658307210031348,H59,10
0,H50,10
0.06269592476489028,H19,10
0,H10,10
0,H90,10
0.11494252873563218,H29,10
