DS_t,agent,day
0,H2,1
0.0045983618335967815,H49,1
0,H16,1
0.001724385687598793,H61,1
0.002730277338698089,H86,1
0,H85,1
0.0043109642189969825,H93,1
0.03966087081477224,H9,1
0,H59,1
0.025578387699382095,H34,1
0.09512861043253341,H24,1
0.005604253484696077,H75,1
0,H56,1
0.009340422474493461,H6,1
0.04052306365857163,H44,1
0.02644058054318149,H32,1
0,H14,1
0.0007184940364994971,H83,1
0,H30,1
0.00244287972409829,H98,1
0,H62,1
0.07184940364994971,H68,1
0,H10,1
0,H1,1
0.01250179623509125,H20,1
0,H57,1
0,H45,1
0,H33,1
0,H65,1
0.008909326052593763,H8,1
0.014226181922690042,H66,1
0.034775111366575656,H50,1
0,H97,1
0,H58,1
0,H76,1
0.003736168989797385,H91,1
0,H47,1
0.020548929443885616,H55,1
0,H39,1
0.0705561143842506,H3,1
0,H31,1
0,H88,1
0,H82,1
0,H37,1
0,H41,1
0.0005747952291995977,H78,1
0,H43,1
0,H36,1
0,H29,1
0.009053024859893663,H99,1
0.015375772381089238,H23,1
0,H13,1
0.014082483115390142,H12,1
0,H42,1
0.015519471188389136,H60,1
0,H67,1
0,H53,1
0,H27,1
0,H92,1
0.0043109642189969825,H22,1
0.020261531829285816,H18,1
0.007616036786894669,H52,1
0.050869377784164393,H72,1
0,H77,1
0.0043109642189969825,H100,1
0.023135507975283805,H46,1
0,H54,1
0.008765627245293865,H89,1
0,H4,1
0,H51,1
0,H73,1
0.025578387699382095,H94,1
0.009196723667193563,H84,1
0,H95,1
0,H79,1
0,H69,1
0.04138525650237103,H87,1
0,H11,1
0,H90,1
0.012789193849691047,H15,1
0.0752981750251473,H38,1
0,H80,1
0,H25,1
0.08018393447334388,H28,1
0,H96,1
0,H74,1
0.013220290271590746,H81,1
0,H71,1
0,H7,1
0.017962350912487428,H26,1
0,H70,1
0.002730277338698089,H64,1
0.009340422474493461,H63,1
0,H21,1
0.04253484696077023,H40,1
0,H48,1
0,H35,1
0,H5,1
0,H17,1
0,H19,1
