DS_t,agent,day
0.00752162467092892,H2,1
0,H49,1
0,H16,1
0.012786761940579166,H61,1
0,H86,1
0.02181271154569387,H85,1
0.025197442647611885,H93,1
0.007897705904475368,H9,1
0.012034599473486273,H59,1
0.00376081233546446,H34,1
0.020308386611508085,H24,1
0.03384731101918014,H75,1
0.010530274539300489,H56,1
0.000752162467092892,H6,1
0.02482136141406544,H44,1
0,H32,1
0,H14,1
0,H83,1
0,H30,1
0.025197442647611885,H98,1
0,H62,1
0.003384731101918014,H68,1
0,H10,1
0.005641218503196691,H1,1
0.006769462203836028,H20,1
0,H57,1
0,H45,1
0.0052651372696502444,H33,1
0,H65,1
0.010154193305754042,H8,1
0.006017299736743136,H66,1
0.018804061677322303,H50,1
0,H97,1
0.015795411808950735,H58,1
0,H76,1
0,H91,1
0.01692365550959007,H47,1
0,H55,1
0.006769462203836028,H39,1
0.03309514855208725,H3,1
0.032342986084994356,H31,1
0,H88,1
0.03121474238435502,H82,1
0.025949605114704778,H37,1
0.022188792779240317,H41,1
0,H78,1
0,H43,1
0,H36,1
0.001504324934185784,H29,1
0.036479879654005266,H99,1
0,H23,1
0.001504324934185784,H13,1
0.04964272282813088,H12,1
0.03535163595336593,H42,1
0,H60,1
0.022940955246333206,H67,1
0,H53,1
0,H27,1
0.00752162467092892,H92,1
0.016547574276043624,H22,1
0,H18,1
0.018804061677322303,H52,1
0.022564874012786763,H72,1
0,H77,1
0,H100,1
0.022940955246333206,H46,1
0.02557352388115833,H54,1
0.039112448288830384,H89,1
0,H4,1
0,H51,1
0.012034599473486273,H73,1
0,H94,1
0,H84,1
0.009025949605114705,H95,1
0.03422339225272659,H79,1
0,H69,1
0,H87,1
0.012786761940579166,H11,1
0.005641218503196691,H90,1
0.030462579917262127,H15,1
0,H38,1
0.024069198946972545,H80,1
0,H25,1
0,H28,1
0.000376081233546446,H96,1
0,H74,1
0,H81,1
0,H71,1
0,H7,1
0.02745393004889056,H26,1
0,H70,1
0,H64,1
0.0285821737495299,H63,1
0,H21,1
0.003008649868371568,H40,1
0,H48,1
0.012034599473486273,H35,1
0.013162843174125612,H5,1
0.0383602858217375,H17,1
0.001504324934185784,H19,1
