P_prefix,amount,day,payee,payer,step
93,93,1,H2,H1,1
113,113,1,H3,H2,2
201,201,1,H4,H3,3
201,55,1,H5,H4,4
236,90,1,H6,H5,5
238,92,1,H7,H6,6
238,63,1,H8,H7,7
265,90,1,H9,H8,8
286,111,1,H10,H9,9
286,39,1,H11,H10,10
320,73,1,H12,H11,11
529,209,1,H14,H13,12
529,39,1,H15,H14,13
610,120,1,H16,H15,14
610,16,1,H17,H16,15
708,98,1,H19,H18,16
712,102,1,H20,H19,17
730,120,1,H21,H20,18
730,62,1,H22,H21,19
774,106,1,H23,H22,20
774,56,1,H24,H23,21
828,110,1,H25,H24,22
828,40,1,H26,H25,23
901,113,1,H27,H26,24
901,102,1,H28,H27,25
901,93,1,H29,H28,26
905,97,1,H30,H29,27
905,40,1,H31,H30,28
991,126,1,H32,H31,29
991,82,1,H33,H32,30
1005,96,1,H34,H33,31
1015,106,1,H35,H34,32
1047,138,1,H36,H35,33
1047,40,1,H37,H36,34
1116,109,1,H38,H37,35
1116,62,1,H39,H38,36
1134,80,1,H40,H39,37
1142,88,1,H41,H40,38
1201,147,1,H42,H41,39
1295,241,1,H43,H42,40
1295,104,1,H44,H43,41
1361,170,1,H45,H44,42
1361,121,1,H46,H45,43
1422,182,1,H47,H46,44
1467,227,1,H48,H47,45
1467,125,1,H49,H48,46
1467,88,1,H50,H49,47
1517,138,1,H51,H50,48
1517,50,1,H52,H51,49
1567,100,1,H53,H52,50
1567,100,1,H54,H53,51
1635,168,1,H55,H54,52
1635,66,1,H56,H55,53
1663,94,1,H57,H56,54
1663,43,1,H58,H57,55
1705,85,1,H59,H58,56
1737,117,1,H60,H59,57
1737,102,1,H61,H60,58
1771,136,1,H62,H61,59
1771,54,1,H63,H62,60
1847,130,1,H64,H63,61
1847,86,1,H65,H64,62
1847,42,1,H66,H65,63
1863,58,1,H67,H66,64
1924,119,1,H68,H67,65
1933,128,1,H69,H68,66
1933,64,1,H70,H69,67
1933,47,1,H71,H70,68
1933,36,1,H72,H71,69
1993,96,1,H73,H72,70
2025,128,1,H74,H73,71
2025,63,1,H75,H74,72
2115,153,1,H76,H75,73
2115,81,1,H77,H76,74
2115,41,1,H78,H77,75
2115,41,1,H79,H78,76
2206,132,1,H80,H79,77
2270,196,1,H81,H80,78
2270,22,1,H82,H81,79
2353,105,1,H83,H82,80
2353,60,1,H84,H83,81
2353,50,1,H85,H84,82
2411,108,1,H86,H85,83
2411,103,1,H87,H86,84
2411,80,1,H88,H87,85
2411,29,1,H89,H88,86
2559,148,1,H91,H90,87
2559,57,1,H92,H91,88
2579,77,1,H93,H92,89
2646,144,1,H94,H93,90
2646,86,1,H95,H94,91
2670,110,1,H96,H95,92
2671,111,1,H97,H96,93
2671,43,1,H98,H97,94
2738,110,1,H99,H98,95
2835,207,1,H100,H99,96
2757,78,1,H1,H100,97
