G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.31490817880498073,5000,915,76,915,0,1,0.9169398907103825,76,8,8,,0.08306010928961749,1
0,0.5981080401175236,5000,918,80,918,0,2,0.9128540305010894,80,6,6,,0.08714596949891068,1
0,0.3410743728502354,5000,697,65,697,0,3,0.9067431850789096,65,6,6,,0.09325681492109039,1
0,0.2785002331957714,5000,2128,0,2128,0,4,1,0,7,7,,0,
0,0.38592692086291497,5000,191,24,191,0,5,0.8743455497382199,24,7,7,,0.1256544502617801,1
0,0.17628927335640138,5000,1700,55,1700,0,6,0.9676470588235294,55,8,8,,0.03235294117647059,1
0,0.1938199824802676,5000,813,30,813,0,7,0.9630996309963099,30,9,9,,0.03690036900369004,1
0,0.3802930496817463,5000,765,46,765,0,8,0.9398692810457516,46,5,5,,0.06013071895424837,1
0,0.3339687465585213,5000,1423,28,1423,0,9,0.9803232607167955,28,7,7,,0.019676739283204497,1
0,0.20375796970181329,5000,411,189,411,0,10,0.5401459854014599,189,9,9,,0.45985401459854014,1
