G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.10677777777777778,5000,900,38,900,0,1,0.9577777777777777,38,10,10,,0.042222222222222223,1
0,0.10598443830901072,5000,835,47,835,0,2,0.9437125748502994,47,10,10,,0.0562874251497006,1
0,0.12174884071131868,5000,1254,36,1254,0,3,0.9712918660287081,36,10,10,,0.028708133971291867,1
0,0.10659352707544201,5000,921,0,921,0,4,1,0,10,10,,0,
0,0.11658255916851452,5000,1082,35,1082,0,5,0.967652495378928,35,10,10,,0.03234750462107209,1
0,0.12241099850231325,5000,987,38,987,0,6,0.961499493414387,38,10,10,,0.03850050658561297,1
0,0.11100020189378881,5000,893,0,893,0,7,1,0,10,10,,0,
0,0.11149917801063958,5000,1013,346,1013,0,8,0.6584402764067128,346,10,10,,0.3415597235932873,1
0,0.10936770286296257,5000,857,520,857,0,9,0.39323220536756126,520,10,10,,0.6067677946324388,1
0,0.11937750583622599,5000,1207,289,1207,0,10,0.7605633802816901,289,10,10,,0.23943661971830985,1
