P_prefix,amount,day,payee,payer,step
178,178,1,H3,H2,1
300,122,1,H13,H12,2
368,68,1,H23,H22,3
426,58,1,H33,H32,4
557,131,1,H43,H42,5
629,72,1,H53,H52,6
700,71,1,H63,H62,7
761,61,1,H73,H72,8
819,58,1,H83,H82,9
863,44,1,H93,H92,10
110,110,2,H6,H5,1
190,80,2,H16,H15,2
208,18,2,H26,H25,3
310,102,2,H36,H35,4
470,160,2,H46,H45,5
602,132,2,H56,H55,6
753,151,2,H66,H65,7
817,64,2,H76,H75,8
934,117,2,H86,H85,9
1150,216,2,H96,H95,10
160,160,3,H9,H8,1
231,71,3,H19,H18,2
285,54,3,H29,H28,3
395,110,3,H39,H38,4
512,117,3,H49,H48,5
666,154,3,H59,H58,6
732,66,3,H69,H68,7
765,33,3,H79,H78,8
851,86,3,H89,H88,9
972,121,3,H99,H98,10
90,90,4,H2,H1,1
158,68,4,H12,H11,2
250,92,4,H22,H21,3
361,111,4,H32,H31,4
421,60,4,H42,H41,5
570,149,4,H52,H51,6
634,64,4,H62,H61,7
734,100,4,H72,H71,8
799,65,4,H82,H81,9
851,52,4,H92,H91,10
81,81,5,H5,H4,1
230,149,5,H15,H14,2
366,136,5,H25,H24,3
441,75,5,H35,H34,4
498,57,5,H45,H44,5
638,140,5,H55,H54,6
696,58,5,H65,H64,7
820,124,5,H75,H74,8
911,91,5,H85,H84,9
1036,125,5,H95,H94,10
105,105,6,H8,H7,1
165,60,6,H18,H17,2
350,185,6,H28,H27,3
465,115,6,H38,H37,4
591,126,6,H48,H47,5
809,218,6,H58,H57,6
935,126,6,H68,H67,7
1061,126,6,H78,H77,8
1174,113,6,H88,H87,9
1267,93,6,H98,H97,10
112,112,7,H11,H10,1
170,58,7,H21,H20,2
306,136,7,H31,H30,3
412,106,7,H41,H40,4
478,66,7,H51,H50,5
586,108,7,H61,H60,6
670,84,7,H71,H70,7
725,55,7,H81,H80,8
777,52,7,H91,H90,9
840,63,7,H1,H100,10
105,105,8,H4,H3,1
203,98,8,H14,H13,2
266,63,8,H24,H23,3
366,100,8,H34,H33,4
435,69,8,H44,H43,5
518,83,8,H54,H53,6
658,140,8,H64,H63,7
728,70,8,H74,H73,8
796,68,8,H84,H83,9
889,93,8,H94,H93,10
126,126,9,H7,H6,1
276,150,9,H17,H16,2
348,72,9,H27,H26,3
425,77,9,H37,H36,4
559,134,9,H47,H46,5
631,72,9,H57,H56,6
775,144,9,H67,H66,7
925,150,9,H77,H76,8
974,49,9,H87,H86,9
1074,100,9,H97,H96,10
55,55,10,H10,H9,1
76,21,10,H20,H19,2
223,147,10,H30,H29,3
284,61,10,H40,H39,4
382,98,10,H50,H49,5
473,91,10,H60,H59,6
599,126,10,H70,H69,7
724,125,10,H80,H79,8
869,145,10,H90,H89,9
1008,139,10,H100,H99,10
