DS_t,agent,day
0.08564231738035265,H2,1
0,H23,1
0,H3,1
0,H63,1
0,H13,1
0.036523929471032744,H32,1
0.07178841309823678,H12,1
0,H73,1
0,H83,1
0,H33,1
0.1070528967254408,H42,1
0,H93,1
0,H53,1
0.0654911838790932,H82,1
0.08060453400503778,H92,1
0.1952141057934509,H62,1
0.13476070528967254,H22,1
0,H43,1
0.11083123425692695,H52,1
0.11209068010075567,H72,1
0.09800664451827243,H15,2
0,H76,2
0,H46,2
0.15199335548172757,H55,2
0,H16,2
0,H86,2
0.14534883720930233,H25,2
0.07807308970099668,H85,2
0.1079734219269103,H45,2
0.10714285714285714,H65,2
0,H96,2
0.05232558139534884,H95,2
0,H66,2
0.09717607973421927,H35,2
0.1303986710963455,H5,2
0,H36,2
0.03156146179401993,H75,2
0,H56,2
0,H6,2
0,H26,2
0,H99,3
0.058315334773218146,H38,3
0,H49,3
0,H39,3
0,H89,3
0.06479481641468683,H88,3
0.09611231101511879,H28,3
0.06587473002159827,H98,3
0.09935205183585313,H8,3
0,H9,3
0,H79,3
0.056155507559395246,H48,3
0.2386609071274298,H68,3
0,H69,3
0.11771058315334773,H18,3
0,H59,3
0.10043196544276457,H78,3
0,H19,3
0.10259179265658748,H58,3
0,H29,3
0,H2,4
0.07918552036199095,H61,4
0,H32,4
0.08710407239819004,H31,4
0.08597285067873303,H21,4
0.19457013574660634,H51,4
0,H12,4
0,H42,4
0.07918552036199095,H81,4
0,H82,4
0,H92,4
0,H62,4
0.18891402714932126,H41,4
0.07013574660633484,H71,4
0,H22,4
0.1323529411764706,H11,4
0.029411764705882353,H1,4
0,H52,4
0,H72,4
0.053167420814479636,H91,4
0,H15,5
0.07910271546635184,H44,5
0.21605667060212513,H54,5
0.05785123966942149,H64,5
0,H55,5
0,H25,5
0.09208972845336481,H4,5
0.07319952774498228,H14,5
0,H85,5
0.10861865407319952,H94,5
0,H45,5
0,H65,5
0.11097992916174734,H74,5
0.08382526564344746,H84,5
0,H95,5
0,H35,5
0.04132231404958678,H34,5
0,H5,5
0.13695395513577333,H24,5
0,H75,5
0.0866738894907909,H77,6
0,H38,6
0.22535211267605634,H57,6
0.09642470205850487,H47,6
0,H88,6
0,H28,6
0.07367280606717226,H67,6
0,H98,6
0,H8,6
0.0628385698808234,H27,6
0.08342361863488625,H37,6
0.13109425785482123,H87,6
0,H48,6
0.08775731310942579,H97,6
0,H68,6
0,H18,6
0.09534127843986999,H17,6
0,H78,6
0.05742145178764897,H7,6
0,H58,6
0.07089151450053706,H20,7
0.10311493018259936,H100,7
0.06981740064446831,H80,7
0,H61,7
0,H31,7
0,H21,7
0,H51,7
0.047261009667024706,H30,7
0.07089151450053706,H40,7
0.15037593984962405,H60,7
0,H81,7
0,H41,7
0,H71,7
0.079484425349087,H50,7
0,H91,7
0,H11,7
0.1364124597207304,H10,7
0,H1,7
0.14930182599355532,H90,7
0.12244897959183673,H70,7
0,H44,8
0.09887459807073955,H23,8
0,H54,8
0,H64,8
0.16559485530546625,H3,8
0.12540192926045016,H63,8
0.14067524115755628,H13,8
0,H4,8
0.0594855305466238,H73,8
0,H14,8
0,H94,8
0.06752411575562701,H83,8
0.11414790996784566,H33,8
0.03376205787781351,H93,8
0,H74,8
0.03215434083601286,H53,8
0,H84,8
0,H34,8
0.16237942122186494,H43,8
0,H24,8
0,H77,9
0.07269338303821063,H46,9
0,H47,9
0,H57,9
0.07921714818266543,H16,9
0.09972041006523766,H86,9
0.09319664492078285,H96,9
0,H67,9
0,H27,9
0.1509785647716682,H66,9
0,H37,9
0,H87,9
0,H97,9
0,H17,9
0,H7,9
0.06989748369058714,H36,9
0.1668219944082013,H76,9
0.09226467847157502,H56,9
0.12022367194780988,H6,9
0.05498602050326188,H26,9
0.08348134991119005,H99,10
0,H20,10
0,H100,10
0,H70,10
0.2211367673179396,H49,10
0,H80,10
0.1492007104795737,H39,10
0.11456483126110124,H89,10
0,H30,10
0,H40,10
0,H60,10
0.108348134991119,H9,10
0.13232682060390763,H79,10
0.0497335701598579,H69,10
0.07726465364120781,H59,10
0,H50,10
0.03108348134991119,H19,10
0,H10,10
0,H90,10
0.03285968028419183,H29,10
