G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.12234064314391514,5000,951,121,951,0,1,0.8727655099894848,121,10,10,,0.12723449001051526,1
0,0.13657719718734623,5000,1506,43,1506,0,2,0.9714475431606906,43,10,10,,0.028552456839309428,1
0,0.16228192645291312,5000,861,57,861,0,3,0.9337979094076655,57,10,10,,0.06620209059233449,1
0,0.14078889324576022,5000,808,115,808,0,4,0.8576732673267327,115,10,10,,0.14232673267326731,1
0,0.12970790683050518,5000,859,47,859,0,5,0.9452852153667055,47,10,10,,0.05471478463329453,1
0,0.14067287181664753,5000,1097,80,1097,0,6,0.927073837739289,80,10,10,,0.07292616226071102,1
0,0.1822127226993705,5000,831,186,831,0,7,0.776173285198556,186,10,10,,0.22382671480144403,1
0,0.23918596310496182,5000,997,160,997,0,8,0.839518555667001,160,10,10,,0.160481444332999,1
0,0.20716011542927396,5000,968,185,968,0,9,0.8088842975206612,185,10,10,,0.19111570247933884,1
0,0.18161799638657414,5000,1074,264,1074,0,10,0.7541899441340782,264,10,10,,0.24581005586592178,1
