DS_t,agent,day
0.0028308563340410475,H2,1
0,H23,1
0,H38,1
0,H57,1
0,H13,1
0.009200283085633405,H12,1
0,H28,1
0,H33,1
0.010615711252653927,H42,1
0,H93,1
0.019815994338287332,H67,1
0,H53,1
0.0021231422505307855,H27,1
0.043170559094125975,H92,1
0,H8,1
0.08209483368719038,H97,1
0.1111111111111111,H22,1
0,H18,1
0.17763623496107572,H7,1
0,H58,1
0.09483368719037509,H52,1
0,H72,1
0.09341825902335456,H77,1
0.029016277423920735,H47,1
0,H3,1
0,H63,1
0.19603680113234254,H32,1
0,H73,1
0,H88,1
0,H83,1
0,H98,1
0,H82,1
0.0007077140835102619,H62,1
0.060155697098372256,H37,1
0.009907997169143666,H87,1
0,H48,1
0,H68,1
0.05732484076433121,H17,1
0,H78,1
0,H43,1
0.03144140465496121,H15,3
0.0008166598611678236,H20,3
0.13107390771743568,H80,3
0,H16,3
0,H61,3
0,H86,3
0.004899959167006942,H25,3
0,H85,3
0.009391588403429971,H45,3
0.017149857084524295,H65,3
0,H96,3
0.06533278889342589,H60,3
0,H81,3
0,H66,3
0,H71,3
0.034708044099632504,H50,3
0.16864026133115556,H75,3
0,H76,3
0,H56,3
0,H6,3
0.15353205389955082,H70,3
0,H91,3
0,H26,3
0.014291547570436913,H100,3
0,H46,3
0.002041649652919559,H55,3
0,H21,3
0,H31,3
0,H51,3
0.055941200489995915,H30,3
0.0004083299305839118,H40,3
0.006124948958758677,H95,3
0,H41,3
0.027766435279706004,H35,3
0,H11,3
0.0028583095140873828,H5,3
0.023683135973866884,H10,3
0,H36,3
0,H1,3
0.24989791751735402,H90,3
0,H99,5
0.0549618320610687,H23,5
0.052290076335877865,H38,5
0,H49,5
0.0003816793893129771,H13,5
0.0950381679389313,H28,5
0.003435114503816794,H33,5
0.03396946564885496,H93,5
0,H74,5
0.06526717557251908,H53,5
0.04083969465648855,H8,5
0,H9,5
0,H59,5
0.03740458015267176,H18,5
0,H34,5
0.1435114503816794,H58,5
0,H24,5
0,H44,5
0,H54,5
0,H64,5
0,H39,5
0.03244274809160305,H3,5
0,H89,5
0.0007633587786259542,H63,5
0,H4,5
0.0019083969465648854,H73,5
0.03282442748091603,H88,5
0,H14,5
0,H94,5
0.2851145038167939,H83,5
0,H98,5
0,H84,5
0,H79,5
0.0015267175572519084,H48,5
0.0003816793893129771,H68,5
0,H69,5
0.004580152671755725,H78,5
0.1133587786259542,H43,5
0,H19,5
0,H29,5
0,H2,7
0,H57,7
0.013401403956604978,H16,7
0.003190810465858328,H61,7
0.02297383535417996,H86,7
0,H12,7
0.016592214422463305,H96,7
0,H42,7
0.0019144862795149968,H81,7
0,H67,7
0,H27,7
0,H92,7
0.06381620931716656,H66,7
0.003190810465858328,H71,7
0,H97,7
0,H22,7
0,H7,7
0,H52,7
0,H72,7
0.12890874282067646,H76,7
0.11869814932992981,H56,7
0.08296107211231653,H6,7
0.10721123165283983,H26,7
0,H91,7
0,H77,7
0.07594128908742821,H46,7
0,H47,7
0,H32,7
0.1429483088704531,H21,7
0.03446075303126994,H31,7
0.01595405232929164,H51,7
0,H82,7
0,H62,7
0,H37,7
0.013401403956604978,H41,7
0,H87,7
0.1244416081684748,H11,7
0,H17,7
0.029355456285896617,H36,7
0.0006381620931716656,H1,7
0,H15,9
0.005789473684210527,H99,9
0,H20,9
0.002631578947368421,H49,9
0,H80,9
0,H25,9
0,H85,9
0,H45,9
0,H65,9
0.004736842105263158,H74,9
0,H60,9
0.010526315789473684,H9,9
0.009473684210526316,H59,9
0,H50,9
0.061052631578947365,H34,9
0.018421052631578946,H24,9
0,H75,9
0,H70,9
0.0036842105263157894,H44,9
0,H100,9
0.07789473684210527,H54,9
0.018947368421052633,H64,9
0,H39,9
0,H55,9
0,H89,9
0,H4,9
0.061052631578947365,H14,9
0.010526315789473684,H94,9
0,H30,9
0,H40,9
0.24842105263157896,H84,9
0,H95,9
0.17157894736842105,H79,9
0.03,H69,9
0,H35,9
0,H5,9
0.0036842105263157894,H19,9
0,H10,9
0,H90,9
0.2615789473684211,H29,9
