P_prefix,amount,day,payee,payer,step
58,58,1,H4,H3,1
58,11,1,H5,H4,2
98,51,1,H6,H5,3
98,37,1,H7,H6,4
135,74,1,H8,H7,5
259,124,1,H11,H10,6
463,204,1,H13,H12,7
463,41,1,H14,H13,8
603,140,1,H17,H16,9
603,34,1,H18,H17,10
624,55,1,H19,H18,11
658,89,1,H20,H19,12
770,112,1,H22,H21,13
770,60,1,H23,H22,14
770,23,1,H24,H23,15
822,52,1,H26,H25,16
844,74,1,H27,H26,17
844,35,1,H28,H27,18
871,27,1,H30,H29,19
942,71,1,H33,H32,20
942,51,1,H34,H33,21
970,28,1,H37,H36,22
1013,71,1,H38,H37,23
1013,21,1,H39,H38,24
1181,168,1,H42,H41,25
1181,55,1,H43,H42,26
1268,87,1,H45,H44,27
1275,94,1,H46,H45,28
1275,50,1,H47,H46,29
1285,60,1,H48,H47,30
1322,97,1,H49,H48,31
1322,90,1,H50,H49,32
1370,138,1,H51,H50,33
1392,160,1,H52,H51,34
1392,57,1,H53,H52,35
1424,89,1,H54,H53,36
1508,84,1,H56,H55,37
1527,103,1,H57,H56,38
1527,82,1,H58,H57,39
1527,22,1,H59,H58,40
1564,59,1,H60,H59,41
1589,84,1,H61,H60,42
1589,36,1,H62,H61,43
1589,18,1,H63,H62,44
1707,118,1,H65,H64,45
1741,152,1,H66,H65,46
1741,97,1,H67,H66,47
1741,35,1,H68,H67,48
1741,18,1,H69,H68,49
1839,98,1,H71,H70,50
1839,74,1,H72,H71,51
1839,53,1,H73,H72,52
1847,8,1,H75,H74,53
1880,33,1,H77,H76,54
1905,25,1,H80,H79,55
1913,33,1,H81,H80,56
1955,42,1,H83,H82,57
2000,87,1,H84,H83,58
2047,134,1,H85,H84,59
2047,50,1,H86,H85,60
2067,70,1,H87,H86,61
2094,27,1,H89,H88,62
2114,20,1,H91,H90,63
2233,119,1,H94,H93,64
2260,27,1,H96,H95,65
2326,66,1,H98,H97,66
2360,100,1,H99,H98,67
2384,124,1,H100,H99,68
2384,96,1,H1,H100,69
