P_prefix,amount,day,payee,payer,step
5,5,1,H3,H2,1
6,6,1,H4,H3,2
23,23,1,H5,H4,3
23,3,1,H6,H5,4
32,9,1,H8,H7,5
32,5,1,H9,H8,6
47,15,1,H12,H11,7
49,2,1,H16,H15,8
79,30,1,H18,H17,9
81,2,1,H20,H19,10
91,10,1,H22,H21,11
110,19,1,H24,H23,12
112,2,1,H29,H28,13
122,10,1,H31,H30,14
124,12,1,H32,H31,15
145,33,1,H33,H32,16
147,2,1,H35,H34,17
157,12,1,H36,H35,18
157,2,1,H37,H36,19
160,3,1,H41,H40,20
172,15,1,H42,H41,21
202,45,1,H43,H42,22
208,51,1,H44,H43,23
231,23,1,H46,H45,24
231,6,1,H47,H46,25
258,33,1,H48,H47,26
283,25,1,H55,H54,27
283,6,1,H56,H55,28
328,51,1,H57,H56,29
328,14,1,H58,H57,30
361,33,1,H62,H61,31
378,17,1,H64,H63,32
395,34,1,H65,H64,33
399,4,1,H75,H74,34
399,1,1,H76,H75,35
400,1,1,H81,H80,36
446,46,1,H83,H82,37
446,18,1,H84,H83,38
477,49,1,H85,H84,39
479,2,1,H87,H86,40
480,1,1,H89,H88,41
524,45,1,H90,H89,42
541,17,1,H93,H92,43
541,2,1,H94,H93,44
542,1,1,H96,H95,45
554,13,1,H97,H96,46
558,4,1,H99,H98,47
