agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,5000.0,-5000.0,0,5000.0,0.0,0.0
H1,,,,45,,,,45,45,0,0.0,0.0
H2,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H3,,,,29.0,,,,29.0,29.0,0,0.0,0.0
H4,,,,114.0,,,,114.0,114.0,0,0.0,0.0
H5,,,,7,,,,7,7,0,0.0,0.0
H6,,,,59.0,,,,59.0,59.0,0,0.0,0.0
H7,,,,44.0,,,,44.0,44.0,0,0.0,0.0
H8,,,,47,,,,47,47,0,0.0,0.0
H9,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H10,,,,91.0,,,,91.0,91.0,0,0.0,0.0
H11,,,,9,,,,9,9,0,0.0,0.0
H12,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H13,,,,47.0,,,,47.0,47.0,0,0.0,0.0
H14,,,,103.0,,,,103.0,103.0,0,0.0,0.0
H15,,,,43.0,,,,43.0,43.0,0,0.0,0.0
H16,,,,57.0,,,,57.0,57.0,0,0.0,0.0
H17,,,,48.0,,,,48.0,48.0,0,0.0,0.0
H18,,,,2,,,,2,2,0,0.0,0.0
H19,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H20,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H21,,,,92.0,,,,92.0,92.0,0,0.0,0.0
H22,,,,8,,,,8,8,0,0.0,0.0
H23,,,,,,,,0,0,0,0.0,0.0
H24,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H25,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H26,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H27,,,,81.0,,,,81.0,81.0,0,0.0,0.0
H28,,,,19,,,,19,19,0,0.0,0.0
H29,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H30,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H31,,,,89.0,,,,89.0,89.0,0,0.0,0.0
H32,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H33,,,,84.0,,,,84.0,84.0,0,0.0,0.0
H34,,,,43.0,,,,43.0,43.0,0,0.0,0.0
H35,,,,56.0,,,,56.0,56.0,0,0.0,0.0
H36,,,,3,,,,3,3,0,0.0,0.0
H37,,,,96.0,,,,96.0,96.0,0,0.0,0.0
H38,,,,22.0,,,,22.0,22.0,0,0.0,0.0
H39,,,,74.0,,,,74.0,74.0,0,0.0,0.0
H40,,,,44.0,,,,44.0,44.0,0,0.0,0.0
H41,,,,14,,,,14,14,0,0.0,0.0
H42,,,,96.0,,,,96.0,96.0,0,0.0,0.0
H43,,,,,,,,0,0,0,0.0,0.0
H44,,,,54.0,,,,54.0,54.0,0,0.0,0.0
H45,,,,84.0,,,,84.0,84.0,0,0.0,0.0
H46,,,,66.0,,,,66.0,66.0,0,0.0,0.0
H47,,,,,,,,0,0,0,0.0,0.0
