G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.31757471754255556,5000,943,66,943,0,1,0.9300106044538706,66,8,8,,0.06998939554612937,1
0,0.21522397105754446,5000,517,112,517,0,2,0.7833655705996132,112,10,10,,0.21663442940038685,1
0,0.30100954139735303,5000,570,152,570,0,3,0.7333333333333333,152,9,9,,0.26666666666666666,1
0,0.13186582971888797,5000,1077,47,1077,0,4,0.9563602599814299,47,10,10,,0.0436397400185701,1
0,0.25829694677672677,5000,2328,67,2328,0,5,0.9712199312714777,67,10,10,,0.028780068728522335,1
0,0.29015221885151277,5000,965,91,965,0,6,0.9056994818652849,91,10,10,,0.09430051813471503,1
0,0.34079359838232287,5000,1639,75,1639,0,7,0.9542403904820013,75,8,8,,0.04575960951799878,1
0,0.214155330867764,5000,502,72,502,0,8,0.8565737051792829,72,10,10,,0.14342629482071714,1
0,0.20449121783902824,5000,722,82,722,0,9,0.8864265927977839,82,9,9,,0.11357340720221606,1
0,0.230080359218482,5000,691,169,691,0,10,0.7554269175108539,169,9,9,,0.24457308248914617,1
