P_prefix,amount,day,payee,payer,step
46,46,1,H3,H2,1
62,16,1,H8,H7,2
67,5,1,H13,H12,3
94,27,1,H18,H17,4
125,31,1,H23,H22,5
159,34,1,H28,H27,6
160,1,1,H38,H37,7
178,18,1,H98,H97,8
53,53,3,H9,H8,1
119,66,3,H19,H18,2
120,1,3,H24,H23,3
125,5,3,H34,H33,4
127,2,3,H39,H38,5
161,34,3,H44,H43,6
236,75,3,H49,H48,7
277,41,3,H54,H53,8
347,70,3,H59,H58,9
357,10,3,H64,H63,10
423,66,3,H69,H68,11
424,1,3,H79,H78,12
466,42,3,H84,H83,13
514,48,3,H99,H98,14
80,80,5,H5,H4,1
180,100,5,H10,H9,2
219,39,5,H20,H19,3
330,111,5,H30,H29,4
348,18,5,H35,H34,5
397,49,5,H45,H44,6
403,6,5,H50,H49,7
408,5,5,H55,H54,8
440,32,5,H60,H59,9
450,10,5,H65,H64,10
464,14,5,H70,H69,11
472,8,5,H80,H79,12
501,29,5,H85,H84,13
27,27,7,H11,H10,1
60,33,7,H16,H15,2
70,10,7,H26,H25,3
135,65,7,H31,H30,4
155,20,7,H36,H35,5
156,1,7,H41,H40,6
228,72,7,H61,H60,7
230,2,7,H66,H65,8
234,4,7,H71,H70,9
270,36,7,H76,H75,10
274,4,7,H81,H80,11
293,19,7,H86,H85,12
321,28,7,H96,H95,13
328,7,7,H1,H100,14
31,31,9,H7,H6,1
43,12,9,H17,H16,2
164,121,9,H22,H21,3
213,49,9,H37,H36,4
232,19,9,H42,H41,5
247,15,9,H47,H46,6
289,42,9,H52,H51,7
318,29,9,H62,H61,8
350,32,9,H67,H66,9
399,49,9,H77,H76,10
404,5,9,H92,H91,11
