G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.17509594172736734,2500,775,39,775,0,1,0.9496774193548387,39,10,10,,0.05032258064516129,1
0,0.1308933089479385,2500,1101,13,1101,0,2,0.9881925522252498,13,10,10,,0.011807447774750226,1
0,0.14405148543036075,2500,1112,0,1112,0,3,1,0,10,10,,0,
0,0.12663797593267728,2500,955,0,955,0,4,1,0,10,10,,0,
0,0.1343363975869003,2500,708,41,708,0,5,0.942090395480226,41,10,10,,0.05790960451977401,1
0,0.15058623712469865,2500,936,29,936,0,6,0.969017094017094,29,10,10,,0.030982905982905984,1
0,0.18674177361717692,2500,981,11,981,0,7,0.9887869520897044,11,10,10,,0.011213047910295617,1
0,0.11916318788069734,2500,1104,0,1104,0,8,1,0,10,10,,0,
0,0.16496203370803206,2500,1131,103,1131,0,9,0.9089301503094607,103,10,10,,0.09106984969053934,1
0,0.12826978003007353,2500,1153,75,1153,0,10,0.9349522983521249,75,10,10,,0.06504770164787511,1
