agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,40000.0,-40000.0,0,40000.0,0.0,0.0
H1,,,,241.0,,,,241.0,241.0,0,0.0,0.0
H2,,,,687.0,,,,687.0,687.0,0,0.0,0.0
H3,,,,420.0,,,,420.0,420.0,0,0.0,0.0
H4,,,,388.0,,,,388.0,388.0,0,0.0,0.0
H5,,,,320.0,,,,320.0,320.0,0,0.0,0.0
H6,,,,163,,,,163,163,0,0.0,0.0
H7,,,,739.0,,,,739.0,739.0,0,0.0,0.0
H8,,,,432.0,,,,432.0,432.0,0,0.0,0.0
H9,,,,377.0,,,,377.0,377.0,0,0.0,0.0
H10,,,,445.0,,,,445.0,445.0,0,0.0,0.0
H11,,,,292.0,,,,292.0,292.0,0,0.0,0.0
H12,,,,115,,,,115,115,0,0.0,0.0
H13,,,,774.0,,,,774.0,774.0,0,0.0,0.0
H14,,,,267.0,,,,267.0,267.0,0,0.0,0.0
H15,,,,533.0,,,,533.0,533.0,0,0.0,0.0
H16,,,,129.0,,,,129.0,129.0,0,0.0,0.0
H17,,,,606.0,,,,606.0,606.0,0,0.0,0.0
H18,,,,437.0,,,,437.0,437.0,0,0.0,0.0
H19,,,,451.0,,,,451.0,451.0,0,0.0,0.0
H20,,,,385.0,,,,385.0,385.0,0,0.0,0.0
H21,,,,158.0,,,,158.0,158.0,0,0.0,0.0
H22,,,,637.0,,,,637.0,637.0,0,0.0,0.0
H23,,,,317.0,,,,317.0,317.0,0,0.0,0.0
H24,,,,415.0,,,,415.0,415.0,0,0.0,0.0
H25,,,,426.0,,,,426.0,426.0,0,0.0,0.0
H26,,,,325.0,,,,325.0,325.0,0,0.0,0.0
H27,,,,525.0,,,,525.0,525.0,0,0.0,0.0
H28,,,,291.0,,,,291.0,291.0,0,0.0,0.0
H29,,,,517.0,,,,517.0,517.0,0,0.0,0.0
H30,,,,380.0,,,,380.0,380.0,0,0.0,0.0
H31,,,,301.0,,,,301.0,301.0,0,0.0,0.0
H32,,,,503.0,,,,503.0,503.0,0,0.0,0.0
H33,,,,407.0,,,,407.0,407.0,0,0.0,0.0
H34,,,,340.0,,,,340.0,340.0,0,0.0,0.0
H35,,,,362.0,,,,362.0,362.0,0,0.0,0.0
H36,,,,514.0,,,,514.0,514.0,0,0.0,0.0
H37,,,,275.0,,,,275.0,275.0,0,0.0,0.0
H38,,,,427.0,,,,427.0,427.0,0,0.0,0.0
H39,,,,498.0,,,,498.0,498.0,0,0.0,0.0
H40,,,,306.0,,,,306.0,306.0,0,0.0,0.0
H41,,,,494.0,,,,494.0,494.0,0,0.0,0.0
