agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,10000.0,-10000.0,0,10000.0,0.0,0.0
H1,,,,146.0,,,,146.0,146.0,0,0.0,0.0
H2,,,,33,,,,33,33,0,0.0,0.0
H3,,,,,,,,0,0,0,0.0,0.0
H4,,,,220.0,,,,220.0,220.0,0,0.0,0.0
H5,,,,75.0,,,,75.0,75.0,0,0.0,0.0
H6,,,,109.0,,,,109.0,109.0,0,0.0,0.0
H7,,,,96,,,,96,96,0,0.0,0.0
H8,,,,114.0,,,,114.0,114.0,0,0.0,0.0
H9,,,,31.0,,,,31.0,31.0,0,0.0,0.0
H10,,,,126.0,,,,126.0,126.0,0,0.0,0.0
H11,,,,168.0,,,,168.0,168.0,0,0.0,0.0
H12,,,,84.0,,,,84.0,84.0,0,0.0,0.0
H13,,,,114.0,,,,114.0,114.0,0,0.0,0.0
H14,,,,,,,,0,0,0,0.0,0.0
H15,,,,204.0,,,,204.0,204.0,0,0.0,0.0
H16,,,,97.0,,,,97.0,97.0,0,0.0,0.0
H17,,,,115.0,,,,115.0,115.0,0,0.0,0.0
H18,,,,15.0,,,,15.0,15.0,0,0.0,0.0
H19,,,,179.0,,,,179.0,179.0,0,0.0,0.0
H20,,,,30.0,,,,30.0,30.0,0,0.0,0.0
H21,,,,166.0,,,,166.0,166.0,0,0.0,0.0
H22,,,,106.0,,,,106.0,106.0,0,0.0,0.0
H23,,,,18.0,,,,18.0,18.0,0,0.0,0.0
H24,,,,167.0,,,,167.0,167.0,0,0.0,0.0
H25,,,,,,,,0,0,0,0.0,0.0
H26,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H27,,,,179.0,,,,179.0,179.0,0,0.0,0.0
H28,,,,60.0,,,,60.0,60.0,0,0.0,0.0
H29,,,,73.0,,,,73.0,73.0,0,0.0,0.0
H30,,,,125.0,,,,125.0,125.0,0,0.0,0.0
H31,,,,152.0,,,,152.0,152.0,0,0.0,0.0
H32,,,,110.0,,,,110.0,110.0,0,0.0,0.0
H33,,,,51.0,,,,51.0,51.0,0,0.0,0.0
H34,,,,127.0,,,,127.0,127.0,0,0.0,0.0
H35,,,,99.0,,,,99.0,99.0,0,0.0,0.0
H36,,,,81.0,,,,81.0,81.0,0,0.0,0.0
H37,,,,109,,,,109,109,0,0.0,0.0
H38,,,,129.0,,,,129.0,129.0,0,0.0,0.0
H39,,,,99.0,,,,99.0,99.0,0,0.0,0.0
H40,,,,67.0,,,,67.0,67.0,0,0.0,0.0
H41,,,,90.0,,,,90.0,90.0,0,0.0,0.0
H42,,,,137.0,,,,137.0,137.0,0,0.0,0.0
H43,,,,,,,,0,0,0,0.0,0.0
H44,,,,67.0,,,,67.0,67.0,0,0.0,0.0
H45,,,,241.0,,,,241.0,241.0,0,0.0,0.0
H46,,,,66.0,,,,66.0,66.0,0,0.0,0.0
H47,,,,104,,,,104,104,0,0.0,0.0
H48,,,,125.0,,,,125.0,125.0,0,0.0,0.0
H49,,,,37.0,,,,37.0,37.0,0,0.0,0.0
H50,,,,203.0,,,,203.0,203.0,0,0.0,0.0
H51,,,,,,,,0,0,0,0.0,0.0
H52,,,,157.0,,,,157.0,157.0,0,0.0,0.0
H53,,,,141.0,,,,141.0,141.0,0,0.0,0.0
H54,,,,77.0,,,,77.0,77.0,0,0.0,0.0
H55,,,,38.0,,,,38.0,38.0,0,0.0,0.0
H56,,,,172.0,,,,172.0,172.0,0,0.0,0.0
H57,,,,56.0,,,,56.0,56.0,0,0.0,0.0
H58,,,,108.0,,,,108.0,108.0,0,0.0,0.0
H59,,,,129.0,,,,129.0,129.0,0,0.0,0.0
H60,,,,81.0,,,,81.0,81.0,0,0.0,0.0
H61,,,,113.0,,,,113.0,113.0,0,0.0,0.0
H62,,,,131.0,,,,131.0,131.0,0,0.0,0.0
H63,,,,82.0,,,,82.0,82.0,0,0.0,0.0
H64,,,,22.0,,,,22.0,22.0,0,0.0,0.0
H65,,,,27.0,,,,27.0,27.0,0,0.0,0.0
H66,,,,179.0,,,,179.0,179.0,0,0.0,0.0
H67,,,,122,,,,122,122,0,0.0,0.0
H68,,,,137.0,,,,137.0,137.0,0,0.0,0.0
H69,,,,57.0,,,,57.0,57.0,0,0.0,0.0
H70,,,,107.0,,,,107.0,107.0,0,0.0,0.0
H71,,,,153.0,,,,153.0,153.0,0,0.0,0.0
H72,,,,46,,,,46,46,0,0.0,0.0
