agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,2500.0,-2500.0,0,2500.0,0.0,0.0
H1,,,,57,,,,57,57,0,0.0,0.0
H2,,,,41.0,,,,41.0,41.0,0,0.0,0.0
H3,,,,,,,,0,0,0,0.0,0.0
H4,,,,34.0,,,,34.0,34.0,0,0.0,0.0
H5,,,,22.0,,,,22.0,22.0,0,0.0,0.0
H6,,,,,,,,0,0,0,0.0,0.0
H7,,,,3.0,,,,3.0,3.0,0,0.0,0.0
H8,,,,41.0,,,,41.0,41.0,0,0.0,0.0
H9,,,,57.0,,,,57.0,57.0,0,0.0,0.0
H10,,,,13.0,,,,13.0,13.0,0,0.0,0.0
H11,,,,,,,,0,0,0,0.0,0.0
H12,,,,24.0,,,,24.0,24.0,0,0.0,0.0
H13,,,,,,,,0,0,0,0.0,0.0
H14,,,,,,,,0,0,0,0.0,0.0
H15,,,,,,,,0,0,0,0.0,0.0
H16,,,,98.0,,,,98.0,98.0,0,0.0,0.0
H17,,,,,,,,0,0,0,0.0,0.0
H18,,,,105.0,,,,105.0,105.0,0,0.0,0.0
H19,,,,,,,,0,0,0,0.0,0.0
H20,,,,,,,,0,0,0,0.0,0.0
H21,,,,,,,,0,0,0,0.0,0.0
H22,,,,,,,,0,0,0,0.0,0.0
H23,,,,45.0,,,,45.0,45.0,0,0.0,0.0
H24,,,,80.0,,,,80.0,80.0,0,0.0,0.0
H25,,,,,,,,0,0,0,0.0,0.0
H26,,,,4.0,,,,4.0,4.0,0,0.0,0.0
H27,,,,45.0,,,,45.0,45.0,0,0.0,0.0
H28,,,,,,,,0,0,0,0.0,0.0
H29,,,,,,,,0,0,0,0.0,0.0
H30,,,,,,,,0,0,0,0.0,0.0
H31,,,,85.0,,,,85.0,85.0,0,0.0,0.0
H32,,,,30.0,,,,30.0,30.0,0,0.0,0.0
H33,,,,66.0,,,,66.0,66.0,0,0.0,0.0
H34,,,,,,,,0,0,0,0.0,0.0
H35,,,,7.0,,,,7.0,7.0,0,0.0,0.0
H36,,,,,,,,0,0,0,0.0,0.0
H37,,,,,,,,0,0,0,0.0,0.0
H38,,,,91.0,,,,91.0,91.0,0,0.0,0.0
H39,,,,,,,,0,0,0,0.0,0.0
H40,,,,,,,,0,0,0,0.0,0.0
H41,,,,98.0,,,,98.0,98.0,0,0.0,0.0
H42,,,,,,,,0,0,0,0.0,0.0
H43,,,,22.0,,,,22.0,22.0,0,0.0,0.0
H44,,,,58.0,,,,58.0,58.0,0,0.0,0.0
H45,,,,,,,,0,0,0,0.0,0.0
H46,,,,24.0,,,,24.0,24.0,0,0.0,0.0
H47,,,,22.0,,,,22.0,22.0,0,0.0,0.0
H48,,,,36.0,,,,36.0,36.0,0,0.0,0.0
H49,,,,24.0,,,,24.0,24.0,0,0.0,0.0
H50,,,,,,,,0,0,0,0.0,0.0
H51,,,,38.0,,,,38.0,38.0,0,0.0,0.0
H52,,,,,,,,0,0,0,0.0,0.0
H53,,,,66.0,,,,66.0,66.0,0,0.0,0.0
H54,,,,,,,,0,0,0,0.0,0.0
