agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,2500.0,-2500.0,0,2500.0,0.0,0.0
H1,,,,15.0,,,,15.0,15.0,0,0.0,0.0
H2,,,,23,,,,23,23,0,0.0,0.0
H3,,,,1.0,,,,1.0,1.0,0,0.0,0.0
H4,,,,,,,,0,0,0,0.0,0.0
H5,,,,74.0,,,,74.0,74.0,0,0.0,0.0
H6,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H7,,,,,,,,0,0,0,0.0,0.0
H8,,,,,,,,0,0,0,0.0,0.0
H9,,,,17.0,,,,17.0,17.0,0,0.0,0.0
H10,,,,58,,,,58,58,0,0.0,0.0
H11,,,,,,,,0,0,0,0.0,0.0
H12,,,,70.0,,,,70.0,70.0,0,0.0,0.0
H13,,,,,,,,0,0,0,0.0,0.0
H14,,,,,,,,0,0,0,0.0,0.0
H15,,,,55.0,,,,55.0,55.0,0,0.0,0.0
H16,,,,44.0,,,,44.0,44.0,0,0.0,0.0
H17,,,,6,,,,6,6,0,0.0,0.0
H18,,,,,,,,0,0,0,0.0,0.0
H19,,,,,,,,0,0,0,0.0,0.0
H20,,,,75.0,,,,75.0,75.0,0,0.0,0.0
H21,,,,,,,,0,0,0,0.0,0.0
H22,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H23,,,,14.0,,,,14.0,14.0,0,0.0,0.0
H24,,,,,,,,0,0,0,0.0,0.0
H25,,,,61.0,,,,61.0,61.0,0,0.0,0.0
H26,,,,,,,,0,0,0,0.0,0.0
H27,,,,64.0,,,,64.0,64.0,0,0.0,0.0
H28,,,,,,,,0,0,0,0.0,0.0
H29,,,,,,,,0,0,0,0.0,0.0
H30,,,,82.0,,,,82.0,82.0,0,0.0,0.0
H31,,,,,,,,0,0,0,0.0,0.0
H32,,,,29.0,,,,29.0,29.0,0,0.0,0.0
H33,,,,,,,,0,0,0,0.0,0.0
H34,,,,70.0,,,,70.0,70.0,0,0.0,0.0
H35,,,,5,,,,5,5,0,0.0,0.0
H36,,,,,,,,0,0,0,0.0,0.0
H37,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H38,,,,39.0,,,,39.0,39.0,0,0.0,0.0
H39,,,,13.0,,,,13.0,13.0,0,0.0,0.0
H40,,,,23,,,,23,23,0,0.0,0.0
H41,,,,,,,,0,0,0,0.0,0.0
H42,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H43,,,,,,,,0,0,0,0.0,0.0
H44,,,,,,,,0,0,0,0.0,0.0
H45,,,,75.0,,,,75.0,75.0,0,0.0,0.0
H46,,,,2.0,,,,2.0,2.0,0,0.0,0.0
H47,,,,48,,,,48,48,0,0.0,0.0
H48,,,,22.0,,,,22.0,22.0,0,0.0,0.0
H49,,,,43.0,,,,43.0,43.0,0,0.0,0.0
H50,,,,10,,,,10,10,0,0.0,0.0
H51,,,,,,,,0,0,0,0.0,0.0
H52,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H53,,,,,,,,0,0,0,0.0,0.0
H54,,,,,,,,0,0,0,0.0,0.0
H55,,,,75.0,,,,75.0,75.0,0,0.0,0.0
H56,,,,,,,,0,0,0,0.0,0.0
H57,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H58,,,,23.0,,,,23.0,23.0,0,0.0,0.0
H59,,,,,,,,0,0,0,0.0,0.0
H60,,,,52.0,,,,52.0,52.0,0,0.0,0.0
H61,,,,,,,,0,0,0,0.0,0.0
H62,,,,68.0,,,,68.0,68.0,0,0.0,0.0
H63,,,,,,,,0,0,0,0.0,0.0
H64,,,,,,,,0,0,0,0.0,0.0
H65,,,,57.0,,,,57.0,57.0,0,0.0,0.0
H66,,,,39.0,,,,39.0,39.0,0,0.0,0.0
H67,,,,11,,,,11,11,0,0.0,0.0
H68,,,,27.0,,,,27.0,27.0,0,0.0,0.0
H69,,,,,,,,0,0,0,0.0,0.0
H70,,,,48.0,,,,48.0,48.0,0,0.0,0.0
H71,,,,20.0,,,,20.0,20.0,0,0.0,0.0
H72,,,,30,,,,30,30,0,0.0,0.0
H73,,,,32.0,,,,32.0,32.0,0,0.0,0.0
H74,,,,,,,,0,0,0,0.0,0.0
H75,,,,43.0,,,,43.0,43.0,0,0.0,0.0
H76,,,,22.0,,,,22.0,22.0,0,0.0,0.0
H77,,,,51.0,,,,51.0,51.0,0,0.0,0.0
H78,,,,,,,,0,0,0,0.0,0.0
H79,,,,13.0,,,,13.0,13.0,0,0.0,0.0
H80,,,,39,,,,39,39,0,0.0,0.0
H81,,,,,,,,0,0,0,0.0,0.0
H82,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H83,,,,,,,,0,0,0,0.0,0.0
H84,,,,75.0,,,,75.0,75.0,0,0.0,0.0
H85,,,,6.0,,,,6.0,6.0,0,0.0,0.0
H86,,,,,,,,0,0,0,0.0,0.0
H87,,,,54.0,,,,54.0,54.0,0,0.0,0.0
H88,,,,5.0,,,,5.0,5.0,0,0.0,0.0
H89,,,,,,,,0,0,0,0.0,0.0
H90,,,,75.0,,,,75.0,75.0,0,0.0,0.0
H91,,,,,,,,0,0,0,0.0,0.0
H92,,,,35.0,,,,35.0,35.0,0,0.0,0.0
H93,,,,,,,,0,0,0,0.0,0.0
H94,,,,,,,,0,0,0,0.0,0.0
H95,,,,75.0,,,,75.0,75.0,0,0.0,0.0
H96,,,,,,,,0,0,0,0.0,0.0
H97,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H98,,,,,,,,0,0,0,0.0,0.0
H99,,,,,,,,0,0,0,0.0,0.0
H100,,,,87.0,,,,87.0,87.0,0,0.0,0.0
SYSTEM,,,,2500.0,,,2500.0,0,2500.0,2500.0,0.0,0.0
SYSTEM,system,System Total,2500.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,2500.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
