DS_t,agent,day
0.041392285983066796,H2,1
0,H23,1
0,H38,1
0.04609595484477893,H57,1
0,H13,1
0.03762935089369708,H12,1
0,H28,1
0,H33,1
0.040921919096895576,H42,1
0,H93,1
0.07902163687676388,H67,1
0,H53,1
0.06396989651928504,H27,1
0.051269990592662275,H92,1
0,H8,1
0.055503292568203196,H97,1
0.07431796801505174,H22,1
0,H18,1
0.07196613358419568,H7,1
0,H58,1
0.06067732831608655,H52,1
0.07055503292568203,H72,1
0.05268109125117592,H77,1
0.026810912511759172,H47,1
0,H3,1
0,H63,1
0.01881467544684854,H32,1
0,H73,1
0,H88,1
0,H83,1
0,H98,1
0.04609595484477893,H82,1
0.029633113828786452,H62,1
0.039040451552210725,H37,1
0.043273753527751646,H87,1
0,H48,1
0,H68,1
0.05032925682031985,H17,1
0,H78,1
0,H43,1
0.0431077694235589,H15,3
0.07969924812030076,H20,3
0.05914786967418546,H80,3
0,H16,3
0,H61,3
0,H86,3
0.0380952380952381,H25,3
0.06015037593984962,H85,3
0.039097744360902256,H45,3
0.05363408521303258,H65,3
0,H96,3
0.02456140350877193,H60,3
0,H81,3
0,H66,3
0,H71,3
0.05012531328320802,H50,3
0.07067669172932331,H75,3
0,H76,3
0,H56,3
0,H6,3
0.03558897243107769,H70,3
0,H91,3
0,H26,3
0.04411027568922306,H100,3
0,H46,3
0.018546365914786967,H55,3
0,H21,3
0,H31,3
0,H51,3
0.0380952380952381,H30,3
0.031578947368421054,H40,3
0.04110275689223058,H95,3
0,H41,3
0.10877192982456141,H35,3
0,H11,3
0.047619047619047616,H5,3
0.03258145363408521,H10,3
0,H36,3
0,H1,3
0.0837092731829574,H90,3
0,H99,5
0.0368763557483731,H23,5
0.03036876355748373,H38,5
0,H49,5
0.0737527114967462,H13,5
0.019522776572668113,H28,5
0.037418655097613884,H33,5
0.07592190889370933,H93,5
0,H74,5
0.03633405639913232,H53,5
0.04772234273318872,H8,5
0,H9,5
0,H59,5
0.04121475054229935,H18,5
0,H34,5
0.07212581344902386,H58,5
0,H24,5
0,H44,5
0,H54,5
0,H64,5
0,H39,5
0.04013015184381779,H3,5
0,H89,5
0.0368763557483731,H63,5
0,H4,5
0.03253796095444685,H73,5
0.0596529284164859,H88,5
0,H14,5
0,H94,5
0.06019522776572668,H83,5
0.04718004338394794,H98,5
0,H84,5
0,H79,5
0.056941431670282,H48,5
0.07429501084598698,H68,5
0,H69,5
0.06941431670281996,H78,5
0.05151843817787419,H43,5
0,H19,5
0,H29,5
0,H2,7
0,H57,7
0.05088377075522228,H16,7
0.06373861810391002,H61,7
0.09908944831280128,H86,7
0,H12,7
0.0433851098018211,H96,7
0,H42,7
0.053026245313336905,H81,7
0,H67,7
0,H27,7
0,H92,7
0.033743974290305304,H66,7
0.037493304767005894,H71,7
0,H97,7
0,H22,7
0,H7,7
0,H52,7
0,H72,7
0.047670058918050345,H76,7
0.04124263524370648,H56,7
0.02945902517407606,H6,7
0.03267273701124799,H26,7
0.053026245313336905,H91,7
0,H77,7
0.047670058918050345,H46,7
0,H47,7
0,H32,7
0.0433851098018211,H21,7
0.08891269416175683,H31,7
0.047670058918050345,H51,7
0,H82,7
0,H62,7
0,H37,7
0.013926084627745045,H41,7
0,H87,7
0.04284949116229245,H11,7
0,H17,7
0.10658810926620246,H36,7
0.023567220139260846,H1,7
0,H15,9
0.06134969325153374,H99,9
0,H20,9
0.05615856536101935,H49,9
0,H80,9
0,H25,9
0,H85,9
0,H45,9
0,H65,9
0.05615856536101935,H74,9
0,H60,9
0.08069844266163284,H9,9
0.02973100519112789,H59,9
0,H50,9
0.06748466257668712,H34,9
0.016989145823501653,H24,9
0,H75,9
0,H70,9
0.03586597451628126,H44,9
0,H100,9
0.03350637092968381,H54,9
0.02595563945257197,H64,9
0.0726757904672015,H39,9
0,H55,9
0.09344030202925908,H89,9
0.020292590844738084,H4,9
0.05049551675318546,H14,9
0.04011326097215668,H94,9
0,H30,9
0,H40,9
0.07409155261915998,H84,9
0,H95,9
0.02973100519112789,H79,9
0.07645115620575743,H69,9
0,H35,9
0,H5,9
0.05427088249174139,H19,9
0,H10,9
0,H90,9
0.024539877300613498,H29,9
