agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,20000.0,-20000.0,0,20000.0,0.0,0.0
H1,,,,258.0,,,,258.0,258.0,0,0.0,0.0
H2,,,,276.0,,,,276.0,276.0,0,0.0,0.0
H3,,,,209.0,,,,209.0,209.0,0,0.0,0.0
H4,,,,174.0,,,,174.0,174.0,0,0.0,0.0
H5,,,,206.0,,,,206.0,206.0,0,0.0,0.0
H6,,,,,,,,0,0,0,0.0,0.0
H7,,,,298.0,,,,298.0,298.0,0,0.0,0.0
H8,,,,289.0,,,,289.0,289.0,0,0.0,0.0
H9,,,,210.0,,,,210.0,210.0,0,0.0,0.0
H10,,,,231.0,,,,231.0,231.0,0,0.0,0.0
H11,,,,138.0,,,,138.0,138.0,0,0.0,0.0
H12,,,,228.0,,,,228.0,228.0,0,0.0,0.0
H13,,,,178.0,,,,178.0,178.0,0,0.0,0.0
H14,,,,199.0,,,,199.0,199.0,0,0.0,0.0
H15,,,,126.0,,,,126.0,126.0,0,0.0,0.0
H16,,,,265.0,,,,265.0,265.0,0,0.0,0.0
H17,,,,125.0,,,,125.0,125.0,0,0.0,0.0
H18,,,,200.0,,,,200.0,200.0,0,0.0,0.0
H19,,,,232.0,,,,232.0,232.0,0,0.0,0.0
H20,,,,263.0,,,,263.0,263.0,0,0.0,0.0
H21,,,,217.0,,,,217.0,217.0,0,0.0,0.0
H22,,,,114.0,,,,114.0,114.0,0,0.0,0.0
H23,,,,270.0,,,,270.0,270.0,0,0.0,0.0
H24,,,,197.0,,,,197.0,197.0,0,0.0,0.0
H25,,,,173.0,,,,173.0,173.0,0,0.0,0.0
H26,,,,230.0,,,,230.0,230.0,0,0.0,0.0
H27,,,,192.0,,,,192.0,192.0,0,0.0,0.0
H28,,,,252.0,,,,252.0,252.0,0,0.0,0.0
H29,,,,69.0,,,,69.0,69.0,0,0.0,0.0
