agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,40000.0,-40000.0,0,40000.0,0.0,0.0
H1,,,,348.0,,,,348.0,348.0,0,0.0,0.0
H2,,,,433.0,,,,433.0,433.0,0,0.0,0.0
H3,,,,369.0,,,,369.0,369.0,0,0.0,0.0
H4,,,,416.0,,,,416.0,416.0,0,0.0,0.0
H5,,,,439.0,,,,439.0,439.0,0,0.0,0.0
H6,,,,306.0,,,,306.0,306.0,0,0.0,0.0
H7,,,,450.0,,,,450.0,450.0,0,0.0,0.0
H8,,,,313.0,,,,313.0,313.0,0,0.0,0.0
H9,,,,511.0,,,,511.0,511.0,0,0.0,0.0
H10,,,,392.0,,,,392.0,392.0,0,0.0,0.0
H11,,,,340.0,,,,340.0,340.0,0,0.0,0.0
H12,,,,397.0,,,,397.0,397.0,0,0.0,0.0
H13,,,,367.0,,,,367.0,367.0,0,0.0,0.0
H14,,,,485.0,,,,485.0,485.0,0,0.0,0.0
H15,,,,457.0,,,,457.0,457.0,0,0.0,0.0
H16,,,,411.0,,,,411.0,411.0,0,0.0,0.0
H17,,,,149.0,,,,149.0,149.0,0,0.0,0.0
H18,,,,580.0,,,,580.0,580.0,0,0.0,0.0
H19,,,,413.0,,,,413.0,413.0,0,0.0,0.0
H20,,,,421.0,,,,421.0,421.0,0,0.0,0.0
H21,,,,320.0,,,,320.0,320.0,0,0.0,0.0
H22,,,,433.0,,,,433.0,433.0,0,0.0,0.0
H23,,,,417.0,,,,417.0,417.0,0,0.0,0.0
H24,,,,401.0,,,,401.0,401.0,0,0.0,0.0
H25,,,,325.0,,,,325.0,325.0,0,0.0,0.0
H26,,,,420.0,,,,420.0,420.0,0,0.0,0.0
H27,,,,486.0,,,,486.0,486.0,0,0.0,0.0
H28,,,,256.0,,,,256.0,256.0,0,0.0,0.0
H29,,,,503.0,,,,503.0,503.0,0,0.0,0.0
H30,,,,325.0,,,,325.0,325.0,0,0.0,0.0
H31,,,,520.0,,,,520.0,520.0,0,0.0,0.0
H32,,,,266.0,,,,266.0,266.0,0,0.0,0.0
H33,,,,530.0,,,,530.0,530.0,0,0.0,0.0
H34,,,,332.0,,,,332.0,332.0,0,0.0,0.0
H35,,,,419.0,,,,419.0,419.0,0,0.0,0.0
H36,,,,442.0,,,,442.0,442.0,0,0.0,0.0
H37,,,,375.0,,,,375.0,375.0,0,0.0,0.0
H38,,,,143.0,,,,143.0,143.0,0,0.0,0.0
H39,,,,615.0,,,,615.0,615.0,0,0.0,0.0
H40,,,,397.0,,,,397.0,397.0,0,0.0,0.0
H41,,,,450.0,,,,450.0,450.0,0,0.0,0.0
H42,,,,376.0,,,,376.0,376.0,0,0.0,0.0
H43,,,,439.0,,,,439.0,439.0,0,0.0,0.0
H44,,,,367.0,,,,367.0,367.0,0,0.0,0.0
H45,,,,374.0,,,,374.0,374.0,0,0.0,0.0
