P_prefix,amount,day,payee,payer,step
1,1,1,H8,H7,1
22,21,1,H13,H12,2
23,1,1,H18,H17,3
25,2,1,H38,H37,4
28,3,1,H43,H42,5
36,8,1,H53,H52,6
49,13,1,H63,H62,7
57,8,1,H83,H82,8
1,1,3,H16,H15,1
7,6,3,H46,H45,2
1,1,5,H9,H8,1
10,9,5,H64,H63,2
16,6,5,H79,H78,3
32,16,5,H99,H98,4
22,22,7,H2,H1,1
38,16,7,H7,H6,2
49,11,7,H17,H16,3
58,9,7,H22,H21,4
61,3,7,H42,H41,5
83,22,7,H87,H86,6
84,1,7,H92,H91,7
14,14,9,H5,H4,1
26,12,9,H15,H14,2
29,3,9,H20,H19,3
30,1,9,H30,H29,4
37,7,9,H35,H34,5
44,7,9,H55,H54,6
45,1,9,H75,H74,7
56,11,9,H85,H84,8
