DS_t,agent,day
0.06778770362585392,H2,1
0,H23,1
0,H38,1
0.04151339989490278,H57,1
0,H13,1
0.04466631634261692,H12,1
0,H28,1
0,H33,1
0.06621124540199684,H42,1
0,H93,1
0.040987913820283765,H67,1
0,H53,1
0.043615344193378876,H27,1
0.039936941671045716,H92,1
0,H8,1
0.04203888596952181,H97,1
0.0325801366263794,H22,1
0,H18,1
0.027325275880189175,H7,1
0,H58,1
0.02207041513399895,H52,1
0.08197582764056753,H72,1
0.047293746715712036,H77,1
0.0441408302679979,H47,1
0,H3,1
0,H63,1
0.08880714661061481,H32,1
0,H73,1
0,H88,1
0,H83,1
0,H98,1
0.048870204939569103,H82,1
0.06358381502890173,H62,1
0.047819232790331054,H37,1
0.05727798213347346,H87,1
0,H48,1
0,H68,1
0.051497635312664214,H17,1
0,H78,1
0,H43,1
0,H99,3
0.07193877551020408,H23,3
0.027551020408163266,H38,3
0,H49,3
0.06785714285714285,H13,3
0.07755102040816327,H28,3
0.04336734693877551,H33,3
0.037244897959183676,H93,3
0,H74,3
0.06275510204081633,H53,3
0.06020408163265306,H8,3
0,H9,3
0,H59,3
0.06377551020408163,H18,3
0,H34,3
0.05510204081632653,H58,3
0,H24,3
0,H44,3
0,H54,3
0,H64,3
0,H39,3
0.027551020408163266,H3,3
0,H89,3
0.058163265306122446,H63,3
0,H4,3
0.020918367346938777,H73,3
0.058673469387755105,H88,3
0,H14,3
0,H94,3
0.036224489795918365,H83,3
0.07653061224489796,H98,3
0,H84,3
0,H79,3
0.044897959183673466,H48,3
0.04642857142857143,H68,3
0,H69,3
0.05459183673469388,H78,3
0.008673469387755102,H43,3
0,H19,3
0,H29,3
0,H15,5
0.0870712401055409,H99,5
0,H20,5
0.024274406332453827,H49,5
0,H80,5
0,H25,5
0,H85,5
0,H45,5
0,H65,5
0.025329815303430078,H74,5
0,H60,5
0.034828496042216356,H9,5
0.022691292875989446,H59,5
0,H50,5
0.07387862796833773,H34,5
0.02955145118733509,H24,5
0,H75,5
0,H70,5
0.04591029023746702,H44,5
0,H100,5
0.04221635883905013,H54,5
0.04854881266490765,H64,5
0.05382585751978892,H39,5
0,H55,5
0.04327176781002638,H89,5
0.04116094986807388,H4,5
0.05857519788918206,H14,5
0.06068601583113457,H94,5
0,H30,5
0,H40,5
0.03218997361477573,H84,5
0,H95,5
0.09656992084432718,H79,5
0.06174142480211082,H69,5
0,H35,5
0,H5,5
0.034828496042216356,H19,5
0,H10,5
0,H90,5
0.08284960422163588,H29,5
0.05895390070921986,H15,7
0.05186170212765957,H20,7
0.0797872340425532,H80,7
0,H16,7
0,H61,7
0,H86,7
0.051418439716312055,H25,7
0.02171985815602837,H85,7
0.047429078014184396,H45,7
0.0199468085106383,H65,7
0,H96,7
0.09441489361702128,H60,7
0,H81,7
0,H66,7
0,H71,7
0.024379432624113476,H50,7
0.0625,H75,7
0,H76,7
0,H56,7
0,H6,7
0.026595744680851064,H70,7
0,H91,7
0,H26,7
0.05540780141843971,H100,7
0,H46,7
0.04299645390070922,H55,7
0,H21,7
0,H31,7
0,H51,7
0.0749113475177305,H30,7
0.03856382978723404,H40,7
0.03634751773049645,H95,7
0,H41,7
0.050088652482269506,H35,7
0,H11,7
0.11125886524822695,H5,7
0.030585106382978722,H10,7
0,H36,7
0,H1,7
0.020833333333333332,H90,7
0,H2,9
0,H57,9
0.07819782496116003,H16,9
0.047643707923355774,H61,9
0.06939409632314862,H86,9
0,H12,9
0.04246504401864319,H96,9
0,H42,9
0.018643190056965304,H81,9
0,H67,9
0,H27,9
0,H92,9
0.11393060590367685,H66,9
0.023821853961677887,H71,9
0,H97,9
0,H22,9
0,H7,9
0,H52,9
0,H72,9
0.056447436561367165,H76,9
0.033661315380631794,H56,9
0.06732263076126359,H6,9
0.03625064733298809,H26,9
0.07716209218021751,H91,9
0,H77,9
0.04091144484722942,H46,9
0,H47,9
0,H32,9
0.00983946141895391,H21,9
0.04350077679958571,H31,9
0.09684101501812532,H51,9
0,H82,9
0,H62,9
0,H37,9
0.05282237182806836,H41,9
0,H87,9
0.026929052304505437,H11,9
0,H17,9
0.03262558259968928,H36,9
0.03158984981874676,H1,9
