agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,2500.0,-2500.0,0,2500.0,0.0,0.0
H1,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H2,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H3,,,,,,,,0,0,0,0.0,0.0
H4,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H5,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H6,,,,,,,,0,0,0,0.0,0.0
H7,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H8,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H9,,,,,,,,0,0,0,0.0,0.0
H10,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H11,,,,26.0,,,,26.0,26.0,0,0.0,0.0
H12,,,,24,,,,24,24,0,0.0,0.0
H13,,,,43.0,,,,43.0,43.0,0,0.0,0.0
H14,,,,30.0,,,,30.0,30.0,0,0.0,0.0
H15,,,,2,,,,2,2,0,0.0,0.0
H16,,,,28.0,,,,28.0,28.0,0,0.0,0.0
H17,,,,22,,,,22,22,0,0.0,0.0
H18,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H19,,,,,,,,0,0,0,0.0,0.0
H20,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H21,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H22,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H23,,,,3.0,,,,3.0,3.0,0,0.0,0.0
H24,,,,47,,,,47,47,0,0.0,0.0
H25,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H26,,,,,,,,0,0,0,0.0,0.0
H27,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H28,,,,36.0,,,,36.0,36.0,0,0.0,0.0
H29,,,,,,,,0,0,0,0.0,0.0
H30,,,,39.0,,,,39.0,39.0,0,0.0,0.0
H31,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H32,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H33,,,,12.0,,,,12.0,12.0,0,0.0,0.0
H34,,,,38,,,,38,38,0,0.0,0.0
H35,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H36,,,,44.0,,,,44.0,44.0,0,0.0,0.0
H37,,,,6,,,,6,6,0,0.0,0.0
H38,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H39,,,,47.0,,,,47.0,47.0,0,0.0,0.0
H40,,,,11.0,,,,11.0,11.0,0,0.0,0.0
H41,,,,17,,,,17,17,0,0.0,0.0
H42,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H43,,,,21.0,,,,21.0,21.0,0,0.0,0.0
H44,,,,29,,,,29,29,0,0.0,0.0
H45,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H46,,,,,,,,0,0,0,0.0,0.0
H47,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H48,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H49,,,,,,,,0,0,0,0.0,0.0
H50,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H51,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H52,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H53,,,,9.0,,,,9.0,9.0,0,0.0,0.0
H54,,,,41,,,,41,41,0,0.0,0.0
H55,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H56,,,,43.0,,,,43.0,43.0,0,0.0,0.0
H57,,,,7,,,,7,7,0,0.0,0.0
H58,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H59,,,,20.0,,,,20.0,20.0,0,0.0,0.0
H60,,,,53.0,,,,53.0,53.0,0,0.0,0.0
H61,,,,12.0,,,,12.0,12.0,0,0.0,0.0
H62,,,,33.0,,,,33.0,33.0,0,0.0,0.0
H63,,,,,,,,0,0,0,0.0,0.0
H64,,,,32.0,,,,32.0,32.0,0,0.0,0.0
H65,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H66,,,,49.0,,,,49.0,49.0,0,0.0,0.0
H67,,,,1,,,,1,1,0,0.0,0.0
H68,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H69,,,,4.0,,,,4.0,4.0,0,0.0,0.0
H70,,,,46,,,,46,46,0,0.0,0.0
H71,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H72,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H73,,,,48.0,,,,48.0,48.0,0,0.0,0.0
H74,,,,2,,,,2,2,0,0.0,0.0
H75,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H76,,,,,,,,0,0,0,0.0,0.0
H77,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H78,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H79,,,,,,,,0,0,0,0.0,0.0
H80,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H81,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H82,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H83,,,,,,,,0,0,0,0.0,0.0
H84,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H85,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H86,,,,,,,,0,0,0,0.0,0.0
H87,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H88,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H89,,,,46.0,,,,46.0,46.0,0,0.0,0.0
H90,,,,4,,,,4,4,0,0.0,0.0
H91,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H92,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H93,,,,,,,,0,0,0,0.0,0.0
H94,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H95,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H96,,,,,,,,0,0,0,0.0,0.0
H97,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H98,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H99,,,,,,,,0,0,0,0.0,0.0
H100,,,,50.0,,,,50.0,50.0,0,0.0,0.0
SYSTEM,,,,2500.0,,,2500.0,0,2500.0,2500.0,0.0,0.0
SYSTEM,system,System Total,2500.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,2500.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
