P_prefix,amount,day,payee,payer,step
95,95,1,H5,H4,1
95,91,1,H6,H5,2
116,112,1,H7,H6,3
172,56,1,H9,H8,4
266,94,1,H12,H11,5
281,109,1,H13,H12,6
281,88,1,H14,H13,7
281,69,1,H15,H14,8
281,62,1,H16,H15,9
400,119,1,H19,H18,10
432,32,1,H21,H20,11
531,99,1,H24,H23,12
532,100,1,H25,H24,13
532,70,1,H26,H25,14
621,89,1,H28,H27,15
716,95,1,H30,H29,16
776,60,1,H32,H31,17
889,113,1,H35,H34,18
889,71,1,H36,H35,19
908,90,1,H37,H36,20
965,57,1,H39,H38,21
1024,59,1,H41,H40,22
1024,49,1,H42,H41,23
1116,92,1,H44,H43,24
1116,25,1,H45,H44,25
1195,79,1,H48,H47,26
1195,75,1,H49,H48,27
1195,20,1,H50,H49,28
1260,65,1,H52,H51,29
1260,59,1,H53,H52,30
1281,80,1,H54,H53,31
1287,86,1,H55,H54,32
1287,80,1,H56,H55,33
1379,92,1,H60,H59,34
1467,88,1,H62,H61,35
1477,98,1,H63,H62,36
1499,120,1,H64,H63,37
1586,87,1,H66,H65,38
1586,86,1,H67,H66,39
1586,59,1,H68,H67,40
1586,59,1,H69,H68,41
1680,94,1,H71,H70,42
1762,82,1,H73,H72,43
1766,86,1,H74,H73,44
1767,87,1,H75,H74,45
1778,98,1,H76,H75,46
1856,78,1,H78,H77,47
1856,71,1,H79,H78,48
1901,45,1,H81,H80,49
1910,54,1,H82,H81,50
1993,83,1,H85,H84,51
2085,92,1,H87,H86,52
2085,20,1,H88,H87,53
2179,94,1,H91,H90,54
2179,61,1,H92,H91,55
2209,30,1,H95,H94,56
2264,55,1,H97,H96,57
2269,60,1,H98,H97,58
2278,69,1,H99,H98,59
2373,95,1,H1,H100,60
