agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,40201.0,-40201.0,0,40201.0,0.0,0.0
H1,,,,311.0,,,,311.0,311.0,0,0.0,0.0
H2,,,,342.0,,,,342.0,342.0,0,0.0,0.0
H3,,,,546.0,,,,546.0,546.0,0,0.0,0.0
H4,,,,235.0,,,,235.0,235.0,0,0.0,0.0
H5,,,,559.0,,,,559.0,559.0,0,0.0,0.0
H6,,,,,,,,0,0,0,0.0,0.0
H7,,,,770.0,,,,770.0,770.0,0,0.0,0.0
H8,,,,372.0,,,,372.0,372.0,0,0.0,0.0
H9,,,,288.0,,,,288.0,288.0,0,0.0,0.0
H10,,,,209.0,,,,209.0,209.0,0,0.0,0.0
H11,,,,631.0,,,,631.0,631.0,0,0.0,0.0
H12,,,,549.0,,,,549.0,549.0,0,0.0,0.0
H13,,,,304.0,,,,304.0,304.0,0,0.0,0.0
H14,,,,517.0,,,,517.0,517.0,0,0.0,0.0
H15,,,,308.0,,,,308.0,308.0,0,0.0,0.0
H16,,,,448.0,,,,448.0,448.0,0,0.0,0.0
H17,,,,449.0,,,,449.0,449.0,0,0.0,0.0
H18,,,,274.0,,,,274.0,274.0,0,0.0,0.0
H19,,,,654,,,,654,654,0,0.0,0.0
H20,,,,415.0,,,,415.0,415.0,0,0.0,0.0
H21,,,,352.0,,,,352.0,352.0,0,0.0,0.0
H22,,,,451.0,,,,451.0,451.0,0,0.0,0.0
H23,,,,,,,,0,0,0,0.0,0.0
H24,,,,698.0,,,,698.0,698.0,0,0.0,0.0
H25,,,,422.0,,,,422.0,422.0,0,0.0,0.0
H26,,,,432.0,,,,432.0,432.0,0,0.0,0.0
H27,,,,448.0,,,,448.0,448.0,0,0.0,0.0
H28,,,,251.0,,,,251.0,251.0,0,0.0,0.0
H29,,,,513.0,,,,513.0,513.0,0,0.0,0.0
H30,,,,284.0,,,,284.0,284.0,0,0.0,0.0
H31,,,,462.0,,,,462.0,462.0,0,0.0,0.0
H32,,,,486.0,,,,486.0,486.0,0,0.0,0.0
H33,,,,395.0,,,,395.0,395.0,0,0.0,0.0
H34,,,,402.0,,,,402.0,402.0,0,0.0,0.0
H35,,,,407.0,,,,407.0,407.0,0,0.0,0.0
H36,,,,379.0,,,,379.0,379.0,0,0.0,0.0
H37,,,,421.0,,,,421.0,421.0,0,0.0,0.0
H38,,,,332.0,,,,332.0,332.0,0,0.0,0.0
H39,,,,450.0,,,,450.0,450.0,0,0.0,0.0
H40,,,,377.0,,,,377.0,377.0,0,0.0,0.0
H41,,,,441.0,,,,441.0,441.0,0,0.0,0.0
H42,,,,395.0,,,,395.0,395.0,0,0.0,0.0
H43,,,,135.0,,,,135.0,135.0,0,0.0,0.0
H44,,,,647.0,,,,647.0,647.0,0,0.0,0.0
H45,,,,418.0,,,,418.0,418.0,0,0.0,0.0
H46,,,,405.0,,,,405.0,405.0,0,0.0,0.0
H47,,,,314.0,,,,314.0,314.0,0,0.0,0.0
H48,,,,455.0,,,,455.0,455.0,0,0.0,0.0
H49,,,,409.0,,,,409.0,409.0,0,0.0,0.0
H50,,,,,,,,0,0,0,0.0,0.0
H51,,,,346.0,,,,346.0,346.0,0,0.0,0.0
H52,,,,1015.0,,,,1015.0,1015.0,0,0.0,0.0
H53,,,,506.0,,,,506.0,506.0,0,0.0,0.0
H54,,,,352.0,,,,352.0,352.0,0,0.0,0.0
H55,,,,,,,,0,0,0,0.0,0.0
H56,,,,759.0,,,,759.0,759.0,0,0.0,0.0
H57,,,,491.0,,,,491.0,491.0,0,0.0,0.0
H58,,,,368.0,,,,368.0,368.0,0,0.0,0.0
H59,,,,422.0,,,,422.0,422.0,0,0.0,0.0
H60,,,,389.0,,,,389.0,389.0,0,0.0,0.0
H61,,,,413.0,,,,413.0,413.0,0,0.0,0.0
H62,,,,417.0,,,,417.0,417.0,0,0.0,0.0
H63,,,,398.0,,,,398.0,398.0,0,0.0,0.0
H64,,,,221.0,,,,221.0,221.0,0,0.0,0.0
H65,,,,557.0,,,,557.0,557.0,0,0.0,0.0
H66,,,,408.0,,,,408.0,408.0,0,0.0,0.0
H67,,,,361.0,,,,361.0,361.0,0,0.0,0.0
H68,,,,408.0,,,,408.0,408.0,0,0.0,0.0
H69,,,,447.0,,,,447.0,447.0,0,0.0,0.0
H70,,,,271.0,,,,271.0,271.0,0,0.0,0.0
H71,,,,524.0,,,,524.0,524.0,0,0.0,0.0
H72,,,,383.0,,,,383.0,383.0,0,0.0,0.0
H73,,,,130.0,,,,130.0,130.0,0,0.0,0.0
H74,,,,687.0,,,,687.0,687.0,0,0.0,0.0
H75,,,,244.0,,,,244.0,244.0,0,0.0,0.0
H76,,,,527.0,,,,527.0,527.0,0,0.0,0.0
H77,,,,378.0,,,,378.0,378.0,0,0.0,0.0
H78,,,,320.0,,,,320.0,320.0,0,0.0,0.0
H79,,,,406.0,,,,406.0,406.0,0,0.0,0.0
H80,,,,511.0,,,,511.0,511.0,0,0.0,0.0
H81,,,,376.0,,,,376.0,376.0,0,0.0,0.0
H82,,,,406.0,,,,406.0,406.0,0,0.0,0.0
H83,,,,353.0,,,,353.0,353.0,0,0.0,0.0
H84,,,,478.0,,,,478.0,478.0,0,0.0,0.0
H85,,,,337.0,,,,337.0,337.0,0,0.0,0.0
H86,,,,467.0,,,,467.0,467.0,0,0.0,0.0
H87,,,,366.0,,,,366.0,366.0,0,0.0,0.0
H88,,,,278.0,,,,278.0,278.0,0,0.0,0.0
H89,,,,457.0,,,,457.0,457.0,0,0.0,0.0
H90,,,,334.0,,,,334.0,334.0,0,0.0,0.0
H91,,,,562.0,,,,562.0,562.0,0,0.0,0.0
