G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.1487494812885445,10336,619,77,619,0,1,0.875605815831987,77,10,10,,0.12439418416801293,1
0,0.15894961616340866,10336,1093,150,1093,0,2,0.8627630375114365,150,10,10,,0.1372369624885636,1
0,0.2880177084631499,10336,711,308,711,0,3,0.5668073136427567,308,9,9,,0.43319268635724334,1
0,0.16098940341364584,10336,693,275,693,0,4,0.6031746031746031,275,10,10,,0.3968253968253968,1
0,0.19651534269376358,10336,772,439,772,0,5,0.43134715025906734,439,10,10,,0.5686528497409327,1
0,0.28524144512053895,10336,1517,109,1517,0,6,0.9281476598549769,109,9,9,,0.07185234014502308,1
0,0.14506593661537037,10336,1363,305,1363,0,7,0.7762289068231841,305,9,9,,0.22377109317681584,1
0,0.13517036235803137,10336,860,584,860,0,8,0.3209302325581395,584,10,10,,0.6790697674418604,1
0,0.158677384939194,10336,1114,670,1114,0,9,0.3985637342908438,670,10,10,,0.6014362657091562,1
0,0.2083402602893518,10336,1209,236,1209,0,10,0.80479735318445,236,10,10,,0.19520264681555005,1
