agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,13474.0,-13474.0,0,13474.0,0.0,0.0
H1,,,,89,,,,89,89,0,0.0,0.0
H2,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H3,,,,95.0,,,,95.0,95.0,0,0.0,0.0
H4,,,,131.0,,,,131.0,131.0,0,0.0,0.0
H5,,,,68.0,,,,68.0,68.0,0,0.0,0.0
H6,,,,120.0,,,,120.0,120.0,0,0.0,0.0
H7,,,,136.0,,,,136.0,136.0,0,0.0,0.0
H8,,,,99.0,,,,99.0,99.0,0,0.0,0.0
H9,,,,76.0,,,,76.0,76.0,0,0.0,0.0
H10,,,,116.0,,,,116.0,116.0,0,0.0,0.0
H11,,,,161.0,,,,161.0,161.0,0,0.0,0.0
H12,,,,140.0,,,,140.0,140.0,0,0.0,0.0
H13,,,,115.0,,,,115.0,115.0,0,0.0,0.0
H14,,,,108.0,,,,108.0,108.0,0,0.0,0.0
H15,,,,68.0,,,,68.0,68.0,0,0.0,0.0
H16,,,,151.0,,,,151.0,151.0,0,0.0,0.0
H17,,,,80.0,,,,80.0,80.0,0,0.0,0.0
H18,,,,89.0,,,,89.0,89.0,0,0.0,0.0
H19,,,,173.0,,,,173.0,173.0,0,0.0,0.0
H20,,,,86,,,,86,86,0,0.0,0.0
H21,,,,104.0,,,,104.0,104.0,0,0.0,0.0
H22,,,,107.0,,,,107.0,107.0,0,0.0,0.0
H23,,,,108.0,,,,108.0,108.0,0,0.0,0.0
H24,,,,43.0,,,,43.0,43.0,0,0.0,0.0
H25,,,,218.0,,,,218.0,218.0,0,0.0,0.0
H26,,,,74.0,,,,74.0,74.0,0,0.0,0.0
H27,,,,87.0,,,,87.0,87.0,0,0.0,0.0
H28,,,,139.0,,,,139.0,139.0,0,0.0,0.0
H29,,,,32.0,,,,32.0,32.0,0,0.0,0.0
H30,,,,96.0,,,,96.0,96.0,0,0.0,0.0
H31,,,,124.0,,,,124.0,124.0,0,0.0,0.0
H32,,,,97.0,,,,97.0,97.0,0,0.0,0.0
H33,,,,81.0,,,,81.0,81.0,0,0.0,0.0
H34,,,,150.0,,,,150.0,150.0,0,0.0,0.0
H35,,,,38.0,,,,38.0,38.0,0,0.0,0.0
H36,,,,191.0,,,,191.0,191.0,0,0.0,0.0
H37,,,,66.0,,,,66.0,66.0,0,0.0,0.0
H38,,,,67.0,,,,67.0,67.0,0,0.0,0.0
H39,,,,182.0,,,,182.0,182.0,0,0.0,0.0
H40,,,,110.0,,,,110.0,110.0,0,0.0,0.0
H41,,,,79.0,,,,79.0,79.0,0,0.0,0.0
H42,,,,29.0,,,,29.0,29.0,0,0.0,0.0
H43,,,,228.0,,,,228.0,228.0,0,0.0,0.0
H44,,,,105.0,,,,105.0,105.0,0,0.0,0.0
H45,,,,13.0,,,,13.0,13.0,0,0.0,0.0
H46,,,,145.0,,,,145.0,145.0,0,0.0,0.0
H47,,,,88.0,,,,88.0,88.0,0,0.0,0.0
H48,,,,96.0,,,,96.0,96.0,0,0.0,0.0
H49,,,,179.0,,,,179.0,179.0,0,0.0,0.0
H50,,,,47.0,,,,47.0,47.0,0,0.0,0.0
H51,,,,150.0,,,,150.0,150.0,0,0.0,0.0
H52,,,,89.0,,,,89.0,89.0,0,0.0,0.0
H53,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H54,,,,150.0,,,,150.0,150.0,0,0.0,0.0
H55,,,,52.0,,,,52.0,52.0,0,0.0,0.0
H56,,,,107.0,,,,107.0,107.0,0,0.0,0.0
H57,,,,105.0,,,,105.0,105.0,0,0.0,0.0
H58,,,,97.0,,,,97.0,97.0,0,0.0,0.0
H59,,,,66.0,,,,66.0,66.0,0,0.0,0.0
H60,,,,187.0,,,,187.0,187.0,0,0.0,0.0
H61,,,,55.0,,,,55.0,55.0,0,0.0,0.0
H62,,,,119.0,,,,119.0,119.0,0,0.0,0.0
H63,,,,113.0,,,,113.0,113.0,0,0.0,0.0
H64,,,,120.0,,,,120.0,120.0,0,0.0,0.0
H65,,,,,,,,0,0,0,0.0,0.0
H66,,,,194.0,,,,194.0,194.0,0,0.0,0.0
H67,,,,79.0,,,,79.0,79.0,0,0.0,0.0
H68,,,,150.0,,,,150.0,150.0,0,0.0,0.0
H69,,,,62.0,,,,62.0,62.0,0,0.0,0.0
H70,,,,91.0,,,,91.0,91.0,0,0.0,0.0
