P_prefix,amount,day,payee,payer,step
89,89,1,H23,H22,1
206,117,1,H33,H32,2
377,171,1,H43,H42,3
428,51,1,H53,H52,4
518,90,1,H63,H62,5
595,77,1,H83,H82,6
140,140,2,H12,H11,1
236,96,2,H22,H21,2
327,91,2,dealer_short,H41,3
367,40,2,H52,H51,4
476,109,2,H62,H61,5
623,147,2,H72,H71,6
704,81,2,H82,H81,7
835,131,2,H92,H91,8
124,124,3,H31,H30,1
194,70,3,H41,H40,2
284,90,3,H51,H50,3
342,58,3,dealer_short,H60,4
450,108,3,dealer_short,H70,5
497,47,3,H81,H80,6
635,138,3,dealer_short,H90,7
724,89,3,H1,H100,8
116,116,4,H10,H9,1
202,86,4,H20,H19,2
311,109,4,dealer_short,H29,3
391,80,4,H40,H39,4
428,37,4,H50,H49,5
573,145,4,H60,H59,6
663,90,4,dealer_short,H69,7
766,103,4,H80,H79,8
861,95,4,dealer_short,H89,9
886,25,4,H100,H99,10
84,84,5,dealer_short,H8,1
243,159,5,H19,H18,2
279,36,5,dealer_short,H28,3
441,162,5,H39,H38,4
557,116,5,H49,H48,5
654,97,5,dealer_short,H58,6
706,52,5,H69,H68,7
810,104,5,dealer_short,H78,8
910,100,5,H89,H88,9
996,86,5,H99,H98,10
83,83,6,H8,H7,1
212,129,6,dealer_short,H17,2
287,75,6,H28,H27,3
400,113,6,dealer_short,H37,4
498,98,6,dealer_short,H47,5
592,94,6,H58,H57,6
694,102,6,H68,H67,7
855,161,6,dealer_short,H77,8
886,31,6,H88,H87,9
1055,169,6,H98,H97,10
119,119,7,H7,H6,1
214,95,7,dealer_short,H16,2
276,62,7,H27,H26,3
345,69,7,dealer_short,H36,4
431,86,7,H47,H46,5
530,99,7,H57,H56,6
601,71,7,dealer_short,H66,7
683,82,7,H87,H86,8
815,132,7,dealer_short,H96,9
121,121,8,dealer_short,H5,1
267,146,8,H16,H15,2
303,36,8,H26,H25,3
463,160,8,H36,H35,4
594,131,8,H46,H45,5
700,106,8,H56,H55,6
728,28,8,dealer_short,H75,7
796,68,8,H86,H85,8
830,34,8,dealer_short,H95,9
74,74,9,dealer_short,H4,1
169,95,9,dealer_short,H14,2
323,154,9,H25,H24,3
409,86,9,dealer_short,H34,4
447,38,9,dealer_short,H44,5
498,51,9,dealer_short,H54,6
555,57,9,dealer_short,H64,7
595,40,9,H75,H74,8
679,84,9,H85,H84,9
736,57,9,H95,H94,10
105,105,10,H4,H3,1
208,103,10,H14,H13,2
289,81,10,dealer_short,H23,3
425,136,10,H34,H33,4
468,43,10,H44,H43,5
569,101,10,H54,H53,6
646,77,10,H64,H63,7
716,70,10,H74,H73,8
824,108,10,H84,H83,9
1023,199,10,H94,H93,10
