P_prefix,amount,day,payee,payer,step
26,26,1,H23,H22,1
52,26,1,H33,H32,2
92,40,1,dealer_short,H52,3
142,50,1,H63,H62,4
73,73,2,H6,H5,1
103,30,2,H36,H35,2
118,15,2,dealer_short,H65,3
108,108,3,dealer_short,H8,1
176,68,3,H19,H18,2
256,80,3,dealer_short,H48,3
300,44,3,dealer_short,H58,4
441,141,3,dealer_short,H88,5
81,81,4,H22,H21,1
214,133,4,H32,H31,2
270,56,4,H42,H41,3
342,72,4,H52,H51,4
386,44,4,H62,H61,5
449,63,4,H72,H71,6
592,143,4,H82,H81,7
38,38,5,dealer_short,H4,1
70,32,5,H15,H14,2
78,8,5,H25,H24,3
275,197,5,H45,H44,4
309,34,5,H55,H54,5
453,144,5,H95,H94,6
60,60,6,dealer_short,H7,1
169,109,6,dealer_short,H17,2
235,66,6,dealer_short,H47,3
272,37,6,H58,H57,4
351,79,6,dealer_short,H67,5
413,62,6,H78,H77,6
577,164,6,dealer_short,H87,7
72,72,7,H11,H10,1
204,132,7,dealer_short,H30,2
285,81,7,dealer_short,H50,3
368,83,7,dealer_short,H70,4
464,96,7,dealer_short,H80,5
522,58,7,dealer_short,H90,6
607,85,7,dealer_short,H100,7
60,60,8,H4,H3,1
103,43,8,H24,H23,2
129,26,8,dealer_short,H33,3
199,70,8,H54,H53,4
202,3,8,dealer_short,H73,5
248,46,8,dealer_short,H83,6
58,58,9,dealer_short,H6,1
110,52,9,dealer_short,H16,2
159,49,9,dealer_short,H26,3
208,49,9,dealer_short,H46,4
299,91,9,H57,H56,5
352,53,9,dealer_short,H66,6
440,88,9,dealer_short,H76,7
464,24,9,dealer_short,H96,8
62,62,10,dealer_short,H9,1
122,60,10,dealer_short,H19,2
232,110,10,dealer_short,H29,3
280,48,10,dealer_short,H39,4
342,62,10,dealer_short,H49,5
384,42,10,dealer_short,H79,6
475,91,10,dealer_short,H89,7
523,48,10,dealer_short,H99,8
