agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,40008.0,-40008.0,0,40008.0,0.0,0.0
H1,,,,,,,,0,0,0,0.0,0.0
H2,,,,738.0,,,,738.0,738.0,0,0.0,0.0
H3,,,,462.0,,,,462.0,462.0,0,0.0,0.0
H4,,,,400.0,,,,400.0,400.0,0,0.0,0.0
H5,,,,398.0,,,,398.0,398.0,0,0.0,0.0
H6,,,,27.0,,,,27.0,27.0,0,0.0,0.0
H7,,,,775.0,,,,775.0,775.0,0,0.0,0.0
H8,,,,378.0,,,,378.0,378.0,0,0.0,0.0
H9,,,,403.0,,,,403.0,403.0,0,0.0,0.0
H10,,,,212.0,,,,212.0,212.0,0,0.0,0.0
H11,,,,607.0,,,,607.0,607.0,0,0.0,0.0
H12,,,,371.0,,,,371.0,371.0,0,0.0,0.0
H13,,,,428.0,,,,428.0,428.0,0,0.0,0.0
H14,,,,397.0,,,,397.0,397.0,0,0.0,0.0
H15,,,,401.0,,,,401.0,401.0,0,0.0,0.0
H16,,,,403.0,,,,403.0,403.0,0,0.0,0.0
H17,,,,157.0,,,,157.0,157.0,0,0.0,0.0
H18,,,,643.0,,,,643.0,643.0,0,0.0,0.0
H19,,,,326.0,,,,326.0,326.0,0,0.0,0.0
H20,,,,349.0,,,,349.0,349.0,0,0.0,0.0
H21,,,,524.0,,,,524.0,524.0,0,0.0,0.0
H22,,,,353.0,,,,353.0,353.0,0,0.0,0.0
H23,,,,237.0,,,,237.0,237.0,0,0.0,0.0
H24,,,,552.0,,,,552.0,552.0,0,0.0,0.0
H25,,,,418.0,,,,418.0,418.0,0,0.0,0.0
H26,,,,441.0,,,,441.0,441.0,0,0.0,0.0
H27,,,,400.0,,,,400.0,400.0,0,0.0,0.0
H28,,,,235.0,,,,235.0,235.0,0,0.0,0.0
H29,,,,563.0,,,,563.0,563.0,0,0.0,0.0
