G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.18838135438847745,13237,798,527,798,0,1,0.33959899749373434,527,10,10,,0.6604010025062657,1
0,0.146325423312381,13237,1105,487,1105,0,2,0.5592760180995475,487,10,10,,0.4407239819004525,1
0,0.21769574381160325,13237,1053,348,1053,0,3,0.6695156695156695,348,10,10,,0.33048433048433046,1
0,0.2015887586426007,13237,983,623,983,0,4,0.3662258392675483,623,10,10,,0.6337741607324516,1
0,0.17365105194412492,13237,981,801,981,0,5,0.1834862385321101,801,9,9,,0.8165137614678899,1
0,0.15033914924228575,13237,1298,591,1298,0,6,0.5446841294298922,591,10,10,,0.45531587057010786,1
0,0.22128296226996486,13237,519,312,519,0,7,0.3988439306358382,312,10,10,,0.6011560693641619,1
0,0.18785716982682607,13237,671,671,671,0,8,0,671,10,10,,1,1
0,0.2014211087953508,13237,927,593,927,0,9,0.36030204962243795,593,10,10,,0.639697950377562,1
0,0.1717714729696322,13237,1614,465,1614,0,10,0.7118959107806692,465,10,10,,0.28810408921933084,1
