P_prefix,amount,day,payee,payer,step
3,3,1,H23,H22,1
15,12,1,H33,H32,2
48,33,1,H53,H52,3
49,1,1,H73,H72,4
51,2,1,dealer_short,H82,5
13,13,2,H12,H11,1
34,21,2,H62,H61,2
52,18,2,H72,H71,3
8,8,3,H11,H10,1
9,1,3,H21,H20,2
23,14,3,H71,H70,3
31,8,3,H91,H90,4
42,11,3,dealer_short,H100,5
23,23,4,H10,H9,1
151,128,4,H30,H29,2
152,1,4,H45,H39,3
166,14,4,dealer_short,H59,4
168,2,4,H70,H69,5
173,5,4,H80,H79,6
211,38,4,H100,H99,7
32,32,5,H9,H8,1
174,142,5,H19,H18,2
175,1,5,dealer_short,H48,3
297,122,5,H59,H58,4
9,9,6,H45,H7,1
127,118,6,dealer_short,H17,2
152,25,6,dealer_short,H27,3
191,39,6,dealer_short,H37,4
201,10,6,dealer_short,H67,5
223,22,6,dealer_short,H77,6
309,86,6,dealer_short,H97,7
8,8,7,H7,H6,1
63,55,7,H27,H26,2
118,55,7,H47,H46,3
130,12,7,dealer_short,H56,4
146,16,7,H87,H86,5
5,5,8,H6,H5,1
8,3,8,H45,H15,2
9,1,8,dealer_short,H35,3
211,205,8,dealer_short,H45,4
215,4,8,H56,H55,5
242,27,8,dealer_short,H65,6
320,78,8,dealer_short,H75,7
95,95,9,H5,H4,1
108,13,9,H35,H34,2
113,5,9,H55,H54,3
216,103,9,dealer_short,H64,4
282,66,9,dealer_short,H74,5
10,10,10,dealer_short,H43,1
60,50,10,H54,H53,2
236,176,10,dealer_short,H63,3
239,3,10,dealer_short,H93,4
