agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,12015.0,-12015.0,0,12015.0,0.0,0.0
H1,,,,151.0,,,,151.0,151.0,0,0.0,0.0
H2,,,,6,,,,6,6,0,0.0,0.0
H3,,,,198.0,,,,198.0,198.0,0,0.0,0.0
H4,,,,102.0,,,,102.0,102.0,0,0.0,0.0
H5,,,,,,,,0,0,0,0.0,0.0
H6,,,,170.0,,,,170.0,170.0,0,0.0,0.0
H7,,,,117.0,,,,117.0,117.0,0,0.0,0.0
H8,,,,102.0,,,,102.0,102.0,0,0.0,0.0
H9,,,,,,,,0,0,0,0.0,0.0
H10,,,,221.0,,,,221.0,221.0,0,0.0,0.0
H11,,,,232.0,,,,232.0,232.0,0,0.0,0.0
H12,,,,89.0,,,,89.0,89.0,0,0.0,0.0
H13,,,,,,,,0,0,0,0.0,0.0
H14,,,,148.0,,,,148.0,148.0,0,0.0,0.0
H15,,,,,,,,0,0,0,0.0,0.0
H16,,,,246.0,,,,246.0,246.0,0,0.0,0.0
H17,,,,38.0,,,,38.0,38.0,0,0.0,0.0
H18,,,,,,,,0,0,0,0.0,0.0
H19,,,,229.0,,,,229.0,229.0,0,0.0,0.0
H20,,,,24.0,,,,24.0,24.0,0,0.0,0.0
H21,,,,246.0,,,,246.0,246.0,0,0.0,0.0
H22,,,,83,,,,83,83,0,0.0,0.0
H23,,,,192.0,,,,192.0,192.0,0,0.0,0.0
H24,,,,,,,,0,0,0,0.0,0.0
H25,,,,209.0,,,,209.0,209.0,0,0.0,0.0
H26,,,,85.0,,,,85.0,85.0,0,0.0,0.0
H27,,,,80.0,,,,80.0,80.0,0,0.0,0.0
H28,,,,131.0,,,,131.0,131.0,0,0.0,0.0
H29,,,,91.0,,,,91.0,91.0,0,0.0,0.0
H30,,,,,,,,0,0,0,0.0,0.0
H31,,,,453.0,,,,453.0,453.0,0,0.0,0.0
H32,,,,229.0,,,,229.0,229.0,0,0.0,0.0
H33,,,,,,,,0,0,0,0.0,0.0
H34,,,,196.0,,,,196.0,196.0,0,0.0,0.0
H35,,,,110.0,,,,110.0,110.0,0,0.0,0.0
H36,,,,,,,,0,0,0,0.0,0.0
H37,,,,201.0,,,,201.0,201.0,0,0.0,0.0
H38,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H39,,,,80.0,,,,80.0,80.0,0,0.0,0.0
H40,,,,106.0,,,,106.0,106.0,0,0.0,0.0
H41,,,,69.0,,,,69.0,69.0,0,0.0,0.0
H42,,,,200.0,,,,200.0,200.0,0,0.0,0.0
H43,,,,56.0,,,,56.0,56.0,0,0.0,0.0
H44,,,,,,,,0,0,0,0.0,0.0
H45,,,,,,,,0,0,0,0.0,0.0
H46,,,,359.0,,,,359.0,359.0,0,0.0,0.0
H47,,,,106.0,,,,106.0,106.0,0,0.0,0.0
H48,,,,115.0,,,,115.0,115.0,0,0.0,0.0
H49,,,,,,,,0,0,0,0.0,0.0
H50,,,,163.0,,,,163.0,163.0,0,0.0,0.0
H51,,,,77.0,,,,77.0,77.0,0,0.0,0.0
H52,,,,162.0,,,,162.0,162.0,0,0.0,0.0
H53,,,,61.0,,,,61.0,61.0,0,0.0,0.0
H54,,,,133.0,,,,133.0,133.0,0,0.0,0.0
H55,,,,106.0,,,,106.0,106.0,0,0.0,0.0
H56,,,,91.0,,,,91.0,91.0,0,0.0,0.0
H57,,,,46.0,,,,46.0,46.0,0,0.0,0.0
H58,,,,155.0,,,,155.0,155.0,0,0.0,0.0
H59,,,,13.0,,,,13.0,13.0,0,0.0,0.0
H60,,,,190.0,,,,190.0,190.0,0,0.0,0.0
H61,,,,,,,,0,0,0,0.0,0.0
H62,,,,178.0,,,,178.0,178.0,0,0.0,0.0
H63,,,,22.0,,,,22.0,22.0,0,0.0,0.0
H64,,,,158.0,,,,158.0,158.0,0,0.0,0.0
H65,,,,146.0,,,,146.0,146.0,0,0.0,0.0
H66,,,,41.0,,,,41.0,41.0,0,0.0,0.0
H67,,,,154.0,,,,154.0,154.0,0,0.0,0.0
H68,,,,105.0,,,,105.0,105.0,0,0.0,0.0
H69,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H70,,,,,,,,0,0,0,0.0,0.0
H71,,,,193.0,,,,193.0,193.0,0,0.0,0.0
H72,,,,9,,,,9,9,0,0.0,0.0
H73,,,,,,,,0,0,0,0.0,0.0
H74,,,,296.0,,,,296.0,296.0,0,0.0,0.0
H75,,,,79.0,,,,79.0,79.0,0,0.0,0.0
H76,,,,,,,,0,0,0,0.0,0.0
H77,,,,227.0,,,,227.0,227.0,0,0.0,0.0
H78,,,,19.0,,,,19.0,19.0,0,0.0,0.0
H79,,,,177.0,,,,177.0,177.0,0,0.0,0.0
H80,,,,104.0,,,,104.0,104.0,0,0.0,0.0
H81,,,,18.0,,,,18.0,18.0,0,0.0,0.0
H82,,,,182.0,,,,182.0,182.0,0,0.0,0.0
H83,,,,,,,,0,0,0,0.0,0.0
H84,,,,200.0,,,,200.0,200.0,0,0.0,0.0
H85,,,,,,,,0,0,0,0.0,0.0
H86,,,,159.0,,,,159.0,159.0,0,0.0,0.0
H87,,,,,,,,0,0,0,0.0,0.0
H88,,,,305.0,,,,305.0,305.0,0,0.0,0.0
H89,,,,111.0,,,,111.0,111.0,0,0.0,0.0
H90,,,,93.0,,,,93.0,93.0,0,0.0,0.0
H91,,,,74.0,,,,74.0,74.0,0,0.0,0.0
H92,,,,37,,,,37,37,0,0.0,0.0
H93,,,,169.0,,,,169.0,169.0,0,0.0,0.0
