agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,5668.0,-5668.0,0,5668.0,0.0,0.0
H1,,,,,,,,0,0,0,0.0,0.0
H2,,,,118.0,,,,118.0,118.0,0,0.0,0.0
H3,,,,,,,,0,0,0,0.0,0.0
H4,,,,57.0,,,,57.0,57.0,0,0.0,0.0
H5,,,,22.0,,,,22.0,22.0,0,0.0,0.0
H6,,,,81.0,,,,81.0,81.0,0,0.0,0.0
H7,,,,96.0,,,,96.0,96.0,0,0.0,0.0
H8,,,,41.0,,,,41.0,41.0,0,0.0,0.0
H9,,,,59.0,,,,59.0,59.0,0,0.0,0.0
H10,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H11,,,,,,,,0,0,0,0.0,0.0
H12,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H13,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H14,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H15,,,,43.0,,,,43.0,43.0,0,0.0,0.0
H16,,,,57.0,,,,57.0,57.0,0,0.0,0.0
H17,,,,,,,,0,0,0,0.0,0.0
H18,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H19,,,,4.0,,,,4.0,4.0,0,0.0,0.0
H20,,,,96.0,,,,96.0,96.0,0,0.0,0.0
H21,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H22,,,,,,,,0,0,0,0.0,0.0
H23,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H24,,,,35.0,,,,35.0,35.0,0,0.0,0.0
H25,,,,65.0,,,,65.0,65.0,0,0.0,0.0
H26,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H27,,,,,,,,0,0,0,0.0,0.0
H28,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H29,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H30,,,,28.0,,,,28.0,28.0,0,0.0,0.0
H31,,,,,,,,0,0,0,0.0,0.0
H32,,,,118.0,,,,118.0,118.0,0,0.0,0.0
H33,,,,57.0,,,,57.0,57.0,0,0.0,0.0
H34,,,,,,,,0,0,0,0.0,0.0
H35,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H36,,,,23.0,,,,23.0,23.0,0,0.0,0.0
H37,,,,77.0,,,,77.0,77.0,0,0.0,0.0
H38,,,,,,,,0,0,0,0.0,0.0
H39,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H40,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H41,,,,33.0,,,,33.0,33.0,0,0.0,0.0
H42,,,,57.0,,,,57.0,57.0,0,0.0,0.0
H43,,,,,,,,0,0,0,0.0,0.0
H44,,,,,,,,0,0,0,0.0,0.0
H45,,,,192.0,,,,192.0,192.0,0,0.0,0.0
H46,,,,1.0,,,,1.0,1.0,0,0.0,0.0
H47,,,,,,,,0,0,0,0.0,0.0
H48,,,,,,,,0,0,0,0.0,0.0
H49,,,,198.0,,,,198.0,198.0,0,0.0,0.0
H50,,,,,,,,0,0,0,0.0,0.0
H51,,,,112.0,,,,112.0,112.0,0,0.0,0.0
H52,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H53,,,,48.0,,,,48.0,48.0,0,0.0,0.0
H54,,,,,,,,0,0,0,0.0,0.0
H55,,,,102.0,,,,102.0,102.0,0,0.0,0.0
H56,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H57,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H58,,,,,,,,0,0,0,0.0,0.0
H59,,,,116.0,,,,116.0,116.0,0,0.0,0.0
H60,,,,,,,,0,0,0,0.0,0.0
H61,,,,160.0,,,,160.0,160.0,0,0.0,0.0
H62,,,,,,,,0,0,0,0.0,0.0
H63,,,,47.0,,,,47.0,47.0,0,0.0,0.0
H64,,,,188.0,,,,188.0,188.0,0,0.0,0.0
H65,,,,,,,,0,0,0,0.0,0.0
H66,,,,,,,,0,0,0,0.0,0.0
H67,,,,117.0,,,,117.0,117.0,0,0.0,0.0
H68,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H69,,,,,,,,0,0,0,0.0,0.0
H70,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H71,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H72,,,,,,,,0,0,0,0.0,0.0
H73,,,,35.0,,,,35.0,35.0,0,0.0,0.0
H74,,,,115.0,,,,115.0,115.0,0,0.0,0.0
H75,,,,,,,,0,0,0,0.0,0.0
H76,,,,90.0,,,,90.0,90.0,0,0.0,0.0
H77,,,,,,,,0,0,0,0.0,0.0
H78,,,,112.0,,,,112.0,112.0,0,0.0,0.0
H79,,,,42.0,,,,42.0,42.0,0,0.0,0.0
H80,,,,49.0,,,,49.0,49.0,0,0.0,0.0
H81,,,,18.0,,,,18.0,18.0,0,0.0,0.0
H82,,,,90.0,,,,90.0,90.0,0,0.0,0.0
H83,,,,,,,,0,0,0,0.0,0.0
H84,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H85,,,,46.0,,,,46.0,46.0,0,0.0,0.0
H86,,,,51.0,,,,51.0,51.0,0,0.0,0.0
H87,,,,4,,,,4,4,0,0.0,0.0
H88,,,,99.0,,,,99.0,99.0,0,0.0,0.0
H89,,,,,,,,0,0,0,0.0,0.0
H90,,,,96.0,,,,96.0,96.0,0,0.0,0.0
H91,,,,55.0,,,,55.0,55.0,0,0.0,0.0
H92,,,,32.0,,,,32.0,32.0,0,0.0,0.0
H93,,,,68.0,,,,68.0,68.0,0,0.0,0.0
H94,,,,32.0,,,,32.0,32.0,0,0.0,0.0
H95,,,,61.0,,,,61.0,61.0,0,0.0,0.0
H96,,,,55.0,,,,55.0,55.0,0,0.0,0.0
H97,,,,2,,,,2,2,0,0.0,0.0
H98,,,,99.0,,,,99.0,99.0,0,0.0,0.0
H99,,,,,,,,0,0,0,0.0,0.0
H100,,,,85.0,,,,85.0,85.0,0,0.0,0.0
dealer_short,,,,434.0,,,,434.0,434.0,0,0.0,0.0
vbt_short,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,5668.0,,,5668.0,0,5668.0,5668.0,0.0,0.0
SYSTEM,system,System Total,5668.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,5668.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
