agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,7919.0,-7919.0,0,7919.0,0.0,0.0
H1,,,,157.0,,,,157.0,157.0,0,0.0,0.0
H2,,,,21.0,,,,21.0,21.0,0,0.0,0.0
H3,,,,,,,,0,0,0,0.0,0.0
H4,,,,109.0,,,,109.0,109.0,0,0.0,0.0
H5,,,,112.0,,,,112.0,112.0,0,0.0,0.0
H6,,,,,,,,0,0,0,0.0,0.0
H7,,,,6.0,,,,6.0,6.0,0,0.0,0.0
H8,,,,85.0,,,,85.0,85.0,0,0.0,0.0
H9,,,,,,,,0,0,0,0.0,0.0
H10,,,,140.0,,,,140.0,140.0,0,0.0,0.0
H11,,,,,,,,0,0,0,0.0,0.0
H12,,,,38.0,,,,38.0,38.0,0,0.0,0.0
H13,,,,,,,,0,0,0,0.0,0.0
H14,,,,,,,,0,0,0,0.0,0.0
H15,,,,117.0,,,,117.0,117.0,0,0.0,0.0
H16,,,,,,,,0,0,0,0.0,0.0
H17,,,,57.0,,,,57.0,57.0,0,0.0,0.0
H18,,,,,,,,0,0,0,0.0,0.0
H19,,,,41.0,,,,41.0,41.0,0,0.0,0.0
H20,,,,115.0,,,,115.0,115.0,0,0.0,0.0
H21,,,,33.0,,,,33.0,33.0,0,0.0,0.0
H22,,,,35.0,,,,35.0,35.0,0,0.0,0.0
H23,,,,,,,,0,0,0,0.0,0.0
H24,,,,,,,,0,0,0,0.0,0.0
H25,,,,85.0,,,,85.0,85.0,0,0.0,0.0
H26,,,,9.0,,,,9.0,9.0,0,0.0,0.0
H27,,,,43.0,,,,43.0,43.0,0,0.0,0.0
H28,,,,11,,,,11,11,0,0.0,0.0
H29,,,,,,,,0,0,0,0.0,0.0
H30,,,,148.0,,,,148.0,148.0,0,0.0,0.0
H31,,,,,,,,0,0,0,0.0,0.0
H32,,,,114.0,,,,114.0,114.0,0,0.0,0.0
H33,,,,53.0,,,,53.0,53.0,0,0.0,0.0
H34,,,,61.0,,,,61.0,61.0,0,0.0,0.0
H35,,,,74.0,,,,74.0,74.0,0,0.0,0.0
H36,,,,,,,,0,0,0,0.0,0.0
H37,,,,181.0,,,,181.0,181.0,0,0.0,0.0
H38,,,,128.0,,,,128.0,128.0,0,0.0,0.0
H39,,,,3.0,,,,3.0,3.0,0,0.0,0.0
H40,,,,45.0,,,,45.0,45.0,0,0.0,0.0
H41,,,,,,,,0,0,0,0.0,0.0
H42,,,,111.0,,,,111.0,111.0,0,0.0,0.0
H43,,,,,,,,0,0,0,0.0,0.0
H44,,,,76.0,,,,76.0,76.0,0,0.0,0.0
H45,,,,5.0,,,,5.0,5.0,0,0.0,0.0
H46,,,,91.0,,,,91.0,91.0,0,0.0,0.0
H47,,,,,,,,0,0,0,0.0,0.0
H48,,,,48.0,,,,48.0,48.0,0,0.0,0.0
H49,,,,,,,,0,0,0,0.0,0.0
H50,,,,202.0,,,,202.0,202.0,0,0.0,0.0
H51,,,,52.0,,,,52.0,52.0,0,0.0,0.0
H52,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H53,,,,,,,,0,0,0,0.0,0.0
H54,,,,239.0,,,,239.0,239.0,0,0.0,0.0
H55,,,,30.0,,,,30.0,30.0,0,0.0,0.0
H56,,,,,,,,0,0,0,0.0,0.0
H57,,,,43.0,,,,43.0,43.0,0,0.0,0.0
