P_prefix,amount,day,payee,payer,step
47,47,1,H3,H2,1
122,75,1,H8,H7,2
206,84,1,H13,H12,3
291,85,1,H18,H17,4
375,84,1,H23,H22,5
438,63,1,H28,H27,6
554,116,1,H33,H32,7
613,59,1,H38,H37,8
705,92,1,H43,H42,9
872,167,1,H48,H47,10
977,105,1,H53,H52,11
1121,144,1,H58,H57,12
1184,63,1,H63,H62,13
1332,148,1,H68,H67,14
1378,46,1,H73,H72,15
1470,92,1,H78,H77,16
1585,115,1,H83,H82,17
1696,111,1,H88,H87,18
1789,93,1,H93,H92,19
1867,78,1,H98,H97,20
45,45,3,H4,H3,1
246,201,3,H9,H8,2
362,116,3,H14,H13,3
496,134,3,H19,H18,4
574,78,3,H24,H23,5
652,78,3,H29,H28,6
762,110,3,H34,H33,7
864,102,3,H39,H38,8
975,111,3,H44,H43,9
1095,120,3,H49,H48,10
1128,33,3,H54,H53,11
1191,63,3,H59,H58,12
1322,131,3,H64,H63,13
1399,77,3,H69,H68,14
1518,119,3,H74,H73,15
1627,109,3,H79,H78,16
1704,77,3,H84,H83,17
1810,106,3,H89,H88,18
1934,124,3,H94,H93,19
1985,51,3,H99,H98,20
45,45,5,H5,H4,1
114,69,5,H10,H9,2
235,121,5,H15,H14,3
301,66,5,H20,H19,4
498,197,5,H25,H24,5
603,105,5,H30,H29,6
650,47,5,H35,H34,7
832,182,5,H40,H39,8
992,160,5,H45,H44,9
1179,187,5,H50,H49,10
1268,89,5,H55,H54,11
1361,93,5,H60,H59,12
1504,143,5,H65,H64,13
1574,70,5,H70,H69,14
1661,87,5,H75,H74,15
1722,61,5,H80,H79,16
1805,83,5,H85,H84,17
1865,60,5,H90,H89,18
2041,176,5,H95,H94,19
2114,73,5,H100,H99,20
183,183,7,H6,H5,1
278,95,7,H11,H10,2
368,90,7,H16,H15,3
466,98,7,H21,H20,4
545,79,7,H26,H25,5
663,118,7,H31,H30,6
786,123,7,H36,H35,7
833,47,7,H41,H40,8
920,87,7,H46,H45,9
991,71,7,H51,H50,10
1070,79,7,H56,H55,11
1183,113,7,H61,H60,12
1251,68,7,H66,H65,13
1317,66,7,H71,H70,14
1411,94,7,H76,H75,15
1514,103,7,H81,H80,16
1706,192,7,H86,H85,17
1783,77,7,H91,H90,18
2018,235,7,H96,H95,19
2160,142,7,H1,H100,20
97,97,9,H2,H1,1
166,69,9,H7,H6,2
269,103,9,H12,H11,3
356,87,9,H17,H16,4
443,87,9,H22,H21,5
478,35,9,H27,H26,6
547,69,9,H32,H31,7
648,101,9,H37,H36,8
741,93,9,H42,H41,9
843,102,9,H47,H46,10
919,76,9,H52,H51,11
987,68,9,H57,H56,12
1103,116,9,H62,H61,13
1183,80,9,H67,H66,14
1291,108,9,H72,H71,15
1440,149,9,H77,H76,16
1589,149,9,H82,H81,17
1673,84,9,H87,H86,18
1767,94,9,H92,H91,19
1826,59,9,H97,H96,20
