G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.4638988213013737,11587,1064,147,1064,0,1,0.8618421052631579,147,6,6,,0.13815789473684212,1
0,0.33074389104675744,11587,473,241,473,0,2,0.4904862579281184,241,8,8,,0.5095137420718816,1
0,0.23536210587702672,11587,1444,765,1444,0,3,0.47022160664819945,765,10,10,,0.5297783933518005,1
0,0.3757955879268772,11587,929,192,929,0,4,0.7933261571582346,192,6,6,,0.20667384284176535,1
0,0.6218226068144943,11587,1204,267,1204,0,5,0.7782392026578073,267,7,7,,0.2217607973421927,1
0,0.26390097163443754,11587,1173,62,1173,0,6,0.9471440750213129,62,8,8,,0.05285592497868713,1
0,0.5105083804147796,11587,449,137,449,0,7,0.6948775055679287,137,5,5,,0.3051224944320713,1
0,0.33033429797765107,11587,1533,167,1533,0,8,0.8910632746249184,167,7,7,,0.10893672537508153,1
0,0.24873246972592983,11587,557,218,557,0,9,0.6086175942549371,218,8,8,,0.39138240574506283,1
0,0.9242337996012305,11587,1134,44,1134,0,10,0.9611992945326279,44,7,7,,0.03880070546737213,1
