G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.18923351285600357,20953,1033,683,1033,0,1,0.3388189738625363,683,10,10,,0.6611810261374637,1
0,0.19865752041073984,20953,1308,1308,1308,0,2,0,1308,10,10,,1,1
0,0.19476144265570441,20953,1227,579,1227,0,3,0.5281173594132029,579,9,9,,0.4718826405867971,1
0,0.15556904907625607,20953,789,789,789,0,4,0,789,10,10,,1,1
0,0.19421260586562591,20953,477,477,477,0,5,0,477,8,8,,1,1
0,0.16442896082321254,20953,1245,661,1245,0,6,0.46907630522088356,661,10,10,,0.5309236947791165,1
0,0.31963704001700405,20953,1047,521,1047,0,7,0.5023877745940784,521,10,10,,0.4976122254059217,1
0,0.18992921983486583,20953,1168,793,1168,0,8,0.3210616438356164,793,10,10,,0.6789383561643836,1
0,0.1956939153929448,20953,1031,450,1031,0,9,0.5635305528612997,450,10,10,,0.4364694471387003,1
0,0.2970653398757151,20953,627,627,627,0,10,0,627,10,10,,1,1
