agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,12660.0,-12660.0,0,12660.0,0.0,0.0
H1,,,,75.0,,,,75.0,75.0,0,0.0,0.0
H2,,,,145.0,,,,145.0,145.0,0,0.0,0.0
H3,,,,,,,,0,0,0,0.0,0.0
H4,,,,161.0,,,,161.0,161.0,0,0.0,0.0
H5,,,,68.0,,,,68.0,68.0,0,0.0,0.0
H6,,,,62.0,,,,62.0,62.0,0,0.0,0.0
H7,,,,127.0,,,,127.0,127.0,0,0.0,0.0
H8,,,,149.0,,,,149.0,149.0,0,0.0,0.0
H9,,,,144.0,,,,144.0,144.0,0,0.0,0.0
H10,,,,,,,,0,0,0,0.0,0.0
H11,,,,,,,,0,0,0,0.0,0.0
H12,,,,419.0,,,,419.0,419.0,0,0.0,0.0
H13,,,,155.0,,,,155.0,155.0,0,0.0,0.0
H14,,,,57.0,,,,57.0,57.0,0,0.0,0.0
H15,,,,,,,,0,0,0,0.0,0.0
H16,,,,396.0,,,,396.0,396.0,0,0.0,0.0
H17,,,,248.0,,,,248.0,248.0,0,0.0,0.0
H18,,,,,,,,0,0,0,0.0,0.0
H19,,,,139.0,,,,139.0,139.0,0,0.0,0.0
H20,,,,129.0,,,,129.0,129.0,0,0.0,0.0
H21,,,,96.0,,,,96.0,96.0,0,0.0,0.0
H22,,,,123.0,,,,123.0,123.0,0,0.0,0.0
H23,,,,112.0,,,,112.0,112.0,0,0.0,0.0
H24,,,,79.0,,,,79.0,79.0,0,0.0,0.0
H25,,,,,,,,0,0,0,0.0,0.0
H26,,,,220.0,,,,220.0,220.0,0,0.0,0.0
H27,,,,5,,,,5,5,0,0.0,0.0
H28,,,,197.0,,,,197.0,197.0,0,0.0,0.0
H29,,,,93.0,,,,93.0,93.0,0,0.0,0.0
H30,,,,103.0,,,,103.0,103.0,0,0.0,0.0
H31,,,,103.0,,,,103.0,103.0,0,0.0,0.0
H32,,,,93.0,,,,93.0,93.0,0,0.0,0.0
H33,,,,83.0,,,,83.0,83.0,0,0.0,0.0
H34,,,,128.0,,,,128.0,128.0,0,0.0,0.0
H35,,,,46.0,,,,46.0,46.0,0,0.0,0.0
H36,,,,108.0,,,,108.0,108.0,0,0.0,0.0
H37,,,,,,,,0,0,0,0.0,0.0
H38,,,,187.0,,,,187.0,187.0,0,0.0,0.0
H39,,,,,,,,0,0,0,0.0,0.0
H40,,,,255.0,,,,255.0,255.0,0,0.0,0.0
H41,,,,,,,,0,0,0,0.0,0.0
H42,,,,201.0,,,,201.0,201.0,0,0.0,0.0
H43,,,,,,,,0,0,0,0.0,0.0
H44,,,,292.0,,,,292.0,292.0,0,0.0,0.0
H45,,,,381.0,,,,381.0,381.0,0,0.0,0.0
H46,,,,,,,,0,0,0,0.0,0.0
H47,,,,190.0,,,,190.0,190.0,0,0.0,0.0
H48,,,,128.0,,,,128.0,128.0,0,0.0,0.0
H49,,,,102.0,,,,102.0,102.0,0,0.0,0.0
H50,,,,,,,,0,0,0,0.0,0.0
H51,,,,137.0,,,,137.0,137.0,0,0.0,0.0
H52,,,,314.0,,,,314.0,314.0,0,0.0,0.0
H53,,,,58.0,,,,58.0,58.0,0,0.0,0.0
H54,,,,164.0,,,,164.0,164.0,0,0.0,0.0
H55,,,,,,,,0,0,0,0.0,0.0
H56,,,,223.0,,,,223.0,223.0,0,0.0,0.0
H57,,,,19.0,,,,19.0,19.0,0,0.0,0.0
H58,,,,4.0,,,,4.0,4.0,0,0.0,0.0
H59,,,,300.0,,,,300.0,300.0,0,0.0,0.0
H60,,,,68.0,,,,68.0,68.0,0,0.0,0.0
H61,,,,,,,,0,0,0,0.0,0.0
