G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.5079622627536011,5462,2465,45,2465,0,1,0.9817444219066938,45,8,8,,0.018255578093306288,1
0,0.7962962962962963,5462,18,18,18,0,2,0,18,3,3,,1,1
0,0.6413467347723403,5462,714,13,714,0,3,0.9817927170868347,13,6,6,,0.018207282913165267,1
0,0.3045802609409898,5462,801,31,801,0,4,0.9612983770287141,31,8,8,,0.03870162297128589,1
0,0.7380248614658144,5462,1051,80,1051,0,5,0.9238820171265462,80,6,6,,0.07611798287345385,1
0,0.3127110653041533,5462,604,427,604,0,6,0.29304635761589404,427,9,9,,0.706953642384106,1
0,0.3389978859296876,5462,1196,47,1196,0,7,0.9607023411371237,47,8,8,,0.039297658862876256,1
0,0.3651154858941095,5462,851,68,851,0,8,0.9200940070505288,68,5,5,,0.0799059929494712,1
0,0.3405384083044983,5462,1700,15,1700,0,9,0.9911764705882353,15,7,7,,0.008823529411764706,1
0,0.37308794737254286,5462,565,240,565,0,10,0.5752212389380531,240,6,6,,0.4247787610619469,1
