agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,21486.0,-21486.0,0,21486.0,0.0,0.0
H1,,,,180.0,,,,180.0,180.0,0,0.0,0.0
H2,,,,363.0,,,,363.0,363.0,0,0.0,0.0
H3,,,,,,,,0,0,0,0.0,0.0
H4,,,,276.0,,,,276.0,276.0,0,0.0,0.0
H5,,,,304.0,,,,304.0,304.0,0,0.0,0.0
H6,,,,173.0,,,,173.0,173.0,0,0.0,0.0
H7,,,,254.0,,,,254.0,254.0,0,0.0,0.0
H8,,,,187.0,,,,187.0,187.0,0,0.0,0.0
H9,,,,108.0,,,,108.0,108.0,0,0.0,0.0
H10,,,,156.0,,,,156.0,156.0,0,0.0,0.0
H11,,,,331.0,,,,331.0,331.0,0,0.0,0.0
H12,,,,99.0,,,,99.0,99.0,0,0.0,0.0
H13,,,,274.0,,,,274.0,274.0,0,0.0,0.0
H14,,,,167.0,,,,167.0,167.0,0,0.0,0.0
H15,,,,97.0,,,,97.0,97.0,0,0.0,0.0
H16,,,,357.0,,,,357.0,357.0,0,0.0,0.0
H17,,,,208.0,,,,208.0,208.0,0,0.0,0.0
H18,,,,163.0,,,,163.0,163.0,0,0.0,0.0
H19,,,,,,,,0,0,0,0.0,0.0
H20,,,,409.0,,,,409.0,409.0,0,0.0,0.0
H21,,,,64.0,,,,64.0,64.0,0,0.0,0.0
H22,,,,370.0,,,,370.0,370.0,0,0.0,0.0
H23,,,,75.0,,,,75.0,75.0,0,0.0,0.0
H24,,,,157.0,,,,157.0,157.0,0,0.0,0.0
H25,,,,355.0,,,,355.0,355.0,0,0.0,0.0
H26,,,,223.0,,,,223.0,223.0,0,0.0,0.0
H27,,,,213.0,,,,213.0,213.0,0,0.0,0.0
H28,,,,194.0,,,,194.0,194.0,0,0.0,0.0
H29,,,,181.0,,,,181.0,181.0,0,0.0,0.0
H30,,,,142.0,,,,142.0,142.0,0,0.0,0.0
H31,,,,94.0,,,,94.0,94.0,0,0.0,0.0
H32,,,,383.0,,,,383.0,383.0,0,0.0,0.0
H33,,,,,,,,0,0,0,0.0,0.0
H34,,,,412.0,,,,412.0,412.0,0,0.0,0.0
H35,,,,147.0,,,,147.0,147.0,0,0.0,0.0
H36,,,,131.0,,,,131.0,131.0,0,0.0,0.0
H37,,,,130.0,,,,130.0,130.0,0,0.0,0.0
H38,,,,212.0,,,,212.0,212.0,0,0.0,0.0
H39,,,,159.0,,,,159.0,159.0,0,0.0,0.0
H40,,,,499.0,,,,499.0,499.0,0,0.0,0.0
