DS_t,agent,day
0.052734375,H2,1
0,H23,1
0,H38,1
0.0673828125,H57,1
0,H13,1
0.07080078125,H12,1
0,H28,1
0,H33,1
0.01513671875,H42,1
0,H93,1
0.0244140625,H67,1
0,H53,1
0.111328125,H27,1
0.072265625,H92,1
0,H8,1
0.02783203125,H97,1
0.04541015625,H22,1
0,H18,1
0.0185546875,H7,1
0,H58,1
0.0087890625,H52,1
0.087890625,H72,1
0.0185546875,H77,1
0.0732421875,H47,1
0,H3,1
0,H63,1
0.017578125,H32,1
0,H73,1
0,H88,1
0,H83,1
0,H98,1
0.060546875,H82,1
0.00390625,H62,1
0.04736328125,H37,1
0.076171875,H87,1
0,H48,1
0,H68,1
0.10009765625,H17,1
0,H78,1
0,H43,1
0.034974689369535204,H15,3
0.06764841233317993,H20,3
0.0050621260929590425,H80,3
0,H16,3
0,H61,3
0,H86,3
0.0441785549930971,H25,3
0.03727565577542568,H85,3
0.01058444546709618,H45,3
0.028992176714219973,H65,3
0,H96,3
0.017027151403589506,H60,3
0,H81,3
0,H66,3
0,H71,3
0.021629084215370454,H50,3
0.034974689369535204,H75,3
0,H76,3
0,H56,3
0,H6,3
0.053382420616658995,H70,3
0,H91,3
0,H26,3
0.061665899677864705,H100,3
0,H46,3
0.03359410952600092,H55,3
0,H21,3
0,H31,3
0,H51,3
0.024390243902439025,H30,3
0.09986194201564658,H40,3
0.09618039576622181,H95,3
0,H41,3
0.09894155545329038,H35,3
0,H11,3
0.09618039576622181,H5,3
0.07915324436263231,H10,3
0,H36,3
0,H1,3
0.054302807179015186,H90,3
0,H99,5
0.07589826402906742,H23,5
0.010496568429551878,H38,5
0,H49,5
0.03270084779975777,H13,5
0.05006055712555511,H28,5
0.03310456197012515,H33,5
0.04763827210335083,H93,5
0,H74,5
0.059749697214372226,H53,5
0.04077513120710537,H8,5
0,H9,5
0,H59,5
0.056116269681065804,H18,5
0,H34,5
0.04723455793298345,H58,5
0,H24,5
0,H44,5
0,H54,5
0,H64,5
0,H39,5
0.03956398869600323,H3,5
0,H89,5
0.027452563584981833,H63,5
0,H4,5
0.11182882519176424,H73,5
0.06701655228098506,H88,5
0,H14,5
0,H94,5
0.03350827614049253,H83,5
0.0621719822365765,H98,5
0,H84,5
0,H79,5
0.04279370205894227,H48,5
0.04804198627371821,H68,5
0,H69,5
0.06136455389584174,H78,5
0.05248284214775938,H43,5
0,H19,5
0,H29,5
0,H2,7
0,H57,7
0.0545876887340302,H16,7
0.056329849012775844,H61,7
0.15331010452961671,H86,7
0,H12,7
0.06852497096399536,H96,7
0,H42,7
0.08710801393728224,H81,7
0,H67,7
0,H27,7
0,H92,7
0.005226480836236934,H66,7
0.09291521486643438,H71,7
0,H97,7
0,H22,7
0,H7,7
0,H52,7
0,H72,7
0.0429732868757259,H76,7
0.01916376306620209,H56,7
0.03193960511033682,H6,7
0.06794425087108014,H26,7
0.006968641114982578,H91,7
0,H77,7
0.019744483159117306,H46,7
0,H47,7
0,H32,7
0.11846689895470383,H21,7
0.06736353077816493,H31,7
0.030197444831591175,H51,7
0,H82,7
0,H62,7
0,H37,7
0.01684088269454123,H41,7
0,H87,7
0.01916376306620209,H11,7
0,H17,7
0.008710801393728223,H36,7
0.032520325203252036,H1,7
0,H15,9
0.049836065573770495,H99,9
0,H20,9
0.09180327868852459,H49,9
0,H80,9
0,H25,9
0,H85,9
0,H45,9
0,H65,9
0.009836065573770493,H74,9
0,H60,9
0.025573770491803278,H9,9
0.08065573770491803,H59,9
0,H50,9
0.05639344262295082,H34,9
0.049836065573770495,H24,9
0,H75,9
0,H70,9
0.03409836065573771,H44,9
0,H100,9
0.04590163934426229,H54,9
0.0859016393442623,H64,9
0.02360655737704918,H39,9
0,H55,9
0.015081967213114755,H89,9
0.07344262295081967,H4,9
0.009836065573770493,H14,9
0.06163934426229508,H94,9
0,H30,9
0,H40,9
0.0419672131147541,H84,9
0,H95,9
0.12524590163934426,H79,9
0.043934426229508196,H69,9
0,H35,9
0,H5,9
0.05901639344262295,H19,9
0,H10,9
0,H90,9
0.01639344262295082,H29,9
