P_prefix,amount,day,payee,payer,step
38,38,1,dealer_short,H7,1
131,93,1,dealer_short,H22,2
359,228,1,H28,H27,3
395,36,1,H33,H32,4
492,97,1,H38,H37,5
523,31,1,H43,H42,6
541,18,1,dealer_short,H52,7
549,8,1,H63,H62,8
599,50,1,H68,H67,9
637,38,1,H78,H77,10
793,156,1,H88,H87,11
850,57,1,H98,H97,12
209,209,3,H6,H5,1
285,76,3,H16,H15,2
432,147,3,dealer_short,H20,3
528,96,3,dealer_short,H25,4
581,53,3,dealer_short,H30,5
604,23,3,H46,H45,6
651,47,3,H51,H50,7
724,73,3,H56,H55,8
761,37,3,H61,H60,9
824,63,3,H66,H65,10
940,116,3,dealer_short,H70,11
1016,76,3,H76,H75,12
1027,11,3,dealer_short,H80,13
1108,81,3,dealer_short,H85,14
1226,118,3,H91,H90,15
1360,134,3,H1,H100,16
98,98,5,dealer_short,H3,1
199,101,5,H9,H8,2
280,81,5,H14,H13,3
419,139,5,H19,H18,4
607,188,5,H24,H23,5
731,124,5,H29,H28,6
813,82,5,H34,H33,7
839,26,5,H39,H38,8
969,130,5,H44,H43,9
1075,106,5,dealer_short,H48,10
1192,117,5,dealer_short,H58,11
1260,68,5,dealer_short,H63,12
1379,119,5,H69,H68,13
1462,83,5,H84,H83,14
1628,166,5,H89,H88,15
1746,118,5,H94,H93,16
1900,154,5,H99,H98,17
56,56,7,H2,H1,1
111,55,7,H7,H6,2
144,33,7,H12,H11,3
238,94,7,H17,H16,4
442,204,7,H22,H21,5
559,117,7,dealer_short,H26,6
675,116,7,H32,H31,7
690,15,7,H37,H36,8
719,29,7,H42,H41,9
753,34,7,dealer_short,H46,10
805,52,7,H52,H51,11
838,33,7,H57,H56,12
935,97,7,H62,H61,13
944,9,7,H67,H66,14
1104,160,7,H72,H71,15
1178,74,7,H77,H76,16
1190,12,7,H92,H91,17
1308,118,7,H97,H96,18
112,112,9,dealer_short,H4,1
151,39,9,dealer_short,H9,2
166,15,9,H15,H14,3
256,90,9,dealer_short,H19,4
332,76,9,H25,H24,5
357,25,9,H30,H29,6
443,86,9,dealer_short,H34,7
479,36,9,dealer_short,H39,8
531,52,9,H45,H44,9
671,140,9,H50,H49,10
741,70,9,H55,H54,11
864,123,9,H60,H59,12
995,131,9,H65,H64,13
1062,67,9,dealer_short,H69,14
1077,15,9,H75,H74,15
1268,191,9,H80,H79,16
1332,64,9,H85,H84,17
1355,23,9,dealer_short,H89,18
1449,94,9,dealer_short,H94,19
1525,76,9,dealer_short,H99,20
