P_prefix,amount,day,payee,payer,step
55,55,1,H3,H2,1
95,40,1,H13,H12,2
132,37,1,H23,H22,3
300,168,1,H33,H32,4
328,28,1,H43,H42,5
329,1,1,H53,H52,6
543,214,1,H63,H62,7
666,123,1,H73,H72,8
1030,364,1,H93,H92,9
64,64,2,H2,H1,1
95,31,2,H12,H11,2
233,138,2,H22,H21,3
354,121,2,H32,H31,4
387,33,2,H42,H41,5
411,24,2,H92,H61,6
546,135,2,H72,H71,7
705,159,2,H82,H81,8
217,217,3,H11,H10,1
268,51,3,H41,H40,2
312,44,3,dealer_short,H50,3
313,1,3,H61,H60,4
438,125,3,H71,H70,5
483,45,3,H81,H80,6
565,82,3,dealer_short,H90,7
598,33,3,H1,H100,8
85,85,4,H20,H9,1
160,75,4,dealer_short,H29,2
165,5,4,H40,H39,3
283,118,4,H50,H49,4
472,189,4,H60,H59,5
474,2,4,H70,H69,6
540,66,4,H80,H79,7
612,72,4,H90,H89,8
717,105,4,H100,H99,9
132,132,5,H9,H8,1
211,79,5,H21,H18,2
265,54,5,H29,H28,3
274,9,5,H39,H38,4
292,18,5,H49,H48,5
372,80,5,H59,H58,6
392,20,5,H69,H68,7
450,58,5,H79,H78,8
556,106,5,H89,H88,9
583,27,5,H99,H98,10
55,55,6,H8,H7,1
87,32,6,H18,H17,2
112,25,6,H28,H27,3
229,117,6,H38,H37,4
248,19,6,H48,H47,5
273,25,6,H58,H57,6
324,51,6,H68,H67,7
469,145,6,H78,H77,8
495,26,6,H88,H87,9
653,158,6,H98,H97,10
15,15,7,H7,H6,1
81,66,7,H17,H16,2
241,160,7,H27,H26,3
322,81,7,H37,H36,4
331,9,7,H47,H46,5
375,44,7,H57,H56,6
645,270,7,H67,H66,7
723,78,7,H77,H76,8
770,47,7,H87,H86,9
777,7,7,H97,H96,10
165,165,8,H6,H5,1
172,7,8,H16,H15,2
196,24,8,H26,H25,3
383,187,8,H36,H35,4
406,23,8,H46,H45,5
580,174,8,H56,H55,6
611,31,8,H76,H75,7
765,154,8,H86,H85,8
781,16,8,H96,H95,9
44,44,9,H5,H4,1
57,13,9,H15,H14,2
267,210,9,H25,H24,3
306,39,9,H35,H34,4
538,232,9,H45,H44,5
551,13,9,H55,H54,6
560,9,9,dealer_short,H64,7
600,40,9,H75,H74,8
667,67,9,H95,H94,9
75,75,10,H4,H3,1
108,33,10,H14,H13,2
152,44,10,dealer_short,H23,3
191,39,10,H34,H33,4
346,155,10,dealer_short,H43,5
416,70,10,H54,H53,6
466,50,10,H64,H63,7
574,108,10,H74,H73,8
603,29,10,dealer_short,H83,9
714,111,10,H94,H93,10
