G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.1643340403832434,9219,914,79,914,0,1,0.9135667396061269,79,10,10,,0.08643326039387308,1
0,0.1560250507592439,9219,935,197,935,0,2,0.7893048128342246,197,10,10,,0.2106951871657754,1
0,0.1762125001323814,9219,813,310,813,0,3,0.6186961869618696,310,10,10,,0.3813038130381304,1
0,0.1328368764820901,9219,559,489,559,0,4,0.1252236135957066,489,10,10,,0.8747763864042933,1
0,0.1523101070154578,9219,1450,784,1450,0,5,0.4593103448275862,784,10,10,,0.5406896551724137,1
0,0.17546574394463668,9219,850,133,850,0,6,0.7811764705882352,186,10,10,,0.2188235294117647,1.3984962406015038
0,0.14922251372909245,9219,778,504,778,0,7,0.35218508997429304,504,10,10,,0.6478149100257069,1
0,0.16432409906420933,9219,1354,146,1354,0,8,0.8921713441654358,146,10,10,,0.10782865583456426,1
0,0.2842960162430862,9219,1035,239,1035,0,9,0.7690821256038647,239,10,10,,0.23091787439613526,1
0,0.2455832703451751,9219,1260,271,1260,0,10,0.7849206349206349,271,10,10,,0.2150793650793651,1
