P_prefix,amount,day,payee,payer,step
38,38,1,H3,H2,1
51,13,1,H43,H42,2
57,6,1,H73,H72,3
79,22,1,H93,H92,4
16,16,2,dealer_short,H35,1
80,64,2,H46,H45,2
149,69,2,H56,H55,3
180,31,2,dealer_short,H65,4
197,17,2,H86,H85,5
50,50,3,H9,H8,1
114,64,3,dealer_short,H18,2
134,20,3,H39,H38,3
223,89,3,H49,H48,4
261,38,3,H79,H78,5
282,21,3,dealer_short,H88,6
310,28,3,H99,H98,7
89,89,4,H2,H1,1
180,91,4,H12,H11,2
183,3,4,H22,H21,3
276,93,4,H27,H31,4
311,35,4,dealer_short,H51,5
361,50,4,H62,H61,6
445,84,4,H72,H71,7
467,22,4,H82,H81,8
489,22,4,H92,H91,9
194,194,5,H5,H4,1
244,50,5,dealer_short,H24,2
568,324,5,H35,H34,3
592,24,5,dealer_short,H54,4
707,115,5,H65,H64,5
754,47,5,H75,H74,6
784,30,5,H85,H84,7
33,33,6,H8,H7,1
86,53,6,H27,H17,2
93,60,6,dealer_short,H27,3
107,14,6,H38,H37,4
125,18,6,dealer_short,H67,5
133,8,6,H98,H97,6
130,130,7,H27,H10,1
186,56,7,H21,H20,2
282,96,7,dealer_short,H30,3
292,10,7,dealer_short,H40,4
342,50,7,H51,H50,5
360,18,7,H61,H60,6
464,104,7,H91,H90,7
504,40,7,dealer_short,H100,8
13,13,8,dealer_short,H13,1
85,72,8,dealer_short,H63,2
108,23,8,H84,H83,3
146,38,8,dealer_short,H93,4
2,2,9,H7,H6,1
30,28,9,H27,H16,2
40,10,9,dealer_short,H46,3
78,38,9,dealer_short,H56,4
89,11,9,dealer_short,H76,5
113,24,9,dealer_short,H86,6
239,126,9,H97,H96,7
96,96,10,dealer_short,H29,1
115,19,10,H40,H39,2
139,24,10,H50,H49,3
168,29,10,H60,H59,4
211,43,10,dealer_short,H69,5
217,6,10,dealer_short,H79,6
271,54,10,dealer_short,H89,7
