agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,40000.0,-40000.0,0,40000.0,0.0,0.0
H1,,,,573.0,,,,573.0,573.0,0,0.0,0.0
H2,,,,407.0,,,,407.0,407.0,0,0.0,0.0
H3,,,,362.0,,,,362.0,362.0,0,0.0,0.0
H4,,,,136.0,,,,136.0,136.0,0,0.0,0.0
H5,,,,466.0,,,,466.0,466.0,0,0.0,0.0
H6,,,,650.0,,,,650.0,650.0,0,0.0,0.0
H7,,,,391.0,,,,391.0,391.0,0,0.0,0.0
H8,,,,446.0,,,,446.0,446.0,0,0.0,0.0
H9,,,,366.0,,,,366.0,366.0,0,0.0,0.0
H10,,,,301.0,,,,301.0,301.0,0,0.0,0.0
H11,,,,433.0,,,,433.0,433.0,0,0.0,0.0
H12,,,,380.0,,,,380.0,380.0,0,0.0,0.0
H13,,,,496.0,,,,496.0,496.0,0,0.0,0.0
H14,,,,419.0,,,,419.0,419.0,0,0.0,0.0
H15,,,,349.0,,,,349.0,349.0,0,0.0,0.0
H16,,,,404.0,,,,404.0,404.0,0,0.0,0.0
H17,,,,424.0,,,,424.0,424.0,0,0.0,0.0
H18,,,,289.0,,,,289.0,289.0,0,0.0,0.0
H19,,,,479.0,,,,479.0,479.0,0,0.0,0.0
H20,,,,389.0,,,,389.0,389.0,0,0.0,0.0
H21,,,,360.0,,,,360.0,360.0,0,0.0,0.0
H22,,,,475.0,,,,475.0,475.0,0,0.0,0.0
H23,,,,377.0,,,,377.0,377.0,0,0.0,0.0
H24,,,,351.0,,,,351.0,351.0,0,0.0,0.0
H25,,,,473.0,,,,473.0,473.0,0,0.0,0.0
H26,,,,336.0,,,,336.0,336.0,0,0.0,0.0
H27,,,,427.0,,,,427.0,427.0,0,0.0,0.0
H28,,,,361.0,,,,361.0,361.0,0,0.0,0.0
H29,,,,500.0,,,,500.0,500.0,0,0.0,0.0
H30,,,,408.0,,,,408.0,408.0,0,0.0,0.0
H31,,,,203.0,,,,203.0,203.0,0,0.0,0.0
H32,,,,559.0,,,,559.0,559.0,0,0.0,0.0
H33,,,,371.0,,,,371.0,371.0,0,0.0,0.0
H34,,,,375.0,,,,375.0,375.0,0,0.0,0.0
H35,,,,300.0,,,,300.0,300.0,0,0.0,0.0
H36,,,,599.0,,,,599.0,599.0,0,0.0,0.0
H37,,,,263.0,,,,263.0,263.0,0,0.0,0.0
H38,,,,530.0,,,,530.0,530.0,0,0.0,0.0
H39,,,,312.0,,,,312.0,312.0,0,0.0,0.0
H40,,,,446.0,,,,446.0,446.0,0,0.0,0.0
H41,,,,305.0,,,,305.0,305.0,0,0.0,0.0
H42,,,,439.0,,,,439.0,439.0,0,0.0,0.0
H43,,,,460.0,,,,460.0,460.0,0,0.0,0.0
H44,,,,268.0,,,,268.0,268.0,0,0.0,0.0
H45,,,,548.0,,,,548.0,548.0,0,0.0,0.0
H46,,,,408.0,,,,408.0,408.0,0,0.0,0.0
H47,,,,260.0,,,,260.0,260.0,0,0.0,0.0
H48,,,,296.0,,,,296.0,296.0,0,0.0,0.0
H49,,,,623.0,,,,623.0,623.0,0,0.0,0.0
H50,,,,363.0,,,,363.0,363.0,0,0.0,0.0
H51,,,,471.0,,,,471.0,471.0,0,0.0,0.0
H52,,,,336.0,,,,336.0,336.0,0,0.0,0.0
H53,,,,383.0,,,,383.0,383.0,0,0.0,0.0
H54,,,,409.0,,,,409.0,409.0,0,0.0,0.0
H55,,,,363.0,,,,363.0,363.0,0,0.0,0.0
H56,,,,389.0,,,,389.0,389.0,0,0.0,0.0
H57,,,,363.0,,,,363.0,363.0,0,0.0,0.0
H58,,,,445.0,,,,445.0,445.0,0,0.0,0.0
H59,,,,506.0,,,,506.0,506.0,0,0.0,0.0
