DS_t,agent,day
0.03330557868442964,H2,1
0,H23,1
0,H3,1
0,H63,1
0,H13,1
0.10407993338884262,H32,1
0.042464612822647796,H12,1
0,H73,1
0,H83,1
0,H33,1
0.11656952539550375,H42,1
0,H93,1
0,H53,1
0.07077435470441298,H82,1
0.14154870940882597,H92,1
0.0791007493755204,H62,1
0.13238967527060783,H22,1
0,H43,1
0.09408825978351373,H52,1
0.18567860116569526,H72,1
0,H2,2
0.15825688073394495,H61,2
0,H32,2
0.08256880733944955,H31,2
0.08371559633027523,H21,2
0.05045871559633028,H51,2
0,H12,2
0,H42,2
0.0871559633027523,H81,2
0,H82,2
0,H92,2
0,H62,2
0.08027522935779817,H41,2
0.17545871559633028,H71,2
0,H22,2
0.10435779816513761,H11,2
0.09059633027522936,H1,2
0,H52,2
0,H72,2
0.0871559633027523,H91,2
0.1259029927760578,H20,3
0.1826625386996904,H100,3
0.12074303405572756,H80,3
0,H61,3
0,H31,3
0,H21,3
0,H51,3
0.12693498452012383,H30,3
0.017543859649122806,H40,3
0.010319917440660475,H60,3
0,H81,3
0,H41,3
0,H71,3
0.1197110423116615,H50,3
0,H91,3
0,H11,3
0.029927760577915376,H10,3
0,H1,3
0.038183694530443756,H90,3
0.22807017543859648,H70,3
0.022900763358778626,H99,4
0,H20,4
0,H100,4
0,H70,4
0.11777535441657579,H49,4
0,H80,4
0.019629225736095966,H39,4
0.025081788440567066,H89,4
0,H30,4
0,H40,4
0,H60,4
0.33042529989094876,H9,4
0.06761177753544166,H79,4
0.1134133042529989,H69,4
0.06543075245365322,H59,4
0,H50,4
0.2159214830970556,H19,4
0,H10,4
0,H90,4
0.021810250817884406,H29,4
0,H99,5
0.1966893865628043,H38,5
0,H49,5
0,H39,5
0,H89,5
0.0866601752677702,H88,5
0.055501460564751706,H28,5
0.18403115871470302,H98,5
0.11489776046738072,H8,5
0,H9,5
0,H79,5
0.02629016553067186,H48,5
0.05160662122687439,H68,5
0,H69,5
0.03894839337877313,H18,5
0,H59,5
0.17818889970788704,H78,5
0,H19,5
0.06718597857838364,H58,5
0,H29,5
0.0413625304136253,H77,6
0,H38,6
0.11678832116788321,H57,6
0.07907542579075426,H47,6
0,H88,6
0,H28,6
0.052311435523114354,H67,6
0,H98,6
0,H8,6
0.04257907542579075,H27,6
0.0413625304136253,H37,6
0.0072992700729927005,H87,6
0,H48,6
0.33454987834549876,H97,6
0,H68,6
0,H18,6
0.046228710462287104,H17,6
0,H78,6
0.2384428223844282,H7,6
0,H58,6
0,H77,7
0.1396702230843841,H46,7
0,H47,7
0,H57,7
0.1513094083414161,H16,7
0.10281280310378274,H86,7
0.1716779825412221,H96,7
0,H67,7
0,H27,7
0.008729388942774006,H66,7
0,H37,7
0,H87,7
0,H97,7
0,H17,7
0,H7,7
0.030067895247332686,H36,7
0.04849660523763336,H76,7
0.1842870999030068,H56,7
0.04655674102812803,H6,7
0.11639185257032007,H26,7
0.08040201005025126,H15,8
0,H76,8
0,H46,8
0.24120603015075376,H55,8
0,H16,8
0,H86,8
0.07956448911222781,H25,8
0.05360134003350084,H85,8
0.09463986599664992,H45,8
0.14489112227805695,H65,8
0,H96,8
0.1423785594639866,H95,8
0,H66,8
0.02680067001675042,H35,8
0.06365159128978225,H5,8
0,H36,8
0.0728643216080402,H75,8
0,H56,8
0,H6,8
0,H26,8
0,H15,9
0.09050279329608939,H44,9
0.07597765363128492,H54,9
0.09944134078212291,H64,9
0,H55,9
0,H25,9
0.16871508379888267,H4,9
0.17988826815642459,H14,9
0,H85,9
0.02011173184357542,H94,9
0,H45,9
0,H65,9
0.09832402234636871,H74,9
0.09273743016759776,H84,9
0,H95,9
0,H35,9
0.08826815642458101,H34,9
0,H5,9
0.08603351955307263,H24,9
0,H75,9
0,H44,10
0.03729146221786065,H23,10
0,H54,10
0,H64,10
0.08243375858684986,H3,10
0.1874386653581943,H63,10
0.010794896957801767,H13,10
0,H4,10
0.24533856722276742,H73,10
0,H14,10
0,H94,10
0.052011776251226695,H83,10
0.09421000981354269,H33,10
0.12855740922473013,H93,10
0,H74,10
0.04906771344455348,H53,10
0,H84,10
0,H34,10
0.11285574092247301,H43,10
0,H24,10
