P_prefix,amount,day,payee,payer,step
40,40,1,H3,H2,1
91,51,1,H13,H12,2
216,125,1,H33,H32,3
311,95,1,H63,H62,4
396,85,1,H83,H82,5
79,79,2,H2,H1,1
170,91,2,H12,H11,2
243,73,2,H22,H21,3
315,72,2,dealer_short,H31,4
385,70,2,H42,H41,5
429,44,2,H52,H51,6
582,153,2,H72,H71,7
658,76,2,H82,H81,8
734,76,2,H92,H91,9
29,29,3,H11,H10,1
151,122,3,H21,H20,2
274,123,3,H31,H30,3
291,17,3,H41,H40,4
407,116,3,H51,H50,5
417,10,3,dealer_short,H60,6
534,117,3,H81,H80,7
571,37,3,H91,H90,8
20,20,4,dealer_short,H29,1
38,18,4,H40,H39,2
146,108,4,dealer_short,H49,3
206,60,4,H60,H59,4
310,104,4,dealer_short,H69,5
372,62,4,dealer_short,H79,6
395,23,4,H90,H89,7
416,21,4,dealer_short,H99,8
118,118,5,dealer_short,H8,1
158,40,5,dealer_short,H18,2
215,57,5,H29,H28,3
242,27,5,dealer_short,H48,4
311,69,5,H59,H58,5
364,53,5,dealer_short,H68,6
453,89,5,H89,H88,7
642,189,5,H99,H98,8
38,38,6,H18,H17,1
73,35,6,H28,H27,2
107,34,6,dealer_short,H37,3
172,65,6,H48,H47,4
268,96,6,H58,H57,5
311,43,6,H68,H67,6
345,34,6,dealer_short,H77,7
351,6,6,H88,H87,8
626,275,6,dealer_short,H97,9
48,48,7,dealer_short,H6,1
204,156,7,H17,H16,2
324,120,7,H27,H26,3
355,31,7,H37,H36,4
499,144,7,H47,H46,5
689,190,7,H57,H56,6
698,9,7,H67,H66,7
748,50,7,H77,H76,8
854,106,7,H87,H86,9
1031,177,7,dealer_short,H96,10
76,76,8,H6,H5,1
172,96,8,dealer_short,H15,2
267,95,8,dealer_short,H25,3
299,32,8,H36,H35,4
412,113,8,dealer_short,H45,5
585,173,8,H66,H65,6
672,87,8,H76,H75,7
736,64,8,dealer_short,H85,8
151,151,9,H5,H4,1
228,77,9,H25,H24,2
307,79,9,H35,H34,3
388,81,9,dealer_short,H44,4
456,68,9,dealer_short,H54,5
545,89,9,dealer_short,H64,6
633,88,9,H75,H74,7
716,83,9,H85,H84,8
734,18,9,dealer_short,H94,9
84,84,10,dealer_short,H3,1
95,11,10,dealer_short,H13,2
133,38,10,H24,H23,3
229,96,10,H34,H33,4
344,115,10,H44,H43,5
394,50,10,H54,H53,6
585,191,10,H64,H63,7
638,53,10,H84,H83,8
769,131,10,H94,H93,9
