agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,6230.0,-6230.0,0,6230.0,0.0,0.0
H1,,,,136.0,,,,136.0,136.0,0,0.0,0.0
H2,,,,,,,,0,0,0,0.0,0.0
H3,,,,22.0,,,,22.0,22.0,0,0.0,0.0
H4,,,,122.0,,,,122.0,122.0,0,0.0,0.0
H5,,,,57.0,,,,57.0,57.0,0,0.0,0.0
H6,,,,,,,,0,0,0,0.0,0.0
H7,,,,305.0,,,,305.0,305.0,0,0.0,0.0
H8,,,,66.0,,,,66.0,66.0,0,0.0,0.0
H9,,,,,,,,0,0,0,0.0,0.0
H10,,,,,,,,0,0,0,0.0,0.0
H11,,,,149.0,,,,149.0,149.0,0,0.0,0.0
H12,,,,,,,,0,0,0,0.0,0.0
H13,,,,99.0,,,,99.0,99.0,0,0.0,0.0
H14,,,,,,,,0,0,0,0.0,0.0
H15,,,,16.0,,,,16.0,16.0,0,0.0,0.0
H16,,,,158.0,,,,158.0,158.0,0,0.0,0.0
H17,,,,,,,,0,0,0,0.0,0.0
H18,,,,103.0,,,,103.0,103.0,0,0.0,0.0
H19,,,,52.0,,,,52.0,52.0,0,0.0,0.0
H20,,,,,,,,0,0,0,0.0,0.0
H21,,,,,,,,0,0,0,0.0,0.0
H22,,,,194.0,,,,194.0,194.0,0,0.0,0.0
H23,,,,,,,,0,0,0,0.0,0.0
H24,,,,,,,,0,0,0,0.0,0.0
H25,,,,29.0,,,,29.0,29.0,0,0.0,0.0
H26,,,,127.0,,,,127.0,127.0,0,0.0,0.0
H27,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H28,,,,64.0,,,,64.0,64.0,0,0.0,0.0
H29,,,,13.0,,,,13.0,13.0,0,0.0,0.0
H30,,,,90.0,,,,90.0,90.0,0,0.0,0.0
H31,,,,69.0,,,,69.0,69.0,0,0.0,0.0
H32,,,,15.0,,,,15.0,15.0,0,0.0,0.0
H33,,,,89.0,,,,89.0,89.0,0,0.0,0.0
H34,,,,,,,,0,0,0,0.0,0.0
H35,,,,85.0,,,,85.0,85.0,0,0.0,0.0
H36,,,,40.0,,,,40.0,40.0,0,0.0,0.0
H37,,,,27.0,,,,27.0,27.0,0,0.0,0.0
H38,,,,,,,,0,0,0,0.0,0.0
H39,,,,10.0,,,,10.0,10.0,0,0.0,0.0
H40,,,,55.0,,,,55.0,55.0,0,0.0,0.0
H41,,,,195.0,,,,195.0,195.0,0,0.0,0.0
H42,,,,,,,,0,0,0,0.0,0.0
H43,,,,,,,,0,0,0,0.0,0.0
H44,,,,248.0,,,,248.0,248.0,0,0.0,0.0
H45,,,,,,,,0,0,0,0.0,0.0
H46,,,,250.0,,,,250.0,250.0,0,0.0,0.0
H47,,,,126.0,,,,126.0,126.0,0,0.0,0.0
H48,,,,52.0,,,,52.0,52.0,0,0.0,0.0
H49,,,,,,,,0,0,0,0.0,0.0
H50,,,,104.0,,,,104.0,104.0,0,0.0,0.0
H51,,,,,,,,0,0,0,0.0,0.0
H52,,,,,,,,0,0,0,0.0,0.0
H53,,,,36.0,,,,36.0,36.0,0,0.0,0.0
H54,,,,170.0,,,,170.0,170.0,0,0.0,0.0
H55,,,,57.0,,,,57.0,57.0,0,0.0,0.0
H56,,,,,,,,0,0,0,0.0,0.0
H57,,,,84.0,,,,84.0,84.0,0,0.0,0.0
H58,,,,41.0,,,,41.0,41.0,0,0.0,0.0
H59,,,,,,,,0,0,0,0.0,0.0
H60,,,,21.0,,,,21.0,21.0,0,0.0,0.0
H61,,,,108.0,,,,108.0,108.0,0,0.0,0.0
H62,,,,48.0,,,,48.0,48.0,0,0.0,0.0
H63,,,,21.0,,,,21.0,21.0,0,0.0,0.0
H64,,,,55.0,,,,55.0,55.0,0,0.0,0.0
H65,,,,36.0,,,,36.0,36.0,0,0.0,0.0
H66,,,,97.0,,,,97.0,97.0,0,0.0,0.0
H67,,,,97.0,,,,97.0,97.0,0,0.0,0.0
H68,,,,39.0,,,,39.0,39.0,0,0.0,0.0
H69,,,,34.0,,,,34.0,34.0,0,0.0,0.0
H70,,,,1.0,,,,1.0,1.0,0,0.0,0.0
H71,,,,97.0,,,,97.0,97.0,0,0.0,0.0
H72,,,,61.0,,,,61.0,61.0,0,0.0,0.0
H73,,,,,,,,0,0,0,0.0,0.0
H74,,,,107.0,,,,107.0,107.0,0,0.0,0.0
H75,,,,,,,,0,0,0,0.0,0.0
H76,,,,26.0,,,,26.0,26.0,0,0.0,0.0
H77,,,,49.0,,,,49.0,49.0,0,0.0,0.0
H78,,,,,,,,0,0,0,0.0,0.0
H79,,,,177.0,,,,177.0,177.0,0,0.0,0.0
H80,,,,,,,,0,0,0,0.0,0.0
