P_prefix,amount,day,payee,payer,step
18,18,1,H13,H12,1
56,38,1,H23,H22,2
90,34,1,H28,H27,3
111,21,1,dealer_short,H42,4
112,1,1,H58,H57,5
123,11,1,H63,H62,6
156,33,1,H78,H77,7
185,29,1,H88,H87,8
14,14,3,dealer_short,H10,1
27,13,3,H21,H20,2
46,19,3,H41,H40,3
95,49,3,H51,H50,4
122,27,3,dealer_short,H65,5
256,134,3,H91,H90,6
360,104,3,dealer_short,H95,7
395,35,3,dealer_short,H100,8
39,39,5,dealer_short,H3,1
89,50,5,dealer_short,H8,2
113,24,5,H29,H28,3
162,49,5,H34,H33,4
175,13,5,dealer_short,H38,5
232,57,5,dealer_short,H48,6
324,92,5,dealer_short,H53,7
345,21,5,H59,H58,8
369,24,5,H69,H68,9
406,37,5,dealer_short,H73,10
435,29,5,H79,H78,11
461,26,5,dealer_short,H83,12
476,15,5,dealer_short,H88,13
490,14,5,dealer_short,H93,14
499,9,5,H99,H98,15
18,18,7,dealer_short,H16,1
28,10,7,H22,H21,2
97,69,7,H27,H26,3
103,6,7,H32,H31,4
224,121,7,dealer_short,H36,5
276,52,7,H47,H46,6
330,54,7,H52,H51,7
505,175,7,H57,H56,8
603,98,7,H62,H61,9
707,104,7,H72,H71,10
753,46,7,H77,H76,11
863,110,7,H82,H81,12
943,80,7,H87,H86,13
958,15,7,dealer_short,H91,14
1032,74,7,H97,H96,15
105,105,9,dealer_short,H14,1
123,18,9,H20,H19,2
135,12,9,H25,H24,3
148,13,9,dealer_short,H29,4
167,19,9,H35,H34,5
293,126,9,H45,H44,6
354,61,9,dealer_short,H54,7
393,39,9,dealer_short,H59,8
414,21,9,H65,H64,9
434,20,9,dealer_short,H69,10
495,61,9,dealer_short,H74,11
497,2,9,dealer_short,H79,12
571,74,9,dealer_short,H84,13
586,15,9,H100,H99,14
