DS_t,agent,day
0.042222222222222223,H2,1
0,H23,1
0,H3,1
0,H63,1
0,H13,1
0.11888888888888889,H32,1
0.12444444444444444,H12,1
0,H73,1
0,H83,1
0,H33,1
0.07777777777777778,H42,1
0,H93,1
0,H53,1
0.1411111111111111,H82,1
0.11444444444444445,H92,1
0.09444444444444444,H62,1
0.09444444444444444,H22,1
0,H43,1
0.09666666666666666,H52,1
0.09555555555555556,H72,1
0.11976047904191617,H15,2
0,H76,2
0,H46,2
0.11976047904191617,H55,2
0,H16,2
0,H86,2
0.09940119760479042,H25,2
0.09700598802395209,H85,2
0.0562874251497006,H45,2
0.1497005988023952,H65,2
0,H96,2
0.09221556886227544,H95,2
0,H66,2
0.09700598802395209,H35,2
0.07305389221556886,H5,2
0,H36,2
0.09580838323353294,H75,2
0,H56,2
0,H6,2
0,H26,2
0,H99,3
0.11562998405103668,H38,3
0,H49,3
0,H39,3
0,H89,3
0.028708133971291867,H88,3
0.12759170653907495,H28,3
0.18022328548644337,H98,3
0.0685805422647528,H8,3
0,H9,3
0,H79,3
0.07256778309409888,H48,3
0.08213716108452951,H68,3
0,H69,3
0.1339712918660287,H18,3
0,H59,3
0.14992025518341306,H78,3
0,H19,3
0.04066985645933014,H58,3
0,H29,3
0,H2,4
0.13463626492942454,H61,4
0,H32,4
0.06080347448425624,H31,4
0.1237785016286645,H21,4
0.10097719869706841,H51,4
0,H12,4
0,H42,4
0.06406080347448426,H81,4
0,H82,4
0,H92,4
0,H62,4
0.11400651465798045,H41,4
0.10206297502714441,H71,4
0,H22,4
0.13355048859934854,H11,4
0.07600434310532031,H1,4
0,H52,4
0,H72,4
0.09011943539630836,H91,4
0,H15,5
0.1414048059149723,H44,5
0.0767097966728281,H54,5
0.16543438077634012,H64,5
0,H55,5
0,H25,5
0.07855822550831792,H4,5
0.06192236598890943,H14,5
0,H85,5
0.03234750462107209,H94,5
0,H45,5
0,H65,5
0.13863216266173753,H74,5
0.12199630314232902,H84,5
0,H95,5
0,H35,5
0.11829944547134935,H34,5
0,H5,5
0.06469500924214418,H24,5
0,H75,5
0.1540020263424519,H77,6
0,H38,6
0.06990881458966565,H57,6
0.0851063829787234,H47,6
0,H88,6
0,H28,6
0.08409321175278622,H67,6
0,H98,6
0,H8,6
0.05977710233029382,H27,6
0.07193515704154002,H37,6
0.18034447821681865,H87,6
0,H48,6
0.08409321175278622,H97,6
0,H68,6
0,H18,6
0.17223910840932116,H17,6
0,H78,6
0.03850050658561297,H7,6
0,H58,6
0.10638297872340426,H20,7
0.1019036954087346,H100,7
0.08286674132138858,H80,7
0,H61,7
0,H31,7
0,H21,7
0,H51,7
0.06159014557670773,H30,7
0.10078387458006718,H40,7
0.187010078387458,H60,7
0,H81,7
0,H41,7
0,H71,7
0.0940649496080627,H50,7
0,H91,7
0,H11,7
0.060470324748040316,H10,7
0,H1,7
0.10078387458006718,H90,7
0.10414333706606943,H70,7
0,H44,8
0.14610069101678183,H23,8
0,H54,8
0,H64,8
0.13129318854886476,H3,8
0.13524185587364265,H63,8
0.0947680157946693,H13,8
0,H4,8
0.12142152023692004,H73,8
0,H14,8
0,H94,8
0.059230009871668314,H83,8
0.0700888450148075,H33,8
0.06614017769002961,H93,8
0,H74,8
0.05133267522211254,H53,8
0,H84,8
0,H34,8
0.12438302073050346,H43,8
0,H24,8
0,H77,9
0.060676779463243874,H46,9
0,H47,9
0,H57,9
0.11551925320886815,H16,9
0.09801633605600933,H86,9
0.08751458576429405,H96,9
0,H67,9
0,H27,9
0.038506417736289385,H66,9
0,H37,9
0,H87,9
0,H97,9
0,H17,9
0,H7,9
0.12135355892648775,H36,9
0.10968494749124855,H76,9
0.12018669778296383,H56,9
0.1516919486581097,H6,9
0.09684947491248541,H26,9
0.10853355426677713,H99,10
0,H20,10
0,H100,10
0,H70,10
0.09444904722452362,H49,10
0,H80,10
0.20049710024855014,H39,10
0.09859154929577464,H89,10
0,H30,10
0,H40,10
0,H60,10
0.11019055509527755,H9,10
0.0579950289975145,H79,10
0.07042253521126761,H69,10
0.04722452361226181,H59,10
0,H50,10
0.14830157415078707,H19,10
0,H10,10
0,H90,10
0.06379453189726594,H29,10
