DS_t,agent,day
0.0008771929824561404,H2,1
0,H23,1
0,H38,1
0.015789473684210527,H57,1
0,H13,1
0.08771929824561403,H12,1
0,H28,1
0,H33,1
0,H42,1
0,H93,1
0.03684210526315789,H67,1
0,H53,1
0,H27,1
0.009649122807017544,H92,1
0,H8,1
0.002631578947368421,H97,1
0.02982456140350877,H22,1
0,H18,1
0.010526315789473684,H7,1
0,H58,1
0,H52,1
0.0008771929824561404,H72,1
0.11228070175438597,H77,1
0.1692982456140351,H47,1
0,H3,1
0,H63,1
0.3956140350877193,H32,1
0,H73,1
0,H88,1
0,H83,1
0,H98,1
0.10614035087719298,H82,1
0.0043859649122807015,H62,1
0.0017543859649122807,H37,1
0.015789473684210527,H87,1
0,H48,1
0,H68,1
0,H17,1
0,H78,1
0,H43,1
0.01202016285381931,H15,3
0.07173322993408297,H20,3
0.006979449398991857,H80,3
0,H16,3
0,H61,3
0,H86,3
0.029468786351298952,H25,3
0.39240015509887555,H85,3
0.10624272974020939,H45,3
0,H65,3
0,H96,3
0.05583559519193486,H60,3
0,H81,3
0,H66,3
0,H71,3
0.01240791004265219,H50,3
0,H75,3
0,H76,3
0,H56,3
0,H6,3
0.030244280728964713,H70,3
0,H91,3
0,H26,3
0,H100,3
0,H46,3
0.011632415664986429,H55,3
0,H21,3
0,H31,3
0,H51,3
0.16207832493214425,H30,3
0.026366808840635907,H40,3
0.031019775106630478,H95,3
0,H41,3
0.005428460643660334,H35,3
0,H11,3
0,H5,3
0,H10,3
0,H36,3
0,H1,3
0.046141915471112835,H90,3
0,H99,5
0,H23,5
0.05454545454545454,H38,5
0,H49,5
0,H13,5
0,H28,5
0.005303030303030303,H33,5
0.0022727272727272726,H93,5
0,H74,5
0.041666666666666664,H53,5
0.0659090909090909,H8,5
0,H9,5
0,H59,5
0,H18,5
0,H34,5
0.00909090909090909,H58,5
0,H24,5
0,H44,5
0,H54,5
0,H64,5
0,H39,5
0,H3,5
0,H89,5
0.29924242424242425,H63,5
0,H4,5
0,H73,5
0.0015151515151515152,H88,5
0,H14,5
0,H94,5
0.20984848484848484,H83,5
0.07121212121212121,H98,5
0,H84,5
0,H79,5
0.15681818181818183,H48,5
0.02727272727272727,H68,5
0,H69,5
0.051515151515151514,H78,5
0.003787878787878788,H43,5
0,H19,5
0,H29,5
0,H2,7
0,H57,7
0.001095290251916758,H16,7
0.38663745892661555,H61,7
0,H86,7
0,H12,7
0.04381161007667032,H96,7
0,H42,7
0.23001095290251916,H81,7
0,H67,7
0,H27,7
0,H92,7
0.001095290251916758,H66,7
0,H71,7
0,H97,7
0,H22,7
0,H7,7
0,H52,7
0,H72,7
0.03504928806133625,H76,7
0.001095290251916758,H56,7
0.01095290251916758,H6,7
0,H26,7
0,H91,7
0,H77,7
0,H46,7
0,H47,7
0,H32,7
0,H21,7
0.08762322015334063,H31,7
0.0755750273822563,H51,7
0,H82,7
0,H62,7
0,H37,7
0,H41,7
0,H87,7
0.09200438116100766,H11,7
0,H17,7
0.001095290251916758,H36,7
0.033953997809419496,H1,7
0,H15,9
0.285785536159601,H99,9
0,H20,9
0,H49,9
0,H80,9
0,H25,9
0,H85,9
0,H45,9
0,H65,9
0.14214463840399003,H74,9
0,H60,9
0.003491271820448878,H9,9
0,H59,9
0,H50,9
0.014962593516209476,H34,9
0.011970074812967581,H24,9
0,H75,9
0,H70,9
0,H44,9
0,H100,9
0.00199501246882793,H54,9
0.09077306733167083,H64,9
0.06907730673316709,H39,9
0,H55,9
0,H89,9
0.15187032418952617,H4,9
0.04812967581047382,H14,9
0.055860349127182046,H94,9
0,H30,9
0,H40,9
0,H84,9
0,H95,9
0.001745635910224439,H79,9
0.005486284289276808,H69,9
0,H35,9
0,H5,9
0.0942643391521197,H19,9
0,H10,9
0,H90,9
0.022443890274314215,H29,9
