P_prefix,amount,day,payee,payer,step
34,34,1,H3,H2,1
119,85,1,H13,H12,2
194,75,1,H23,H22,3
218,24,1,H53,H52,4
222,4,1,H63,H62,5
256,34,1,dealer_short,H72,6
270,14,1,dealer_short,H82,7
29,29,2,dealer_short,H5,1
73,44,2,H16,H15,2
132,59,2,H26,H25,3
184,52,2,dealer_short,H55,4
206,22,2,dealer_short,H75,5
228,22,2,H86,H85,6
253,25,2,dealer_short,H95,7
14,14,3,H9,H8,1
74,60,3,H39,H38,2
169,95,3,H49,H48,3
441,272,3,H59,H58,4
592,151,3,H69,H68,5
598,6,3,dealer_short,H78,6
619,21,3,H89,H88,7
710,91,3,dealer_short,H98,8
167,167,4,H2,H1,1
179,12,4,H12,H11,2
257,78,4,H42,H41,3
284,27,4,H52,H51,4
300,16,4,H62,H61,5
380,80,4,H72,H71,6
433,53,4,H82,H81,7
528,95,4,H92,H91,8
240,240,5,H5,H4,1
254,14,5,H15,H14,2
389,135,5,H25,H24,3
459,70,5,H45,H44,4
468,9,5,H55,H54,5
498,30,5,H65,H64,6
522,24,5,H75,H74,7
555,33,5,H85,H84,8
631,76,5,H95,H94,9
32,32,6,H8,H7,1
81,49,6,dealer_short,H17,2
120,39,6,H38,H37,3
332,212,6,H48,H47,4
492,160,6,dealer_short,H57,5
561,69,6,dealer_short,H67,6
603,42,6,H78,H77,7
656,53,6,H98,H97,8
110,110,7,H11,H10,1
130,20,7,dealer_short,H20,2
139,9,7,dealer_short,H30,3
252,113,7,H41,H40,4
295,43,7,H51,H50,5
296,1,7,H61,H60,6
302,6,7,H71,H70,7
502,200,7,H81,H80,8
537,35,7,H91,H90,9
597,60,7,dealer_short,H100,10
124,124,8,dealer_short,H3,1
158,34,8,H14,H13,2
326,168,8,dealer_short,H33,3
383,57,8,H44,H43,4
393,10,8,H54,H53,5
411,18,8,H94,H93,6
116,116,9,H7,H6,1
154,38,9,H17,H16,2
176,22,9,dealer_short,H26,3
282,106,9,H37,H36,4
406,124,9,dealer_short,H46,5
527,121,9,dealer_short,H56,6
574,47,9,H67,H66,7
577,3,9,dealer_short,H86,8
34,34,10,dealer_short,H9,1
235,201,10,H20,H19,2
312,77,10,H30,H29,3
367,55,10,dealer_short,H39,4
377,10,10,H50,H49,5
446,69,10,H60,H59,6
531,85,10,H70,H69,7
541,10,10,H90,H89,8
685,144,10,H100,H99,9
