P_prefix,amount,day,payee,payer,step
8,8,1,H2,H1,1
36,36,1,H3,H2,2
92,92,1,H4,H3,3
92,40,1,H5,H4,4
93,41,1,H6,H5,5
166,73,1,H8,H7,6
220,54,1,H10,H9,7
220,7,1,H11,H10,8
224,4,1,H13,H12,9
241,17,1,H16,H15,10
304,80,1,H17,H16,11
306,2,1,H19,H18,12
307,1,1,H22,H21,13
402,95,1,H27,H26,14
402,22,1,H28,H27,15
428,26,1,dealer_short,H29,16
442,14,1,H33,H32,17
442,2,1,H34,H33,18
447,7,1,H35,H34,19
491,51,1,H36,H35,20
492,1,1,H41,H40,21
494,2,1,H43,H42,22
496,2,1,H46,H45,23
499,5,1,H47,H46,24
502,3,1,H49,H48,25
522,23,1,dealer_short,H49,26
593,71,1,H52,H51,27
595,2,1,H54,H53,28
939,344,1,H58,H57,29
939,14,1,H59,H58,30
939,11,1,H60,H59,31
1026,87,1,H64,H63,32
1079,53,1,H70,H69,33
1082,3,1,dealer_short,H72,34
1083,1,1,H75,H74,35
1240,157,1,H77,H76,36
1240,1,1,H78,H77,37
1272,32,1,H82,H81,38
1272,2,1,H83,H82,39
1350,80,1,H84,H83,40
1350,16,1,H85,H84,41
1421,87,1,H86,H85,42
1421,46,1,H87,H86,43
1519,98,1,H91,H90,44
1519,2,1,H92,H91,45
1524,7,1,H93,H92,46
1531,7,1,H95,H94,47
1531,6,1,H96,H95,48
1535,4,1,dealer_short,H97,49
1547,12,1,H100,H99,50
