DS_t,agent,day
0.06854492355265418,H2,1
0,H49,1
0,H16,1
0.028861020443222814,H61,1
0.001374334306820134,H86,1
0,H85,1
0.0018897096718776842,H93,1
0,H9,1
0.07627555402851743,H59,1
0.005840920803985569,H34,1
0.009963923724445971,H24,1
0,H75,1
0,H56,1
0,H6,1
0,H44,1
0,H32,1
0,H14,1
0.0008589589417625838,H83,1
0,H30,1
0.05858099982820821,H98,1
0,H62,1
0.021817557120769628,H68,1
0.01580484452843154,H10,1
0.012540800549733723,H1,1
0.037794193437553684,H20,1
0,H57,1
0,H45,1
0.0012025425184676172,H33,1
0,H65,1
0,H8,1
0.001374334306820134,H66,1
0,H50,1
0,H97,1
0,H58,1
0.01958426387218691,H76,1
0.004810170073870469,H91,1
0,H47,1
0,H55,1
0,H39,1
0,H3,1
0.015461260951726508,H31,1
0.011338258031266105,H88,1
0,H82,1
0.015289469163373991,H37,1
0,H41,1
0,H78,1
0.13365401133825802,H43,1
0,H36,1
0,H29,1
0,H99,1
0.0003435835767050335,H23,1
0.034014774093798314,H13,1
0,H12,1
0.004466586497165435,H42,1
0,H60,1
0,H67,1
0.0024050850369352343,H53,1
0,H27,1
0,H92,1
0,H22,1
0.002748668613640268,H18,1
0,H52,1
0,H72,1
0.08400618450438069,H77,1
0,H100,1
0.009963923724445971,H46,1
0.027658477924755197,H54,1
0,H89,1
0.03315581515203573,H4,1
0.005325545438928019,H51,1
0.03556090018897097,H73,1
0,H94,1
0.010135715512798488,H84,1
0.037794193437553684,H95,1
0,H79,1
0,H69,1
0.0036076275554028517,H87,1
0,H11,1
0.014602302009963923,H90,1
0,H15,1
0.02387905858099983,H38,1
0.011853633396323655,H80,1
0.010822882666208556,H25,1
0.000687167153410067,H28,1
0,H96,1
0,H74,1
0,H81,1
0,H71,1
0,H7,1
0,H26,1
0.02009963923724446,H70,1
0,H64,1
0.07541659508675486,H63,1
0,H21,1
0,H40,1
0.0036076275554028517,H48,1
0.004981961862222986,H35,1
0,H5,1
0,H17,1
0,H19,1
